segmentnr	original	folio	stemmed
BO_TZ44_PHI-003:0	@#// slob dpon pad+ma rgyal pos mdzad pa'i btshan gyi mdos phran bklag chog tu bsdebs pa bzhugs so //	0	slob dpon pad+ma rgyal pos mdzad ba btshan gyi mdos phran klog chog tu sdeb ba bzhugs so 
BO_TZ44_PHI-003:1	dbang drag pad+ma'i sku la phyag 'tshhal lo //	0	dbang drag pad+ma sku la phyag tshhal lo 
BO_TZ44_PHI-003:2	btshan mdos la rin po che'i snod du /	0	btshan mdos la rin po che snod du 
BO_TZ44_PHI-003:3	btshan bshos dmar po gcig la mdung dar dmar po btshugs /	0	btshan bshos dmar po gcig la mdung dar dmar po btshugs 
BO_TZ44_PHI-003:4	de'i mthar / khyi dmar /	0	de mthar khyi dmar 
BO_TZ44_PHI-003:5	rta dmar / ra dmar /	0	rta dmar ra dmar 
BO_TZ44_PHI-003:6	dgo ba / gla ba /	0	dgo ba gla ba 
BO_TZ44_PHI-003:7	'ug pa / srin bya /	0	ug ba srin byed 
BO_TZ44_PHI-003:8	bya pho mtshhal lu /	0	byed pho mtshhal lu 
BO_TZ44_PHI-003:9	spyan gzigs sna tshhogs /	0	spyan gzigs sna tshhogs 
BO_TZ44_PHI-003:10	nam mkha' bcas thams cad dmar po /	1	nam mkha cha thams cad dmar po 
BO_TZ44_PHI-003:11	rgyang bu dmar po btshugs /	1	rgyang bu dmar po btshugs 
BO_TZ44_PHI-003:12	phud dang rin chen bdar la /	1	bud dang rin chen bdar la 
BO_TZ44_PHI-003:13	rang nyid dbang chen lha'i nga rgyal gyis /	1	rang nyid dbang chen lha nga rgyal gyis 
BO_TZ44_PHI-003:14	mdos la chab bran /	1	mdos la chab bran 
BO_TZ44_PHI-003:15	swa b+ha bas sbyang /	1	swa b+ha ba sbyong 
BO_TZ44_PHI-003:16	stong pa'i ngang las mchod pa spyan gzigs mthun rdzas rnams kyi ma dag pa'i dngos 'dzin thams cad rang gi thugs ka nas spros pa'i ram las ye shes kyi mes bsregs /	1	stong ba ngang las mchod ba spyan gzigs mthun rdzas rnams kyi ma dag ba dngos dzin thams cad rang gi thugs ka nas spros ba ram las ye shes kyi mes bsregs 
BO_TZ44_PHI-003:17	yam las chos nyid kyi rlung gis gtor /	1	yam las chos nyid kyi rlung gis thor 
BO_TZ44_PHI-003:18	kham las mtshhan med kyi chus bkrus /	1	kham las mtshhan med kyi chus khrud 
BO_TZ44_PHI-003:19	om gyis ji ltar 'dod pa'i longs spyod lngar gyur /	1	om gyis ji ltar dod ba longs spyod lngar gyur 
BO_TZ44_PHI-003:20	ahsa nam mkha'i mtha' khyab tu spel /	2	ahsa nam mkha mtha khyab tu spel 
BO_TZ44_PHI-003:21	hu~m gis bdud rtshi'i rang bzhin du zad mi shes par byas /	2	hu~m gis bdud rtshi rang bzhin du zad mi shes ba byed 
BO_TZ44_PHI-003:22	swas gzugs brnyan rnams phung po dang khams dang skye mched la sogs pa dang ldan pa /	2	swas gzugs rnyan rnams phung po dang khams dang skye mched la sogs ba dang ldan ba 
BO_TZ44_PHI-003:23	has mgron so so'i re ba yid bzhin du skong ba'i nus pa dang ldan par gyur /	2	has mgron so so re ba yid bzhin du skong ba nus ba dang ldan ba gyur 
BO_TZ44_PHI-003:24	om sarba bid pu ra pu ra su ra su ra a brta ya a brta ya hoh	2	om sarba bid pu ra pu ra su ra su ra a rtas ya a rtas ya hoh 
BO_TZ44_PHI-003:25	badzra s+pha ra na kham/	2	badzra s+pha ra na 
BO_TZ44_PHI-003:26	zhes dpral bar nam mkha' mdzod kyi phyag rgya sngags dang bcas pa lan gsum dang / spro na sngags drug phyag drug gis brlab /	2	zhes dpral ba nam mkha mdzod kyi phyag rgya sngags dang cha ba lan gsum dang spro na sngags drug phyag drug gis brlab 
BO_TZ44_PHI-003:27	bdag gi bsam pa'i stobs dang ni //	2	bdag gi bsam ba stobs dang ni 
BO_TZ44_PHI-003:28	de bzhin gshegs pa'i sbyin stobs dang // chos kyi dbyings kyi stobs rnams kyis //	2	de bzhin gshegs ba sbyin stobs dang chos kyi dbyings kyi stobs rnams kyis 
BO_TZ44_PHI-003:29	don rnams gang dag bsam pa kun //	2	don rnams gang dag bsam ba kun 
BO_TZ44_PHI-003:30	de dag thams cad ci rigs par //	3	de dag thams cad ci rigs ba 
BO_TZ44_PHI-003:31	thogs pa med par 'byung gyur cig	3	thogs ba med ba byung gyur cig 
BO_TZ44_PHI-003:32	/ces bden pa'i stobs brjod /	3	bden ba stobs rjod 
BO_TZ44_PHI-003:33	de nas spyan drang ba ni /	3	de nas spyan dren ba ni 
BO_TZ44_PHI-003:34	kye : 'byung ba brag gi them steng nas :	3	kye byung ba brag gi thems steng nas 
BO_TZ44_PHI-003:35	rin chen brag phug bswe sgo can :	3	rin chen brag bugs bswe sgo can 
BO_TZ44_PHI-003:36	g.yu yi re bzhi thangs se thang :	3	g.yu yi re bzhi thangs se thang 
BO_TZ44_PHI-003:37	bye ru dmar po'i g.yag shing la :	3	bye ru dmar po g.yag shing la 
BO_TZ44_PHI-003:38	rin chen zangs kyi lde mig can :	3	rin chen zangs kyi lde mig can 
BO_TZ44_PHI-003:39	sku mkhar de yi nang shed na :	3	sku mkhar de yi nang shed na 
BO_TZ44_PHI-003:40	rin chen sna tshhogs 'byung ba'i bdag :	4	rin chen sna tshhogs byung ba bdag 
BO_TZ44_PHI-003:41	de na brag btshan dmar po bzhugs :	4	de na brag btshan dmar po bzhugs 
BO_TZ44_PHI-003:42	sku mdog dmar po ldan pa la :	4	sku mdog dmar po ldan ba la 
BO_TZ44_PHI-003:43	ral pa dmar po gyen du 'khyil :	4	ral ba dmar po gyen du khyil 
BO_TZ44_PHI-003:44	spyan mig dmar po 'bur tshhugs blta :	4	spyan mig dmar po bur tshhugs lta 
BO_TZ44_PHI-003:45	snyan nas srin 'bu dmar po 'phyo :	4	snyan nas srin bu dmar po phyo 
BO_TZ44_PHI-003:46	shangs nas rlung dmar 'tshhub ma gtong :	4	shangs nas rlung dmar tshhub ma gtong 
BO_TZ44_PHI-003:47	spyan nas me 'od dmar po 'phro :	4	spyan nas me d dmar po phro 
BO_TZ44_PHI-003:48	bse yi ber chen sku la gsol :	4	bse yi ber chen sku la gsol 
BO_TZ44_PHI-003:49	bswe yi lan phran dmar po can :	4	bswe yi lan phran dmar po can 
BO_TZ44_PHI-003:50	g.yas pas bswe yi mdung dmar bsnams :	5	g.yas ba bswe yi mdung dmar snom 
BO_TZ44_PHI-003:51	g.yon pas bswe yi mda' gzhu bsnams :	5	g.yon ba bswe yi mda gzhu snom 
BO_TZ44_PHI-003:52	chibs su btshan rta dmar po 'chib :	5	chibs su btshan rta dmar po chib 
BO_TZ44_PHI-003:53	bswe yi sga la g.yu yi mthur :	5	bswe yi sga la g.yu yi mthur 
BO_TZ44_PHI-003:54	dung yob gser gyi glo len can :	5	dung yob gser gyi glo len can 
BO_TZ44_PHI-003:55	bswe phub dmar po rgyab na khur :	5	bswe bubs dmar po rgyab na khur 
BO_TZ44_PHI-003:56	khrag gzer pho lhog nad kyi bdag :	5	khrag gzer pho lhog nad kyi bdag 
BO_TZ44_PHI-003:57	btshan gyi sho kha dgra la 'gyed :	5	btshan gyi sho kha dgra la gyed 
BO_TZ44_PHI-003:58	zhags pa dmar po dgra la 'phen :	5	zhags ba dmar po dgra la phen 
BO_TZ44_PHI-003:59	gdug pa'i btshan phran si li li :	5	gdug ba btshan phran si li li 
BO_TZ44_PHI-003:60	'khor gyi btshan phran sha ra ra :	6	khor gyi btshan phran sha ra ra 
BO_TZ44_PHI-003:61	bswe bya dmar po dgra la 'gyed :	6	bswe byed dmar po dgra la gyed 
BO_TZ44_PHI-003:62	skyes pa dar ma'i srog gcod byed :	6	skye ba dar ma srog gcod byed 
BO_TZ44_PHI-003:63	na chung dar ma'i sris la rku :	6	na chung dar ma sris la rku 
BO_TZ44_PHI-003:64	khra dang bya khra 'ug pa gtong :	6	khra dang byed khra ug ba gtong 
BO_TZ44_PHI-003:65	brag sha gla ba rol du khrid :	6	brag sha gla ba rol du khrid 
BO_TZ44_PHI-003:66	brag gi rtshangs pa g.yas na 'gyed :	6	brag gi rtshangs ba g.yas na gyed 
BO_TZ44_PHI-003:67	srin bya bu mo than la 'gyed :	6	srin byed bu mo than la gyed 
BO_TZ44_PHI-003:68	'khor du btshan phran mang pos bskor :	6	khor du btshan phran mang pos skor 
BO_TZ44_PHI-003:69	bka' yi brag btshan dmar po khyod :	6	bka yi brag btshan dmar po khyod 
BO_TZ44_PHI-003:70	de ring srid pa'i mdos la gshegs :	7	de ring srid ba mdos la gshegs 
BO_TZ44_PHI-003:71	om shu la tri sa ma ya dza dza :	7	om shu la tri sa ma ya dza dza 
BO_TZ44_PHI-003:72	zhes lan nyer gcig sogs kyis mgron du bos /	7	zhes lan nyer gcig sogs kyis mgron du bod 
BO_TZ44_PHI-003:73	de nas mdos bsngo ba ni /	7	de nas mdos sngo ba ni 
BO_TZ44_PHI-003:74	kye : ting 'dzin sngags dang phyag rgya yis :	7	kye ting dzin sngags dang phyag rgya yis 
BO_TZ44_PHI-003:75	nam mkha' mdzod du byin brlabs pa'i :	7	nam mkha mdzod du byin brlabs ba 
BO_TZ44_PHI-003:76	mdos glud yas stags dkor cha'i tshhogs :	7	mdos glud yas stags dkor cha tshhogs 
BO_TZ44_PHI-003:77	nga rgyal btshan gyi tshhogs la bsngo :	7	nga rgyal btshan gyi tshhogs la sngo 
BO_TZ44_PHI-003:78	rin chen rang bzhin ri rab steng :	7	rin chen rang bzhin ri rab steng 
BO_TZ44_PHI-003:79	dgos 'dod 'byung ba'i dpag bsam 'khrungs :	7	dgos dod byung ba dpog bsam khrung 
BO_TZ44_PHI-003:80	'ja' ltar bkra ba'i gur khyim phub :	8	ja ltar bkra ba gur khyim bubs 
BO_TZ44_PHI-003:81	khams gsum nam mkha' dar gyis brgyan :	8	khams gsum nam mkha dar gyis rgyan 
BO_TZ44_PHI-003:82	bla srog chags pa'i gzugs brnyan bkod :	8	bla srog chags ba gzugs rnyan bkod 
BO_TZ44_PHI-003:83	rigs mthun nam mkha' rgyang bu dang : mda' khra 'phang khra rten du btshugs :	8	rigs mthun nam mkha rgyang bu dang mda khra phen khra rten du btshugs 
BO_TZ44_PHI-003:84	sha khrag bshos bu sna tshhogs dang : dkar dmar ja chang khrag skyems bshams :	8	sha khrag bshos bu sna tshhogs dang dkar dmar ja chang khrag skyem bshams 
