segmentnr	original	folio	stemmed
BO_TZ44_PHI-011:0	gnam chos thugs gter las :	0	gnam chos thugs gter las 
BO_TZ44_PHI-011:1	rigs gsum mgon po'i dril sgrub bzhugs so :gu ru d+he wa d+ha ki ni hu~m:	0	rigs gsum mgon po dril sgrub bzhugs so :gu ru d+he wa d+ha ki ni hu~m: 
BO_TZ44_PHI-011:2	rigs gsum mgon po'i dril sgrub ni :	0	rigs gsum mgon po dril sgrub ni 
BO_TZ44_PHI-011:3	dkyil 'khor med cing gtor ma med :	0	dkyil khor med cing thor ma med 
BO_TZ44_PHI-011:4	stong pa'i ngang las pad zla nyi ma'i steng :	0	stong ba ngang las pad zla nyi ma steng 
BO_TZ44_PHI-011:5	sangs rgyas kun gyi sku gsung thugs bsdus pa :	0	sangs rgya kun gyi sku gsung thugs sdud ba 
BO_TZ44_PHI-011:6	rang nyid rigs gsum mgon po gcig dril ba :	0	rang nyid rigs gsum mgon po gcig dril ba 
BO_TZ44_PHI-011:7	dbus zhal sku lus rtsha phyag rtsha zhabs rnams :	0	dbus zhal sku lus rtsha phyag rtsha zhabs rnams 
BO_TZ44_PHI-011:8	snying rje mthar phyin spyan ras gzigs mgon ni :	0	snying rje mthar phyin spyan ras gzigs mgon ni 
BO_TZ44_PHI-011:9	sku mdog dkar po phreng ba pad+ma 'dzin :	0	sku mdog dkar po phreng ba pad+ma dzin 
BO_TZ44_PHI-011:10	g.yas zhal phyag dang zhabs ni bar pa rnams :	1	g.yas zhal phyag dang zhabs ni ba ba rnams 
BO_TZ44_PHI-011:11	shes rab mthar phyin 'jam dpal gzhon nu ni :	1	shes rab mthar phyin jam dpal gzhon nu ni 
BO_TZ44_PHI-011:12	gur gum mdog can ral gri po ti 'dzin :	1	gur gum mdog can ral gri po ti dzin 
BO_TZ44_PHI-011:13	g.yon zhal phyag dang zhabs ni tha ma gnyis :	1	g.yon zhal phyag dang zhabs ni tha ma gnyis 
BO_TZ44_PHI-011:14	mthu stobs mthar phyin gsang ba'i bdag po ste :	1	mthu stobs mthar phyin gsang ba bdag po ste 
BO_TZ44_PHI-011:15	char sprin mdog can rdo rje sdigs mdzub zhags :	1	char sprin mdog can rdo rje sdigs mdzub zhags 
BO_TZ44_PHI-011:16	zhabs drug sems dpa'i skyil krung gis bzhugs pa :	1	zhabs drug sems dpa skyil krung gis bzhugs ba 
BO_TZ44_PHI-011:17	dar dang rin po che yi rgyan gyis brgyan :	1	dar dang rin po che yi rgyan gyis rgyan 
BO_TZ44_PHI-011:18	spyan drangs bstim zhing dbang bskur rigs bdag mtshhan :	1	spyan drangs stim zhing dbang skur rigs bdag mtshhan 
BO_TZ44_PHI-011:19	ahhrihhu~m: de yis rigs gsum mgon po 'grub :	1	ahhrihhu~m: de yis rigs gsum mgon po grub 
BO_TZ44_PHI-011:20	rgya rgya rgya :	2	rgya rgya rgya 
BO_TZ44_PHI-011:21	de nas de yi las tshhogs ni :	2	de nas de yi las tshhogs ni 
BO_TZ44_PHI-011:22	dang po snying rje skye ba'i thabs :	2	dang po snying rje skye ba thabs 
BO_TZ44_PHI-011:23	dang po rang nyid gcig dril bskyed :	2	dang po rang nyid gcig dril skyed 
BO_TZ44_PHI-011:24	de nas rang nyid tha mal pa'i :	2	de nas rang nyid tha mal ba 
BO_TZ44_PHI-011:25	mdun du rang gi ma rgan rnams :	2	mdun du rang gi ma rgan rnams 
BO_TZ44_PHI-011:26	la la me yi 'obs na gnas :	2	la la me yi bs na gnas 
BO_TZ44_PHI-011:27	thar mi nus shing ngu 'bod byed :	2	thar mi nus shing ngu bod byed 
BO_TZ44_PHI-011:28	la la chu dang gangs la gnas :	2	la la chu dang gangs la gnas 
BO_TZ44_PHI-011:29	thar mi nus shing ngu 'bod byed :	2	thar mi nus shing ngu bod byed 
BO_TZ44_PHI-011:30	la la rdo yi gseb rnams nas :	3	la la rdo yi gseb rnams nas 
BO_TZ44_PHI-011:31	thar mi nus shing ngu 'bod byed :	3	thar mi nus shing ngu bod byed 
BO_TZ44_PHI-011:32	la la za rgyu ma rnyed par :	3	la la za rgyu ma rnyed ba 
BO_TZ44_PHI-011:33	thar mi nus shing ngu 'bod byed :	3	thar mi nus shing ngu bod byed 
BO_TZ44_PHI-011:34	la la gcig gis gcig za zhing :	3	la la gcig gis gcig za zhing 
BO_TZ44_PHI-011:35	thar mi nus shing ngu 'bod byed :	3	thar mi nus shing ngu bod byed 
BO_TZ44_PHI-011:36	la la rang gis rang za zhing :	3	la la rang gis rang za zhing 
BO_TZ44_PHI-011:37	thar mi nus shing ngu 'bod byed :	3	thar mi nus shing ngu bod byed 
BO_TZ44_PHI-011:38	de ltar bskyed nas snying rje bya :	3	de ltar skyed nas snying rje byed 
BO_TZ44_PHI-011:39	yang yang bsgoms pas nges par skye :	3	yang yang sgom ba nges ba skye 
BO_TZ44_PHI-011:40	sa ma ya :	4	sa ma ya 
BO_TZ44_PHI-011:41	rgya rgya rgya :	4	rgya rgya rgya 
BO_TZ44_PHI-011:42	shes rab che ba'i man ngag ni :	4	shes rab che ba man ngag ni 
BO_TZ44_PHI-011:43	a ga ru dang a ru ra :	4	a ga ru dang a ru ra 
BO_TZ44_PHI-011:44	rang gi gdong bkrus chu yi nang :	4	rang gi gdong khrud chu yi nang 
BO_TZ44_PHI-011:45	bla ma'i zhal chab blugs nas sbrus :	4	bla ma zhal chab blugs nas sbru 
BO_TZ44_PHI-011:46	de nyid sngags 'dis rab bsngags nas :	4	de nyid sngags dis rab bsngags nas 
BO_TZ44_PHI-011:47	ltor song tsham gyis shes rab che :	4	ltor gro tsham gyis shes rab che 
BO_TZ44_PHI-011:48	om a d+hi ni pa d+hi ni pra dz+nya hu~m swa ha:	4	om a d+hi ni ba d+hi ni pra dz+nya hu~m swa ha: 
BO_TZ44_PHI-011:49	sa ma ya :	4	sa ma ya 
BO_TZ44_PHI-011:50	rgya rgya rgya :	5	rgya rgya rgya 
BO_TZ44_PHI-011:51	mthu stobs che ba'i man ngag ni :	5	mthu stobs che ba man ngag ni 
BO_TZ44_PHI-011:52	rdzas 'di bsngags nas mid pas chog :	5	rdzas di bsngags nas mid ba chog 
BO_TZ44_PHI-011:53	chu srin sder mo chu dag dang : gu gul nag po yung ba 'o :	5	chu srin sder mo chu dag dang gu gul nag po yung ba mang 
BO_TZ44_PHI-011:54	om hu~m hu~m ma ni d+ha ha ni phat:	5	om hu~m hu~m ma ni d+ha ha ni phat: 
BO_TZ44_PHI-011:55	sa ma ya :	5	sa ma ya 
BO_TZ44_PHI-011:56	rgya rgya rgya :	5	rgya rgya rgya 
