segmentnr	original	folio	stemmed
BO_TZ47_TSI-035:0	rnal 'byor rang gi grib srung ba dang sel ba'i gdams ngag grib sel gser gyi pha wang zhes bya ba bzhugs so //	0	rnal byor rang gi grib srung ba dang sel ba doms ngag grib sel gser gyi pha wang zhes byed ba bzhugs so 
BO_TZ47_TSI-035:1	na mo gu ru u tshush+ma kro d+ha ya /	0	na mo gu ru u tshush+ma kro d+ha ya 
BO_TZ47_TSI-035:2	'chol ba'i khro rgyal de la phyag 'tshhal lo //	0	chol ba khro rgyal de la phyag tshhal lo 
BO_TZ47_TSI-035:3	sdom gsum ldan pa'i rnal 'byor sgrub pa pos //	0	sdom gsum ldan ba rnal byor sgrub ba pos 
BO_TZ47_TSI-035:4	zas grib gos grib ro dang btshog gi grib //	0	zas grib gos grib ro dang btshog gi grib 
BO_TZ47_TSI-035:5	dam tshhig nyams dang grib can 'grogs pa'i grib /	0	dam tshhig nyams dang grib can grogs ba grib 
BO_TZ47_TSI-035:6	khams mi bde zhing bying rmugs shes pa 'thibs //	0	khams mi bde zhing bying rmugs shes ba thib 
BO_TZ47_TSI-035:7	nad kyis btab dang tshhe yi bar chad sdig	0	nad kyis debs dang tshhe yi ba chad sdig 
BO_TZ47_TSI-035:8	/de dag ma byung gong nas srung ba 'am //	0	dag ma byung gong nas srung ba mang 
BO_TZ47_TSI-035:9	byung na sngags dang dmigs pas sel ba'i thabs //	0	byung na sngags dang dmigs ba sel ba thabs 
BO_TZ47_TSI-035:10	bka' gter gsar rnying man ngag rgya mtshho'i bcud //	1	bka gter gsar rnying man ngag rgya mtshho bcud 
BO_TZ47_TSI-035:11	dmigs pa sngags gnyis kho nas chog pa yin //	1	dmigs ba sngags gnyis kho nas chog ba yin 
BO_TZ47_TSI-035:12	rang gi snying gar hu~m yig ljang gu las //	1	rang gi snying gar hu~m yig ljang gu las 
BO_TZ47_TSI-035:13	me 'bar rang gi lus dang grib kun bsregs //	1	me bar rang gi lus dang grib kun bsregs 
BO_TZ47_TSI-035:14	stongs par gyur rjes skad cig dran rdzogs su //	1	stongs ba gyur rjes skad cig dran rdzogs su 
BO_TZ47_TSI-035:15	rang nyid khro bo sme brtshegs ljang gu ni //	1	rang nyid khro bo sme brtshegs ljang gu ni 
BO_TZ47_TSI-035:16	ljang dkar sngo ba'i zhal gsum phyag drug pa //	1	ljang dkar sngo ba zhal gsum phyag drug ba 
BO_TZ47_TSI-035:17	dang po'i phyag gnyis thugs kar sdigs mdzub bsnol //	1	dang po phyag gnyis thugs kar sdigs mdzub snol 
BO_TZ47_TSI-035:18	bar pas gser gyi rdo rje dril bu gdengs //	1	ba ba gser gyi rdo rje dril bu gdeng 
BO_TZ47_TSI-035:19	tha mas lcags kyu dang ni zhags pa bsnams //	1	tha mas lcags kyu dang ni zhags ba snom 
BO_TZ47_TSI-035:20	dbu skra dmar ser gyen du brdzes pa la //	2	dbu skra dmar ser gyen du brdzes ba la 
BO_TZ47_TSI-035:21	sbrul sngon lto ba ser khra can gyis dkris //	2	sbrul sngon lto ba ser khra can gyis dkri 
BO_TZ47_TSI-035:22	stag lpags la sogs dur khrod chas brgyad gsol //	2	stag lpags la sogs dur khrod cha brgyad gsol 
BO_TZ47_TSI-035:23	bgegs dang gza' gdon nyi zla pad steng bzhugs //	2	bgegs dang gza don nyi zla pad steng bzhugs 
BO_TZ47_TSI-035:24	sku las ye shes me ri smug nag 'bar //	2	sku las ye shes me ri smug nag bar 
BO_TZ47_TSI-035:25	de rgyab phyi rol khro bo'i gur khang ni //	2	de rgyab phyi rol khro bo gur khang ni 
BO_TZ47_TSI-035:26	rdo rje gnod sbyin nag po sku che ba //	2	rdo rje gnod sbyin nag po sku che ba 
BO_TZ47_TSI-035:27	rdo rjes gtams pa'i phag rgod mche ba 'dzin //	2	rdo rjes gtams ba phag rgod mche ba dzin 
BO_TZ47_TSI-035:28	lto ba che zhing yan lag rags pa'i gur //	2	lto ba che zhing yan lag rags ba gur 
BO_TZ47_TSI-035:29	de rgyab bdud rtshi 'khyil pa ljang gu ni //	2	de rgyab bdud rtshi khyil ba ljang gu ni 
BO_TZ47_TSI-035:30	rgya gram dbyug pa sdigs mdzub mdzad pa'i gur //	3	rgya grams dbyug ba sdigs mdzub mdzad ba gur 
BO_TZ47_TSI-035:31	de rgyab phyogs mtshhams steng 'og bcu po ru //	3	de rgyab phyogs mtshhams steng g chu po ru 
BO_TZ47_TSI-035:32	dme brtshegs dbu dgu mdung thabs sku mdog nag	3	dme brtshegs dbu dgu mdung thabs sku mdog nag 
BO_TZ47_TSI-035:33	/phyag bzhi 'byung ba bzhi yi 'khor lo 'dzin //	3	bzhi byung ba bzhi yi khor lo dzin 
BO_TZ47_TSI-035:34	zhabs bzhi 'byung ba bzhi brdzis me dpung 'bar //	3	zhabs bzhi byung ba bzhi brdzis me dpung bar 
BO_TZ47_TSI-035:35	de rgyab rlung nag 'tshhubs ma'i gur khang dang // de rgyab rgya mtshho rba klong 'khrugs pa'i gur //	3	de rgyab rlung nag tshhubs ma gur khang dang de rgyab rgya mtshho rba klong khrugs ba gur 
BO_TZ47_TSI-035:36	de rgyab gser gyi pha wang ser po'i gur //	3	de rgyab gser gyi pha wang ser po gur 
BO_TZ47_TSI-035:37	pha wang re la lcags sdig re res mtshhan //	3	pha wang re la lcags sdig re res mtshhan 
BO_TZ47_TSI-035:38	lcags sdig rwa rtsher srid pa'i bya khyung lding //	3	lcags sdig rwa rtsher srid ba byed khyung lding 
BO_TZ47_TSI-035:39	rang gi spyi bor rigs kyi yum chen lnga //	3	rang gi spyi bor rigs kyi yum chen lnga 
BO_TZ47_TSI-035:40	phyag na rin chen bum pa bdud rtshis bkang //	4	phyag na rin chen bum ba bdud rtshis geng 
BO_TZ47_TSI-035:41	kun gyi gnas gsum yig 'bru gsum po las //	4	kun gyi gnas gsum yig bru gsum po las 
BO_TZ47_TSI-035:42	'od 'phros ye shes pa rnams spyan drangs bstim /	4	d phro ye shes ba rnams spyan drangs stim 
BO_TZ47_TSI-035:43	/rang gi thugs kar nyi steng hu~m ljang mthar //	4	gi thugs kar nyi steng hu~m ljang mthar 
