segmentnr	original	folio	stemmed
BO_TZ47_TSI-060:0	@#// thugs sgrub bar chad kun sel las /	0	thugs sgrub ba chad kun sel las 
BO_TZ47_TSI-060:1	rdo rje gtshug tor gyi byad 'grol srung ba bcas khyer bder phyungs pa gdengs chog ral gri zhes bya ba bzhugs so //	0	rdo rje gtshug tor gyi byad grol srung ba cha khyer bder phyungs ba gdeng chog ral gri zhes byed ba bzhugs so 
BO_TZ47_TSI-060:2	na mo gu ra be /	0	na mo gu ra be 
BO_TZ47_TSI-060:3	phyag rgya'i tshha zer yid kyi mkhar //	0	phyag rgya tshha zer yid kyi mkhar 
BO_TZ47_TSI-060:4	gsal tsham nyid nas byad phur gyi //	0	gsal tsham nyid nas byad phur gyi 
BO_TZ47_TSI-060:5	mun stug 'joms la phyag byas nas //	0	mun stug joms la phyag byed nas 
BO_TZ47_TSI-060:6	man ngag shin tu nyer mkho dbye //	0	man ngag shin tu nyer mkho byed 
BO_TZ47_TSI-060:7	thugs sgrub bla ma smra seng khros pa 'jam dpal pha rol rgol ba 'joms pa'i las kyi gzer kha byad stems srung 'grol gnyis su bshad pa las /	0	thugs sgrub bla ma smra seng khro ba jam dpal pha rol rgol ba joms ba las kyi gzer kha byad stem srung grol gnyis su chad ba las 
BO_TZ47_TSI-060:8	byad 'grol gyi cho ga ni /	0	byad grol gyi cho ga ni 
BO_TZ47_TSI-060:9	stegs bur bum pa mgul chings mthing nag kha rgyan dang bcas pa'i nang du /	0	stegs bur bum ba mgul ching mthing nag kha rgyan dang cha ba nang du 
BO_TZ47_TSI-060:10	spyi 'gro'i bum rdzas nyer lnga /	1	spyi gro bum rdzas nyer lnga 
BO_TZ47_TSI-060:11	bzang po drug /gi wang /	1	bzang po drug wang 
BO_TZ47_TSI-060:12	shu dag /byang sems dkar dmar tshhad ldan ma rnyed na cu gang dang sin+d+hu ra /	1	shu dag sems dkar dmar tshhad ldan ma rnyed na cu gang dang sin+d+hu ra 
BO_TZ47_TSI-060:13	shing kun / yungs dkar /	1	shing kun yungs dkar 
BO_TZ47_TSI-060:14	bdud rtshi chos sman rnams sbyar ba'i phye ma dang dri bzang chus bkang ba bzhag	1	bdud rtshi chos sman rnams sbyor ba byed ma dang dri bzang chus geng ba jog 
BO_TZ47_TSI-060:15	/bdag bskyed mchod gtor sogs kyang bsham /	1	skyed mchod thor sogs kyang bsham 
BO_TZ47_TSI-060:16	thog mar pha rol rgol 'joms kyi bdag bskyed bzlas pa bsdu ldang bar rgyun khyer sogs gzhan las 'byung ba ltar grub nas /	1	thogs mar pha rol rgol joms kyi bdag skyed bzlas ba sdud ldang ba rgyun khyer sogs gzhan las byung ba ltar grub nas 
BO_TZ47_TSI-060:17	bum pa b+h+ru~m las rin po che'i :	1	bum ba b+h+ru~m las rin po che 
BO_TZ47_TSI-060:18	bum pa mtshhan nyid yongs rdzogs pa :	1	bum ba mtshhan nyid yongs rdzogs ba 
BO_TZ47_TSI-060:19	bdud rtshi'i bcud kyis gang ba'i dbus :	1	bdud rtshi bcud kyis gang ba dbus 
BO_TZ47_TSI-060:20	hu~m las pad+ma nyi ma'i steng :	2	hu~m las pad+ma nyi ma steng 
BO_TZ47_TSI-060:21	rdo rje gtshug tor khro bo'i rgyal :	2	rdo rje gtshug tor khro bo rgyal 
BO_TZ47_TSI-060:22	char sprin 'khrugs pa lta bu'i mdog :	2	char sprin khrugs ba lta bu mdog 
BO_TZ47_TSI-060:23	rtsha zhal nyis brgya mthing nag 'bar :	2	rtsha zhal nyis brgya mthing nag bar 
BO_TZ47_TSI-060:24	g.yas zhal nyis brgya ser zhing 'dzum :	2	g.yas zhal nyis brgya ser zhing dzum 
BO_TZ47_TSI-060:25	g.yon zhal nyis brgya ljang gu khro :	2	g.yon zhal nyis brgya ljang gu khro 
BO_TZ47_TSI-060:26	rgyab zhal nyis brgya dmar la bzhad :	2	rgyab zhal nyis brgya dmar la bzhad 
BO_TZ47_TSI-060:27	steng zhal nyis brgya dkar zhing zhi :	2	steng zhal nyis brgya dkar zhing zhi 
BO_TZ47_TSI-060:28	phyag stong ral gri me 'bar bsnams :	2	phyag stong ral gri me bar snom 
BO_TZ47_TSI-060:29	spyan stong bskal pa'i glog ltar 'khyugs :	2	spyan stong bskal ba glog ltar khyugs 
BO_TZ47_TSI-060:30	zhabs rnams dor stabs me phung dbus :	3	zhabs rnams dor stabs me phung dbus 
BO_TZ47_TSI-060:31	dpal chen chas rdzogs he ru ka :	3	dpal chen cha rdzogs he ru ka 
BO_TZ47_TSI-060:32	khams gsum sku yi dbyings su rdzogs :	3	khams gsum sku yi dbyings su rdzogs 
BO_TZ47_TSI-060:33	rab 'byams khro bo'i sprin phung 'phro :	3	rab byam khro bo sprin phung phro 
BO_TZ47_TSI-060:34	gnas gsum rdo rje'i 'bru gsum mtshhan :	3	gnas gsum rdo rje bru gsum mtshhan 
BO_TZ47_TSI-060:35	'od 'phros ye shes spyan drangs thim :	3	d phro ye shes spyan drangs thim 
