segmentnr	original	folio	stemmed
BO_TZ48_TSHI-058:0	\u0f01\u0f83: klong gsal rdo rje'i snying po las :	0	\u0f01\u0f83: klong gsal rdo rje snying po las 
BO_TZ48_TSHI-058:1	dbang chen tshhe sgrub nyi zla'i gwa'u bzhugs :	0	dbang chen tshhe sgrub nyi zla gwau bzhugs 
BO_TZ48_TSHI-058:2	klong gsal rdo rje'i snying po las :	0	klong gsal rdo rje snying po las 
BO_TZ48_TSHI-058:3	dbang chen tshhe sgrub nyi zla'i gwa'u ni :dkyil 'khor mchod tshhogs dpung ji bzhin :	0	dbang chen tshhe sgrub nyi zla gwau ni :dkyil khor mchod tshhogs dpung ji bzhin 
BO_TZ48_TSHI-058:4	spros pa che chung 'byor pas dpyad :	0	spros ba che chung byor ba dpyod 
BO_TZ48_TSHI-058:5	spros pa gang rung brtshon pa dang : dag snang dam tshhig mchog gis bsgrub :	0	spros ba gang rung brtshon ba dang dag snang dam tshhig mchog gis sgrub 
BO_TZ48_TSHI-058:6	sa ma ya :	0	sa ma ya 
BO_TZ48_TSHI-058:7	rgya rgya rgya :	0	rgya rgya rgya 
BO_TZ48_TSHI-058:8	hri: bdag dang dkyil 'khor dbang chen he ru ka :	0	hri: bdag dang dkyil khor dbang chen he ru ka 
BO_TZ48_TSHI-058:9	rigs kyi tshhe yi gzi mdangs sku mdog dmar :	0	rigs kyi tshhe yi gzi mdangs sku mdog dmar 
BO_TZ48_TSHI-058:10	log lta'i drwa ba gcod byed gri gug dang : dug lnga ye shes tshhe bcud gang ba'i thod :	1	log lta drwa ba gcod byed gri gug dang dug lnga ye shes tshhe bcud gang ba thod 
BO_TZ48_TSHI-058:11	mthu rtshal dur khrod dpal gyis mdzes par brgyan :	1	mthu rtshal dur khrod dpal gyis mdzes ba rgyan 
BO_TZ48_TSHI-058:12	phung po'i gzhal yas dpa' bo yab tu snang :	1	phung po jal yas dpa bo yab tu snang 
BO_TZ48_TSHI-058:13	gsang sngags las byung yang gsang yi ge gcig :	1	gsang sngags las byung yang gsang yi ge gcig 
BO_TZ48_TSHI-058:14	snang mtha' las 'phros lha tshhogs thugs tig go :	1	snang mtha las phro lha tshhogs thugs tig go 
BO_TZ48_TSHI-058:15	hrihhrihhri: hrihhrihhri: hrihhrihhri: thugs kar dbyangs gsal mtshhan pa'i nyi zla'i dbus :	1	hrihhrihhri: hrihhrihhri: hrihhrihhri: thugs kar dbyangs gsal mtshhan ba nyi zla dbus 
BO_TZ48_TSHI-058:16	thabs shes gnyis med sa bon snying po hri:	1	thabs shes gnyis med sa bon snying po hri: 
BO_TZ48_TSHI-058:17	shes rab chu yis sa bon cher bskyed cing :	1	shes rab chu yis sa bon cher skyed cing 
BO_TZ48_TSHI-058:18	thabs kyi drod kyis smin pa'i skur 'grub ste :	1	thabs kyi drod kyis smin ba skur grub ste 
BO_TZ48_TSHI-058:19	srung ba thabs shes yab yum nyi zla'i klong :	1	srung ba thabs shes yab yum nyi zla klong 
BO_TZ48_TSHI-058:20	tshhe yi bar chad he ru ka yis zlog :	2	tshhe yi ba chad he ru ka yis zlog 
BO_TZ48_TSHI-058:21	rdzogs rim ni :	2	rdzogs rim ni 
BO_TZ48_TSHI-058:22	a : stong pa shes rab mkha' klong las :	2	a stong ba shes rab mkha klong las 
BO_TZ48_TSHI-058:23	snang ba dbang chen lhang nger bzhengs :	2	snang ba dbang chen lhang nger bzhengs 
BO_TZ48_TSHI-058:24	gnyis med 'khor yug gsang sngags kyis :	2	gnyis med khor yug gsang sngags kyis 
BO_TZ48_TSHI-058:25	skye 'chi med par la bzla 'o :	2	skye chi med ba la bzla mang 
BO_TZ48_TSHI-058:26	don dam dbu ma'i dkyil 'khor dbus :	2	don dam dbu ma dkyil khor dbus 
BO_TZ48_TSHI-058:27	sa bon snying po thugs rig tshhe :	2	sa bon snying po thugs rig tshhe 
BO_TZ48_TSHI-058:28	thabs shes gnyis su med pa'i mtshho :	2	thabs shes gnyis su med ba mtshho 
BO_TZ48_TSHI-058:29	srog rtshol rlung bzhin rdo rje'i bzlas :	2	srog rtshol rlung bzhin rdo rje bzlas 
BO_TZ48_TSHI-058:30	'byung lnga'i rten 'brel grogs byos shig :	3	byung lnga rten brel grogs byos shig 
BO_TZ48_TSHI-058:31	a+o~m ahhu~m: spros pa chod pa'i rnal 'byor zhig :	3	a+o~m ahhu~m: spros ba chod ba rnal byor jig 
BO_TZ48_TSHI-058:32	gangs khrod 'grim pa'i cha rkyen no :	3	gangs khrod grim ba cha rkyen no 
BO_TZ48_TSHI-058:33	sa ma ya :	3	sa ma ya 
BO_TZ48_TSHI-058:34	rgya rgya rgya :	3	rgya rgya rgya 
BO_TZ48_TSHI-058:35	'byor pa mchog gi rnal 'byor pa :	3	byor ba mchog gi rnal byor ba 
BO_TZ48_TSHI-058:36	tshhe rabs gang yang mthar thug par :	3	tshhe rabs gang yang mthar thug ba 
BO_TZ48_TSHI-058:37	tshhogs gnyis ye shes 'bras bu che :	3	tshhogs gnyis ye shes bras bu che 
BO_TZ48_TSHI-058:38	gces phyir pad+mas 'di skad smra :	3	gces phyir pad+mas di skad smra 
BO_TZ48_TSHI-058:39	sa ma ya :	3	sa ma ya 
BO_TZ48_TSHI-058:40	bsod nams zhing gyur spyan drangs pa :	4	bsod nams zhing gyur spyan drangs ba 
BO_TZ48_TSHI-058:41	tshhig gi lam la rig pas bsam :	4	tshhig gi lam la rig ba bsam 
BO_TZ48_TSHI-058:42	hri: 'chi med tshhe yi dbang phyug bcom ldan 'das :	4	hri: chi med tshhe yi dbang phyug joms ldan da 
BO_TZ48_TSHI-058:43	gar bsgyur thugs rje'i bdag nyid rta mchog rol :	4	gar sgyur thugs rje bdag nyid rta mchog rol 
BO_TZ48_TSHI-058:44	srung zlog gnyis med tshhe yi dpal bskyed phyir :	4	srung zlog gnyis med tshhe yi dpal skyed phyir 
BO_TZ48_TSHI-058:45	'khor bcas 'gro ba'i don du spyan 'dren no :	4	khor cha gro ba don du spyan bgrang no 
BO_TZ48_TSHI-058:46	badzra sa ma ya dza dza :	4	badzra sa ma ya dza dza 
BO_TZ48_TSHI-058:47	bzhugs su gsol ba ni :	4	bzhugs su gsol ba ni 
BO_TZ48_TSHI-058:48	hri: phung por he ru ka yi byin phob cig :	4	hri: phung por he ru ka yi byin phob cig 
BO_TZ48_TSHI-058:49	snang ba mtha' yas mgon pos dpal skyed cig :	4	snang ba mtha yas mgon pos dpal skyed cig 
BO_TZ48_TSHI-058:50	gnyis med ye shes tshhe yi bcud stshol cig :	5	gnyis med ye shes tshhe yi bcud stshol cig 
BO_TZ48_TSHI-058:51	gsol ba'i don gyi 'bras bu mchis par mdzod :	5	gsol ba don gyi bras bu mchis ba mdzod 
BO_TZ48_TSHI-058:52	sa ma ya hu~m:	5	sa ma ya hu~m: 
BO_TZ48_TSHI-058:53	phyag 'tshhal ba ni :	5	phyag tshhal ba ni 
BO_TZ48_TSHI-058:54	sgo gsum dad pas rtag phyag 'tshhal :	5	sgo gsum dad ba rtag phyag tshhal 
BO_TZ48_TSHI-058:55	rol pa 'gag med tshhe dbang stshol :	5	rol ba gag med tshhe dbang stshol 
BO_TZ48_TSHI-058:56	na mo pu ru sha ya ho :	5	na mo pu ru sha ya ho 
BO_TZ48_TSHI-058:57	mchod 'bul ni :	5	mchod bul ni 
BO_TZ48_TSHI-058:58	hri: snang srid dag pa rab 'byams mchod pa che :	5	hri: snang srid dag ba rab byam mchod ba che 
BO_TZ48_TSHI-058:59	klong yangs las byung kun bzang mchod pa'i sprin :	5	klong yangs las byung kun bzang mchod ba sprin 
BO_TZ48_TSHI-058:60	bsod nams ye shes spel phyir cir yang snang :	6	bsod nams ye shes spel phyir cir yang snang 
BO_TZ48_TSHI-058:61	'gro kun tshhogs gnyis rab rdzogs tshhe 'phel shog :	6	gro kun tshhogs gnyis rab rdzogs tshhe phel shog 
BO_TZ48_TSHI-058:62	a+o~m badzra ar+g+ham sogs /	6	a+o~m badzra ar+g+ham sogs 
BO_TZ48_TSHI-058:63	shab+da ru pa shab+da g+han+d+he ra sa par+she kha hi :	6	shab+da ru ba shab+da g+han+d+he ra sa par+she kha hi 
BO_TZ48_TSHI-058:64	a+o~m ahhu~m ma ha sarba pany+tsha a mr-ita kha hi :	6	a+o~m ahhu~m ma ha sarba pany+tsha a mr-ita kha hi 
BO_TZ48_TSHI-058:65	ma ha rak+ta kha hi :	6	ma ha rak+ta kha hi 
BO_TZ48_TSHI-058:66	ma ha ba lim ta kha hi :	6	ma ha ba lim ta kha hi 
BO_TZ48_TSHI-058:67	bstod pa ni :	6	bstod ba ni 
BO_TZ48_TSHI-058:68	hri: snang mtha' 'chi med dpal las skur sprul pa'i :	6	hri: snang mtha chi med dpal las skur sprul ba 
BO_TZ48_TSHI-058:69	zhi bas gdul dka' mi bsrun drag rtshal can :	6	zhi ba gdul dka mi bsrun drag rtshal can 
BO_TZ48_TSHI-058:70	'chi med tshhe yi dpal 'bar he ru ka :	7	chi med tshhe yi dpal bar he ru ka 
BO_TZ48_TSHI-058:71	srung zlog tshhe yi phrin las mdzad la bstod :	7	srung zlog tshhe yi phrin las mdzad la bstod 
BO_TZ48_TSHI-058:72	bskul ba ni :	7	skul ba ni 
BO_TZ48_TSHI-058:73	hri: rab khros dbang chen 'bar ba'i dus la babs :	7	hri: rab khro dbang chen bar ba dus la bab 
BO_TZ48_TSHI-058:74	dus min 'chi ba'i gnod pa myur du zlogs :	7	dus min chi ba gnod ba myur du zlogs 
BO_TZ48_TSHI-058:75	dbang chen lha tshhogs thugs dam rgyud bskul te :	7	dbang chen lha tshhogs thugs dam brgyud skul te 
BO_TZ48_TSHI-058:76	'chi med tshhe dbang mngon du 'gyur bar mdzod :	7	chi med tshhe dbang mngon du gyur ba mdzod 
BO_TZ48_TSHI-058:77	ma ra ya phat:	7	ma ra ya phat: 
BO_TZ48_TSHI-058:78	tshhogs mchod ni :	7	tshhogs mchod ni 
BO_TZ48_TSHI-058:79	ram yam kham: gzung 'dzin rab sbyangs ye shes bdud rtshir bsgyur :	7	ram yam kham: gzung dzin rab sbyong ye shes bdud rtshir sgyur 
BO_TZ48_TSHI-058:80	a+o~m ahhu~m: gces 'dzin bdag 'dzin gsod pa'i bam ro'i tshhogs :	8	a+o~m ahhu~m: gces dzin bdag dzin gsod ba bam ro tshhogs 
BO_TZ48_TSHI-058:81	bde gshegs ye shes mkha' 'gro srung mas bzhes :	8	bde gshegs ye shes mkha gro srung mas bzhes 
BO_TZ48_TSHI-058:82	kha kha kha hi kha hi :	8	kha kha kha hi kha hi 
BO_TZ48_TSHI-058:83	lhag ma ni :	8	lhag ma ni 
BO_TZ48_TSHI-058:84	ye shes lhag ma 'jig rten srung mas bzhes :	8	ye shes lhag ma jig rten srung mas bzhes 
BO_TZ48_TSHI-058:85	b+h+yo b+h+yo hu~m phat:	8	b+h+yo b+h+yo hu~m phat: 
BO_TZ48_TSHI-058:86	skong ba ni :	8	skong ba ni 
BO_TZ48_TSHI-058:87	nyams pa bskang phyir 'byor tshhogs mchod sprin gyis :	8	nyams ba skong phyir byor tshhogs mchod sprin gyis 
BO_TZ48_TSHI-058:88	bde gshegs rgyal ba rgya mtshho'i thugs dam bskang :	8	bde gshegs rgyal ba rgya mtshho thugs dam skong 
BO_TZ48_TSHI-058:89	bla ma yi dam mkha' 'gro'i thugs dam bskang :	8	bla ma yi dam mkha gro thugs dam skong 
BO_TZ48_TSHI-058:90	gnas gter chos skyong rnams kyi thugs dam bskang :	9	gnas gter chos skyong rnams kyi thugs dam skong 
BO_TZ48_TSHI-058:91	thugs dam bskangs gyur dbang dang dngos grub stshol :	9	thugs dam skong gyur dbang dang dngos grub stshol 
BO_TZ48_TSHI-058:92	bskang bya skong byed dbyer med rang grol klong :	9	skong byed skong byed dbyer med rang grol klong 
BO_TZ48_TSHI-058:93	don gyi 'gyod tshhangs bshags pa'i skur blta 'o :	9	don gyi gyod tshhangs chags ba skur lta mang 
BO_TZ48_TSHI-058:94	sa ma ya :	9	sa ma ya 
BO_TZ48_TSHI-058:95	lam khyer gyi dzapa? tu :	9	lam khyer gyi dzapa? tu 
BO_TZ48_TSHI-058:96	lus kyi gzhal yas dbang chen he ru ka :	9	lus kyi jal yas dbang chen he ru ka 
BO_TZ48_TSHI-058:97	tshhe dang ye shes gnyis med snying po'i sngags :	9	tshhe dang ye shes gnyis med snying po sngags 
BO_TZ48_TSHI-058:98	thabs shes yi dam mkha' 'gros 'tshho bar mdzad :	9	thabs shes yi dam mkha gros tshho ba mdzad 
BO_TZ48_TSHI-058:99	snang stong ma 'gags rol pa'i skur blta 'o :	9	snang stong ma gag rol ba skur lta mang 
BO_TZ48_TSHI-058:100	hrihhrihhri: hrihhrihhri: sa ma ya ::	10	hrihhrihhri: hrihhrihhri: sa ma ya 
BO_TZ48_TSHI-058:101	rjes su 'jug la tshhe yi dbang sbyin ni :	10	rjes su jug la tshhe yi dbang sbyin ni 
BO_TZ48_TSHI-058:102	spro ba bskyed phyir dag snang mdzes par bsham :	10	spro ba skyed phyir dag snang mdzes ba bsham 
BO_TZ48_TSHI-058:103	byin rlabs 'jug phyir tshhul bzhin yan lag sbyar :	10	byin rlabs jug phyir tshhul bzhin yan lag sbyor 
BO_TZ48_TSHI-058:104	dngos grub thob phyir dbang don klong du gzhug :	10	dngos grub thob phyir dbang don klong du jug 
BO_TZ48_TSHI-058:105	dam tshhig chu yis dus su bkru bar gyis :	10	dam tshhig chu yis dus su khrud ba gyis 
BO_TZ48_TSHI-058:106	sa ma ya :	10	sa ma ya 
BO_TZ48_TSHI-058:107	rgya rgya rgya :	10	rgya rgya rgya 
BO_TZ48_TSHI-058:108	man+dal gsol ba 'debs pa ni :	10	man+dal gsol ba debs ba ni 
BO_TZ48_TSHI-058:109	e ma bla ma rin po che :	10	e ma bla ma rin po che 
BO_TZ48_TSHI-058:110	bdag cag skal ldan rnal 'byor la :	11	bdag cag skal ldan rnal byor la 
BO_TZ48_TSHI-058:111	tshhe yi dngos grub thob pa'i phyir :	11	tshhe yi dngos grub thob ba phyir 
BO_TZ48_TSHI-058:112	'chi med tshhe yi dngos grub kyi :	11	chi med tshhe yi dngos grub kyi 
BO_TZ48_TSHI-058:113	gdams pa rin chen bdag la stshol :	11	doms ba rin chen bdag la stshol 
BO_TZ48_TSHI-058:114	zhus pas : slob dpon gyis :	11	zhus ba slob dpon gyis 
BO_TZ48_TSHI-058:115	rdo rje snying po'i dkyil 'khor du :	11	rdo rje snying po dkyil khor du 
BO_TZ48_TSHI-058:116	rta mchog rol pa'i bcud blangs nas :	11	rta mchog rol ba bcud blangs nas 
BO_TZ48_TSHI-058:117	tshhe yi gegs sel tshhe sgrub cing :	11	tshhe yi gegs sel tshhe sgrub cing 
BO_TZ48_TSHI-058:118	dpag med dkyil 'khor tshhe la zhugs :	11	dpog med dkyil khor tshhe la jug 
BO_TZ48_TSHI-058:119	zhes gnang ba sbyin te :	11	zhes gnang ba sbyin te 
BO_TZ48_TSHI-058:120	ye shes dbab pa ni :	12	ye shes bebs ba ni 
BO_TZ48_TSHI-058:121	rang dpa' bo rta mgrin du bsgoms pa'i thugs kar hrihyig las 'od zer 'phros pas bde chen pad+ma bkod 'og min chos kyi dbyings nas bde gshegs kyi nus pa drangs nas tshhe'i ngo bor bdag la thim par bsgom :	12	rang dpa bo rta mgrin du sgom ba thugs kar hrihyig las d zer phro ba bde chen pad+ma bkod g min chos kyi dbyings nas bde gshegs kyi nus ba drangs nas tshhe ngo bor bdag la thim ba bsgom 
BO_TZ48_TSHI-058:122	hri: chos dbyings dgongs pa rang grol gyis :	12	hri: chos dbyings dgongs ba rang grol gyis 
BO_TZ48_TSHI-058:123	skye med chos sku'i tshhe dbang stshol :	12	skye med chos sku tshhe dbang stshol 
BO_TZ48_TSHI-058:124	'gag med mtshhan dpe'i skur snang bas :	12	gag med mtshhan dpe skur snang ba 
BO_TZ48_TSHI-058:125	'gag med longs sku'i tshhe dbang stshol :	12	gag med longs sku tshhe dbang stshol 
BO_TZ48_TSHI-058:126	gang 'dul mdzad pa'i phrin las skus :	12	gang dul mdzad ba phrin las skus 
BO_TZ48_TSHI-058:127	tshhad med sprul sku'i tshhe dbang stshol :	12	tshhad med sprul sku tshhe dbang stshol 
BO_TZ48_TSHI-058:128	zhi bas 'dul dka' drag po'i skus :	12	zhi ba dul dka drag po skus 
BO_TZ48_TSHI-058:129	rta mchog rol pa'i tshhe dbang stshol :	12	rta mchog rol ba tshhe dbang stshol 
BO_TZ48_TSHI-058:130	badzra sa ma ya dza dza :	13	badzra sa ma ya dza dza 
BO_TZ48_TSHI-058:131	de ltar ye shes dbab pa de nyid brtan par bya ba ni :	13	de ltar ye shes bebs ba de nyid brtan ba byed ba ni 
BO_TZ48_TSHI-058:132	su pra tish+tha badzra ya swa ha:	13	su pra tish+tha badzra ya swa ha: 
BO_TZ48_TSHI-058:133	bum pa thogs la :	13	bum ba thogs la 
BO_TZ48_TSHI-058:134	hri: rta mchog rngams pa'i bum pa ni :	13	hri: rta mchog rngams ba bum ba ni 
BO_TZ48_TSHI-058:135	'chi med tshhe yi bcud kyis gtams :	13	chi med tshhe yi bcud kyis gtams 
BO_TZ48_TSHI-058:136	skal ldan lus dbang lha yis bskur :	13	skal ldan lus dbang lha yis skur 
BO_TZ48_TSHI-058:137	'chi med tshhe yi skur smin no :	13	chi med tshhe yi skur smin no 
BO_TZ48_TSHI-058:138	a+o~m hrihbadzra kro d+ha ha ya gri ba hu lu hu lu da ki ni hu~m phat:	13	a+o~m hrihbadzra kro d+ha ha ya gri ba hu lu hu lu da ki ni hu~m phat: 
BO_TZ48_TSHI-058:139	a+o~m a ma ra ni dzi ban+ti ye swa ha:	13	a+o~m a ma ra ni dzi ban+ti ye swa ha: 
BO_TZ48_TSHI-058:140	ka ya a b+hi shiny+tsha a+o~m:	14	ka ya a b+hi shiny+tsha a+o~m: 
BO_TZ48_TSHI-058:141	b+han+d+ha bdud rtshi gtad la :	14	b+han+d+ha bdud rtshi gtod la 
BO_TZ48_TSHI-058:142	hri: dbang chen thabs shes gsang ba'i rgyun :	14	hri: dbang chen thabs shes gsang ba rgyun 
BO_TZ48_TSHI-058:143	'chi med tshhe yi bcud kyis gtams :	14	chi med tshhe yi bcud kyis gtams 
BO_TZ48_TSHI-058:144	skal ldan ngag dbang sngags kyis bskur :	14	skal ldan ngag dbang sngags kyis skur 
BO_TZ48_TSHI-058:145	'chi med tshhe yi skur smin no :	14	chi med tshhe yi skur smin no 
BO_TZ48_TSHI-058:146	rtsha sngags : ba ka a b+hi shiny+tsha a:	14	rtsha sngags ba ka a b+hi shiny+tsha a: 
BO_TZ48_TSHI-058:147	shes rab ye shes dbang ni :	14	shes rab ye shes dbang ni 
BO_TZ48_TSHI-058:148	hri: shes rab ye shes las byung ba'i :	14	hri: shes rab ye shes las byung ba 
BO_TZ48_TSHI-058:149	dga' bzhi 'chi med bcud kyis gtams :	14	dga bzhi chi med bcud kyis gtams 
BO_TZ48_TSHI-058:150	skal ldan yid dbang chos kyis bskur :	15	skal ldan yid dbang chos kyis skur 
BO_TZ48_TSHI-058:151	'chi med tshhe yi skur smin no :	15	chi med tshhe yi skur smin no 
BO_TZ48_TSHI-058:152	rtsha sngags : tshit+ta a b+hi shiny+tsha hu~m:	15	rtsha sngags tshit+ta a b+hi shiny+tsha hu~m: 
BO_TZ48_TSHI-058:153	dz+nya na gu h+ya a b+hi shiny+tsha hri:	15	dz+nya na gu h+ya a b+hi shiny+tsha hri: 
BO_TZ48_TSHI-058:154	rig pa tshhig dbang gi me long gtad la :	15	rig ba tshhig dbang gi me long gtod la 
BO_TZ48_TSHI-058:155	hri: tshhig gi bdud rtshi rna dbang reg byas myong :	15	hri: tshhig gi bdud rtshi rna dbang reg byed myong 
BO_TZ48_TSHI-058:156	don dam tshhig gis mi mtshhon gang shar skyongs :	15	don dam tshhig gis mi mtshhon gang char skyongs 
BO_TZ48_TSHI-058:157	skye med shar cha 'gag med rang grol skyongs :	15	skye med char cha gag med rang grol skyongs 
BO_TZ48_TSHI-058:158	rtshol med ma yengs khor yug lam du khyer :	15	rtshol med ma yengs khor yug lam du khyer 
BO_TZ48_TSHI-058:159	don dam skye 'chi gnyis med sa zungs shig :	15	don dam skye chi gnyis med sa zungs shig 
BO_TZ48_TSHI-058:160	me tog 'thor :	16	me tog thor 
BO_TZ48_TSHI-058:161	dga' ston dam tshhig rjes kyi bya ba spyod :	16	dga ston dam tshhig rjes kyi byed ba spyod 
BO_TZ48_TSHI-058:162	sa ma ya :	16	sa ma ya 
BO_TZ48_TSHI-058:163	rgya rgya rgya :	16	rgya rgya rgya 
BO_TZ48_TSHI-058:164	sngags bdag drang srong rdo rje legs :	16	sngags bdag dren srong rdo rje legs 
BO_TZ48_TSHI-058:165	dgongs pa'i gtad rgya 'ben la 'big :	16	dgongs ba gtod rgya ben la big 
BO_TZ48_TSHI-058:166	sa ma ya :	16	sa ma ya 
BO_TZ48_TSHI-058:167	rgya rgya rgya :	16	rgya rgya rgya 
