segmentnr	original	folio	stemmed
BO_TZ49_DZI-035:0	bla 'gugs kyi sngags bzla ba ni /	0	bla gugs kyi sngags bzla ba ni 
BO_TZ49_DZI-035:1	rang nyid yi dam du gsal ba'i ngang nas /	0	rang nyid yi dam du gsal ba ngang nas 
BO_TZ49_DZI-035:2	thugs ka'i hu~m las 'od zer lcags kyu'i rnam pa can dpag tu med pa 'phros /	0	thugs ka hu~m las d zer lcags kyu rnam ba can dpog tu med ba phro 
BO_TZ49_DZI-035:3	bla ma yi dam sangs rgyas byang sems dpa' bo mkha' 'gro chos skyong srung ma dang bcas pa'i thugs dam gyi rgyud bskul /	0	bla ma yi dam sangs rgya byang sems dpa bo mkha gro chos skyong srung ma dang cha ba thugs dam gyi brgyud skul 
BO_TZ49_DZI-035:4	slar yang 'od zer sna tshhogs steng 'og phyogs mtshhams kun tu 'phros pas /	0	slar yang d zer sna tshhogs steng g phyogs mtshhams kun tu phro ba 
BO_TZ49_DZI-035:5	sa 'og sa steng sa bla'i khams thams cad khyab /	0	sa g sa steng sa bla khams thams cad khyab 
BO_TZ49_DZI-035:6	bla tshhe la bar du gcod pa'i steng gdon gza' dang rgyu skar /	0	bla tshhe la ba du gcod ba steng don gza dang rgyu skar 
BO_TZ49_DZI-035:7	'og gdon sa bdag klu gnyan /	0	g don sa bdag klu gnyan 
BO_TZ49_DZI-035:8	bar gdon btshan dang rgyal po la sogs mdor na gdon bgegs kyi rigs su gyur pas brkus pa dang / phrogs pa dang / bzhams pa dang / yar pa dang / 'khyams pa dang / stor ba la sogs bkug	0	ba don btshan dang rgyal po la sogs mdor na don bgegs kyi rigs su gyur ba rku ba dang phrog ba dang bzhams ba dang yar ba dang khyam ba dang stor ba la sogs gugs 
BO_TZ49_DZI-035:9	/yon gyi bdag por bstims pas /	0	gyi bdag por stim ba 
BO_TZ49_DZI-035:10	nyams pa gsos /	1	nyams ba gsos 
BO_TZ49_DZI-035:11	chad pa mthud /	1	chad ba mthud 
BO_TZ49_DZI-035:12	yo ba bsrangs /	1	yo ba bsrangs 
BO_TZ49_DZI-035:13	sngar bas kyang gzi brjid dang ldan nas bla tshhe srog gsum mi nor zas gsum la sogs pa rgyas shing brtan par gyur /	1	sngar ba kyang gzi brjid dang ldan nas bla tshhe srog gsum mi nor zas gsum la sogs ba rgya shing brtan ba gyur 
BO_TZ49_DZI-035:14	spro bsdu'i dmigs pa gsal ba dang / a ha ri ni sa rdzab rdzab rdzub rdzub b+ha dra slong slong nr-i khug dza dzah	1	spro sdud dmigs ba gsal ba dang a ha ri ni sa rdzab rdzab rdzub rdzub b+ha dra slong slong nr-i khug dza dzah 
BO_TZ49_DZI-035:15	brgya stong khri 'bum sogs dang / rtags sbyar te bzla 'o //	1	brgya stong khri bum sogs dang rtags sbyor te bzla mang 
BO_TZ49_DZI-035:16	thun drug gam bzhi bcad pa'i cho ga bzlas pa dang bcas pa bya /	1	thun drug gam bzhi gcod ba cho ga bzlas ba dang cha ba byed 
BO_TZ49_DZI-035:17	dngos sam rmi lam gyi ltas dang bstun pa'i skabs /	1	dngos sam rmi lam gyi ltas dang bstun ba skabs 
BO_TZ49_DZI-035:18	rgyal po'i pho brang ngam kun dga' ra ba dang / chos ra chen po 'am grong khyer chen po'i mdo khrom 'dus ra lha srin 'dus ra /	1	rgyal po pho brang ngam kun dga ra ba dang chos ra chen po mang grong khyer chen po mdo khrom du ra lha srin du ra 
BO_TZ49_DZI-035:19	mi ming lo khams 'di zhes pa'i bla tshhe nyams pa dang yar pa /	1	mi ming lo khams di zhes ba bla tshhe nyams ba dang yar ba 
BO_TZ49_DZI-035:20	stor ba dang phros pa /	2	stor ba dang phros ba 
BO_TZ49_DZI-035:21	'khyams pa dang phrogs pa /	2	khyam ba dang phrog ba 
BO_TZ49_DZI-035:22	brkus pa dang bkug pa thams cad rang gnas su khug cig	2	rku ba dang gugs ba thams cad rang gnas su khug cig 
BO_TZ49_DZI-035:23	/ces skad gsang mthon pos 'bod cing bstim pa'i mos pa brtan por byed /	2	skad gsang mthon pos bod cing stim ba mos ba brtan por byed 
BO_TZ49_DZI-035:24	skabs mtshhams su yon bdag gam bla rten gang rung gi mdun du kha gtad la bla lug chu dang bcas pa bzhag	2	skabs mtshhams su yon bdag gam bla rten gang rung gi mdun du kha gtod la bla lug chu dang cha ba jog 
BO_TZ49_DZI-035:25	/dmod bor kha bskor la /	2	bor kha skor la 
BO_TZ49_DZI-035:26	yon bdag gi bla rten phyogs su kha bstan nas 'dug na khug pa'i rtags yin pas bzang /	2	yon bdag gi bla rten phyogs su kha ston nas dug na khug ba rtags yin ba bzang 
BO_TZ49_DZI-035:27	bkra shis par shog //	2	bkra shis ba shog 
