segmentnr	original	folio	stemmed
BO_TZ4_NGA-014:2000	so sor rtog ste rol pa'i bro :	200	so sor rtogs ste rol ba bro 
BO_TZ4_NGA-014:2001	thabs dang shes rab 'du byed las :	200	thabs dang shes rab du byed las 
BO_TZ4_NGA-014:2002	brtshon pas bya ba grub pa'i bro :	200	brtshon ba byed ba grub ba bro 
BO_TZ4_NGA-014:2003	thabs dang shes rab rnam shes las :	200	thabs dang shes rab rnam shes las 
BO_TZ4_NGA-014:2004	rtog med chos kyi dbyings kyi bro :	200	rtogs med chos kyi dbyings kyi bro 
BO_TZ4_NGA-014:2005	dus gsum sangs rgyas thams cad kyi :	200	dus gsum sangs rgya thams cad kyi 
BO_TZ4_NGA-014:2006	bro ni skye ba med pa'i bro :	200	bro ni skye ba med ba bro 
BO_TZ4_NGA-014:2007	glu ni 'gag pa med pa'i glu :	200	glu ni gag ba med ba glu 
BO_TZ4_NGA-014:2008	zhi bar mi gnas tshhig tu 'byung :	200	zhi ba mi gnas tshhig tu byung 
BO_TZ4_NGA-014:2009	rgyal ba'i phrin las thams cad kyi :	200	rgyal ba phrin las thams cad kyi 
BO_TZ4_NGA-014:2010	sna tshhogs las kyi gar 'di ni :	201	sna tshhogs las kyi gar di ni 
BO_TZ4_NGA-014:2011	bde ba chen po skyed pa'i bro :	201	bde ba chen po skyed ba bro 
BO_TZ4_NGA-014:2012	tshhad med nam mkha'i mtha' mnyam pa :	201	tshhad med nam mkha mtha mnyam ba 
BO_TZ4_NGA-014:2013	phyogs bzhi'i dkyil 'khor yangs pa ru :	201	phyogs bzhi dkyil khor yangs ba ru 
BO_TZ4_NGA-014:2014	rta mchog rigs bzhis las mdzad pas :	201	rta mchog rigs bzhis las mdzad ba 
BO_TZ4_NGA-014:2015	thabs shes g.yul ngo thams cad zlog :	201	thabs shes g.yul ngo thams cad zlog 
BO_TZ4_NGA-014:2016	spros pa med pa'i ngang la gnas :	201	spros ba med ba ngang la gnas 
BO_TZ4_NGA-014:2017	om ha ya gri ba hrihb+h+ru~m hu~m phat:	201	om ha ya gri ba hrihb+h+ru~m hu~m phat: 
BO_TZ4_NGA-014:2018	shan+tim ku ru om:	201	shan+tim ku ru om: 
