segmentnr	original	folio	stemmed
BO_TZ50_WI-009:0	nor sgrub rin chen bum bzang gi brgyud 'debs don 'dus snying po bzhugs so //	0	nor sgrub rin chen bum bzang gi brgyud debs don du snying po bzhugs so 
BO_TZ50_WI-009:1	na mo ma ha gu ru pad+ma sam b+ha wa ya /	0	na mo ma ha gu ru pad+ma sam b+ha wa ya 
BO_TZ50_WI-009:2	chos sku'i ston pa kun bzang snang mtha' yas //	0	chos sku ston ba kun bzang snang mtha yas 
BO_TZ50_WI-009:3	longs sku'i ston pa rnam snang spyan ras gzigs //	0	longs sku ston ba rnam snang spyan ras gzigs 
BO_TZ50_WI-009:4	sprul sku'i ston pa pad 'byung 'gro ba'i mgon //	0	sprul sku ston ba pad byung gro ba mgon 
BO_TZ50_WI-009:5	sku gsum ston pa 'khor dang bcas la 'dud //	0	sku gsum ston ba khor dang cha la dud 
BO_TZ50_WI-009:6	bka' babs thugs sras rje 'bangs nyi shu lnga //	0	bka bab thugs sras rje bang nyi shu lnga 
BO_TZ50_WI-009:7	mu rub sangs gling zhig gling mchog gyur gling //	0	mu rub sangs gling jig gling mchog gyur gling 
BO_TZ50_WI-009:8	lung zin chos bdag brgyud par bcas rnams dang / khyad par bla ma nor lha'i brgyud par 'dud //	0	lung zin chos bdag brgyud ba cha rnams dang khyad ba bla ma nor lha brgyud ba dud 
BO_TZ50_WI-009:9	rin chen khang bu rin chen mdzod dang sprin //	0	rin chen khang bu rin chen mdzod dang sprin 
BO_TZ50_WI-009:10	rin chen snying po rin chen bum pa bzang //	1	rin chen snying po rin chen bum ba bzang 
BO_TZ50_WI-009:11	yid bzhin dpal snying nor lha yongs rdzogs rgyud //	1	yid bzhin dpal snying nor lha yongs rdzogs brgyud 
BO_TZ50_WI-009:12	gzungs dang man ngag bka' gter brgyud par 'dud //	1	gzungs dang man ngag bka gter brgyud ba dud 
BO_TZ50_WI-009:13	mdor na sku gsum rnam 'dren rgya mtshho yi //	1	mdor na sku gsum rnam bgrang rgya mtshho yi 
BO_TZ50_WI-009:14	rgyud lung gsung rab rgya mtshho la brten pa'i //	1	brgyud lung gsung rab rgya mtshho la rten ba 
BO_TZ50_WI-009:15	longs spyod dpal g.yang rgya mtshho spel thabs kyi //	1	longs spyod dpal g.yang rgya mtshho spel thabs kyi 
BO_TZ50_WI-009:16	gsar rnying brgyud srol rgya mtshho kun la 'dud //	1	gsar rnying brgyud srol rgya mtshho kun la dud 
BO_TZ50_WI-009:17	de ltar gsol ba btab pa'i byin rlabs kyi //	1	de ltar gsol ba debs ba byin rlabs kyi 
BO_TZ50_WI-009:18	ka dag g.yang gi rgya mtshho 'khyil ba'i dbus //	1	ka dag g.yang gi rgya mtshho khyil ba dbus 
BO_TZ50_WI-009:19	lhun grub yid bzhin nor bu 'od 'bar bas //	1	lhun grub yid bzhin nor bu d bar ba 
BO_TZ50_WI-009:20	gnas skabs mthar thug phan dang bde ba yi //	2	gnas skabs mthar thug phan dang bde ba yi 
BO_TZ50_WI-009:21	bkra shis bsam don lhun grub dpal 'bar shog	2	bkra shis bsam don lhun grub dpal bar shog 
BO_TZ50_WI-009:22	/ces pa 'di ltar dgos zhes dge slong karma sgrub brgyud tshhul khrims ye shes kyi gsung ngor mkhan po rat+nas bris pa bi dza yan+tu //	2	ba di ltar dgos zhes dge slong karma sgrub brgyud tshhul khrims ye shes kyi gsung ngor mkhan po rat+nas bri ba bi dza yan+tu 
BO_TZ50_WI-009:23	bkra shis /// /	2	bkra shis 
