segmentnr	original	folio	stemmed
BO_TZ51_ZHI-004:0	@#// grub chen thang stong rgyal po'i rdo rje'i gsung g.yang 'gugs byin rlabs can bzhugs so //	0	grub chen thang stong rgyal po rdo rje gsung g.yang gugs byin rlabs can bzhugs so 
BO_TZ51_ZHI-004:1	om swasti bi dza yan+tu /	0	om swasti bi dza yan+tu 
BO_TZ51_ZHI-004:2	'chi med grub pa'i dbang phyug thang stong rgyal po'i rdo rje'i gsung g.yang 'gugs byin rlabs can gtong bar 'dod pas /	0	chi med grub ba dbang phyug thang stong rgyal po rdo rje gsung g.yang gugs byin rlabs can gtong ba dod ba 
BO_TZ51_ZHI-004:3	nor lha gzhan gyi phrin las dang 'brel na bzlas pa'i mjug sogs skabs su babs pa'i tshhe bya /	0	nor lha gzhan gyi phrin las dang brel na bzlas ba mjug sogs skabs su bab ba tshhe byed 
BO_TZ51_ZHI-004:4	'di nyid kho na glo bur du gtong ba'i tshhe /	0	di nyid kho na glo bur du gtong ba tshhe 
BO_TZ51_ZHI-004:5	'phying pa sogs gzhi gdan dkar po'i steng 'bru dkar gyis g.yung drung ris bris par g.yang gi rten rdzas yod na dgram /	0	phying ba sogs gzhi gdan dkar po steng bru dkar gyis g.yung drung ris bri ba g.yang gi rten rdzas yod na grem 
BO_TZ51_ZHI-004:6	dmigs gsal med tshhe snod bzang por g.yang bshos rin chen 'bar ba'i dbyibs la dar ras 'bru sman rin chen zas phud gtshang ma ci 'byor pas phyur bur gtams pa'i g.yas su phye mar dang / g.yon du g.yang chang mar gyi ze prog can /	0	dmigs gsal med tshhe snod bzang por g.yang bshos rin chen bar ba dbyibs la dar ras bru sman rin chen zas bud gtshang ma ci byor ba phyur bur gtams ba g.yas su byed mar dang g.yon du g.yang chang mar gyi ze prog can 
BO_TZ51_ZHI-004:7	mdun du mchod pa ji ltar rigs pas mdzes par bstar /	0	mdun du mchod ba ji ltar rigs ba mdzes ba bstar 
BO_TZ51_ZHI-004:8	rang gi mdun du mda' dar dang rol mo'i bye brag sogs nye bar mkho ba rnams bsham /	0	rang gi mdun du mda dar dang rol mo bye brag sogs nye ba mkho ba rnams bsham 
BO_TZ51_ZHI-004:9	bdag bskyed rgyas pa'am /	0	bdag skyed rgya ba 
BO_TZ51_ZHI-004:10	bsdu na / ma nam mkha' dang mnyam pa'i sems can thams cad bla ma sangs rgyas rin po che la skyabs su mchi 'o //	1	sdud na ma nam mkha dang mnyam ba sems can thams cad bla ma sangs rgya rin po che la skyob su mchi mang 
BO_TZ51_ZHI-004:11	sangs rgyas chos dang dge 'dun rnams la skyabs su mchi 'o //	1	sangs rgya chos dang dge dun rnams la skyob su mchi mang 
BO_TZ51_ZHI-004:12	bla ma yi dam mkha' 'gro'i tshhogs la skyabs su mchi 'o //	1	bla ma yi dam mkha gro tshhogs la skyob su mchi mang 
BO_TZ51_ZHI-004:13	rang sems stong gsal chos kyi sku la skyabs su mchi 'o //	1	rang sems stong gsal chos kyi sku la skyob su mchi mang 
BO_TZ51_ZHI-004:14	zhes ci nus dang / sangs rgyas chos tshhogs sogs lan gsum gyis skyabs sems dang / sems can thams cad bde ba dang sogs tshhad med bzhi bsgom /	1	zhes ci nus dang sangs rgya chos tshhogs sogs lan gsum gyis skyob sems dang sems can thams cad bde ba dang sogs tshhad med bzhi bsgom 
BO_TZ51_ZHI-004:15	om swa b+ha wa sogs /	1	om swa b+ha wa sogs 
BO_TZ51_ZHI-004:16	stong pa'i ngang las rang nyid skad cig gis 'phags pa thugs rje chen po 'gro 'dul yid bzhin nor bu sku mdog dkar gsal zhal gcig phyag bzhi pa /	1	stong ba ngang las rang nyid skad cig gis phag ba thugs rje chen po gro dul yid bzhin nor bu sku mdog dkar gsal zhal gcig phyag bzhi ba 
BO_TZ51_ZHI-004:17	phyag dang po gnyis thugs kar thal mo sbyar ba'i bar du yid bzhin nor bu dang / g.yas 'og mas shel phreng dang g.yon 'og mas me tog pad+ma dkar po bsnams pa /	1	phyag dang po gnyis thugs kar thal mo sbyor ba ba du yid bzhin nor bu dang g.yas g mas shel phreng dang g.yon g mas me tog pad+ma dkar po snom ba 
BO_TZ51_ZHI-004:18	ri dwags kr-ish+na sa ra'i pags pas nu ma g.yon pa bkab cing dar dang rin po che'i rgyan thams cad kyis brgyan pa /	1	ri dwags kr-ish+na sa ra pags ba nu ma g.yon ba gebs cing dar dang rin po che rgyan thams cad kyis rgyan ba 
BO_TZ51_ZHI-004:19	pad+ma dang zla ba'i gdan la zhabs rdo rje'i skyil mo krung gis bzhugs pa'i skur gyur par bsam la /	1	pad+ma dang zla ba gdan la zhabs rdo rje skyil mo krung gis bzhugs ba skur gyur ba bsam la 
BO_TZ51_ZHI-004:20	om ma ni pad+me hu~m/	2	om ma ni pad+me 
BO_TZ51_ZHI-004:21	zhes ci nus bzlas mthar /	2	zhes ci nus bzlas mthar 
BO_TZ51_ZHI-004:22	'phags pa thugs rje chen pos bdag dang sems can thams cad la 'dod rgu'i 'byor pa zad mi shes pa'i dngos grub ma lus pa bstshal du gsol //	2	phag ba thugs rje chen pos bdag dang sems can thams cad la dod rgu byor ba zad mi shes ba dngos grub ma lus ba bstshal du gsol 
BO_TZ51_ZHI-004:23	zhes gsol ba btab /	2	zhes gsol ba debs 
BO_TZ51_ZHI-004:24	mdun gyi nam mkhar lha dang mi'i mchod pa'i tshhogs dang / 'dod rgu'i dpal 'byor rdzogs ldan dus kyi sprin phung ltar 'khrigs pa'i dbus su pad zla'i gdan la bla ma dang gnyis su med pa'i byang chub sems dpa' rin chen mang sku mdog gser btsho ma lta bu zhal gcig phyag gnyis pa /	2	mdun gyi nam mkhar lha dang mi mchod ba tshhogs dang dod rgu dpal byor rdzogs ldan dus kyi sprin phung ltar khrig ba dbus su pad zla gdan la bla ma dang gnyis su med ba byang chub sems dpa rin chen mang sku mdog gser btsho ma lta bu zhal gcig phyag gnyis ba 
BO_TZ51_ZHI-004:25	g.yas mchog sbyin gyi phyag rgya las longs spyod nam mkha' mdzod kyi char 'bebs shing /	2	g.yas mchog sbyin gyi phyag rgya las longs spyod nam mkha mdzod kyi char bebs shing 
BO_TZ51_ZHI-004:26	g.yon mnyam gzhag gi steng na dgos 'dod thams cad 'byung ba'i nor bu rin po che dbang gi rgyal po bsnams pa /	2	g.yon mnyam jog gi steng na dgos dod thams cad byung ba nor bu rin po che dbang gi rgyal po snom ba 
BO_TZ51_ZHI-004:27	zhi zhing 'dzum la sgeg pa'i nyams can /	2	zhi zhing dzum la sgeg ba nyams can 
BO_TZ51_ZHI-004:28	dar dang rin po che'i rgyan thams cad kyis brgyan cing zhabs rdo rje'i skyil mo krung gis bzhugs pa'i mtha' skor kun tu bla ma yi dam sangs rgyas byang sems dpa' bo mkha' 'gro dam can srung ma'i tshhogs rnams dang / khyad par du rgyal po chen po rnam mang thos sras /	2	dar dang rin po che rgyan thams cad kyis rgyan cing zhabs rdo rje skyil mo krung gis bzhugs ba mtha skor kun tu bla ma yi dam sangs rgya byang sems dpa bo mkha gro dam can srung ma tshhogs rnams dang khyad ba du rgyal po chen po rnam mang thos sras 
BO_TZ51_ZHI-004:29	'phags pa dzam b+ha la /	2	phag ba dzam b+ha la 
BO_TZ51_ZHI-004:30	lha mo nor rgyun ma /	3	lha mo nor rgyun ma 
BO_TZ51_ZHI-004:31	g.yang gi lha mo dpal chen mo /	3	g.yang gi lha mo dpal chen mo 
BO_TZ51_ZHI-004:32	gnod sbyin a pa ra dzi ta/	3	gnod sbyin a ba ra dzi 
BO_TZ51_ZHI-004:33	lha chen tshhogs kyi bdag po /	3	lha chen tshhogs kyi bdag po 
BO_TZ51_ZHI-004:34	ar+ya re man+ta sogs gnod sbyin nor lha gter bdag dkar phyogs skyong ba'i tshhogs bsam gyis mi khyab pas bskor ba mngon sum bzhin du bzhugs par gyur /	3	ar+ya re man+ta sogs gnod sbyin nor lha gter bdag dkar phyogs skyong ba tshhogs bsam gyis mi khyab ba skor ba mngon sum bzhin du bzhugs ba gyur 
BO_TZ51_ZHI-004:35	ces brjod cing bsam la /	3	ces rjod cing bsam la 
BO_TZ51_ZHI-004:36	spos rol dang dbyangs kyi 'gyur ba snyan pos /	3	spros rol dang dbyangs kyi gyur ba snyan pos 
BO_TZ51_ZHI-004:37	kye / dang po g.yang len gar srid na //	3	kye dang po g.yang len gar srid na 
BO_TZ51_ZHI-004:38	sngon gyi bskal pa'i dang po la /	3	sngon gyi bskal ba dang po la 
BO_TZ51_ZHI-004:39	kha ba can gyi rgyal khams su //	3	kha ba can gyi rgyal khams su 
BO_TZ51_ZHI-004:40	spyan ras gzigs kyi sprul pa las //	4	spyan ras gzigs kyi sprul ba las 
BO_TZ51_ZHI-004:41	spre 'u byang chub sems dpa' byung //	4	spre u byang chub sems dpa byung 
BO_TZ51_ZHI-004:42	jo mo sgrol ma'i sprul pa las //	4	jo mo sgrol ma sprul ba las 
BO_TZ51_ZHI-004:43	brag srin nag mo bya ba byung //	4	brag srin nag mo byed ba byung 
BO_TZ51_ZHI-004:44	de gnyis thabs shes 'phrad pa las //	4	de gnyis thabs shes phrad ba las 
BO_TZ51_ZHI-004:45	gdong dmar mi rnams thams cad byung //	4	gdong dmar mi rnams thams cad byung 
BO_TZ51_ZHI-004:46	mi rnams phongs pas mnar ba las //	4	mi rnams phong ba mnar ba las 
BO_TZ51_ZHI-004:47	spre 'u'i rgyal po yar gshegs te //	4	spre u rgyal po yar gshegs te 
BO_TZ51_ZHI-004:48	po ta la yi rtshe mo na //	4	po ta la yi rtshe mo na 
BO_TZ51_ZHI-004:49	spyan ras gzigs dbang bzhugs pa la //	4	spyan ras gzigs dbang bzhugs ba la 
BO_TZ51_ZHI-004:50	spre 'u'i rgyal pos 'di skad zhus //	5	spre u rgyal pos di skad zhus 
BO_TZ51_ZHI-004:51	kye ma las kyi 'bras bu smin //	5	kye ma las kyi bras bu smin 
BO_TZ51_ZHI-004:52	dbon sras mang po 'phel ba la //	5	dbon sras mang po phel ba la 
BO_TZ51_ZHI-004:53	dran pa gsal ba lha dang 'dra //	5	dran ba gsal ba lha dang dra 
BO_TZ51_ZHI-004:54	gdug rtshub che ba lha min 'dra //	5	gdug rtshub che ba lha min dra 
BO_TZ51_ZHI-004:55	gos med gcer bu dud 'gro 'dra //	5	gos med bcer bu dud gro dra 
BO_TZ51_ZHI-004:56	bkres skom sdug bsngal yi dwags 'dra //	5	bkres skom sdug sngal yi dwags dra 
BO_TZ51_ZHI-004:57	shin tu sdug bsngal dmyal ba 'dra //	5	shin tu sdug sngal dmyal ba dra 
BO_TZ51_ZHI-004:58	rigs drug sdug bsngal ngad pa tshha //	5	rigs drug sdug sngal ngad ba tshha 
BO_TZ51_ZHI-004:59	'di la las thabs ci zhig bya //	5	di la las thabs ci jig byed 
BO_TZ51_ZHI-004:60	de skad zhus pas bka' bstshal pa //	6	de skad zhus ba bka bstshal ba 
BO_TZ51_ZHI-004:61	spre 'u'i rgyal po legs par nyon /	6	spre u rgyal po legs ba nyon 
BO_TZ51_ZHI-004:62	khyod kyi bu dang tshha bo rnams //	6	khyod kyi bu dang tshha bo rnams 
BO_TZ51_ZHI-004:63	gdong dmar srin po yin zer te /	6	gdong dmar srin po yin zer te 
BO_TZ51_ZHI-004:64	kha ba can gyi zhing khams su //	6	kha ba can gyi zhing khams su 
BO_TZ51_ZHI-004:65	byin gyis brlabs pa'i sprul pa yin //	6	byin gyis brlabs ba sprul ba yin 
BO_TZ51_ZHI-004:66	zas la 'bras bu sna tshhogs zo //	6	zas la bras bu sna tshhogs zo 
BO_TZ51_ZHI-004:67	skom du 'byung ba chu la thungs //	6	skom du byung ba chu la thungs 
BO_TZ51_ZHI-004:68	gos su lha yi na bza' gtod //	6	gos su lha yi na bza gtod 
BO_TZ51_ZHI-004:69	skabs su g.yang 'gugs g.yang len bya //	6	skabs su g.yang gugs g.yang len byed 
BO_TZ51_ZHI-004:70	spyan ras gzigs kyis de skad gsungs //	7	spyan ras gzigs kyis de skad gsungs 
BO_TZ51_ZHI-004:71	de nas spre 'u'i rgyal po des //	7	de nas spre u rgyal po des 
BO_TZ51_ZHI-004:72	sngags 'chang rgyal po spyan drangs nas //	7	sngags chang rgyal po spyan drangs nas 
BO_TZ51_ZHI-004:73	lha gzhi dkar po'i gdan steng du //	7	lha gzhi dkar po gdan steng du 
BO_TZ51_ZHI-004:74	dkon mchog mchod pa rgya chen bshams //	7	dkon(d) mchog mchod ba rgya chen bshams 
BO_TZ51_ZHI-004:75	rgod sgro mda' dar dkar po la //	7	rgod sgro mda dar dkar po la 
BO_TZ51_ZHI-004:76	dngul dkar me long btags pas g.yab /	7	dngul dkar me long dogs ba g.yab 
BO_TZ51_ZHI-004:77	khu ye brjod cing 'o dod bos //	7	khu ye rjod cing mang dod bod 
BO_TZ51_ZHI-004:78	thugs rje chen po'i byin rlabs dang // sngags 'chang ngag gi smra 'bod dang // dbu nag bod kyi bsod nams las //	7	thugs rje chen po byin rlabs dang sngags chang ngag gi smra bod dang dbu nag bod kyi bsod nams las 
BO_TZ51_ZHI-004:79	'od zer sna lnga steng du 'phros //	7	d zer sna lnga steng du phro 
BO_TZ51_ZHI-004:80	tshhangs pa dung thod dkar por phog	8	tshhangs ba dung thod dkar por bogs 
BO_TZ51_ZHI-004:81	/lha yi longs spyod ldan pa las //	8	yi longs spyod ldan ba las 
BO_TZ51_ZHI-004:82	'od rlangs dkar po gcig tu sprul //	8	d rlangs dkar po gcig tu sprul 
BO_TZ51_ZHI-004:83	lha yi longs spyod bod du 'ong //	8	lha yi longs spyod bod du ng 
BO_TZ51_ZHI-004:84	bod lha khams 'dra ba de nas srid //	8	bod lha khams dra ba de nas srid 
BO_TZ51_ZHI-004:85	'od zer 'og tu 'phros pa las //	8	d zer g tu phro ba las 
BO_TZ51_ZHI-004:86	klu rgyal gtshug na rin chen phog	8	klu rgyal gtshug na rin chen bogs 
BO_TZ51_ZHI-004:87	/klu yi longs spyod 'phan po las //	8	yi longs spyod phan po las 
BO_TZ51_ZHI-004:88	klu yi longs spyod bod du 'ong //	8	klu yi longs spyod bod du ng 
BO_TZ51_ZHI-004:89	bod klu las grol ba de nas srid //	8	bod klu las grol ba de nas srid 
BO_TZ51_ZHI-004:90	'od zer bar snang khams su 'phros //	9	d zer ba snang khams su phro 
BO_TZ51_ZHI-004:91	gnyan gyi rgyal po chen por phog	9	gnyan gyi rgyal po chen por bogs 
BO_TZ51_ZHI-004:92	/gnyan gyi longs spyod bod du 'ong //	9	gyi longs spyod bod du ng 
BO_TZ51_ZHI-004:93	bod 'grol thabs gnyan pa de nas srid //	9	bod grol thabs gnyan ba de nas srid 
BO_TZ51_ZHI-004:94	'od zer shar phyogs gling du 'phros //	9	d zer char phyogs gling du phro 
BO_TZ51_ZHI-004:95	yul 'khor srung gi rgyal po la //	9	yul khor srung gi rgyal po la 
BO_TZ51_ZHI-004:96	longs spyod ldan zhing skye ba bzang //	9	longs spyod ldan zhing skye ba bzang 
BO_TZ51_ZHI-004:97	shar phyogs g.yang rnams bod du 'ong //	9	char phyogs g.yang rnams bod du ng 
BO_TZ51_ZHI-004:98	bod skye ba bzang ba de nas srid //	9	bod skye ba bzang ba de nas srid 
BO_TZ51_ZHI-004:99	'od zer lho phyogs gling du 'phros //	9	d zer lho phyogs gling du phro 
BO_TZ51_ZHI-004:100	'phags skyes po yi rgyal po la //	10	phag skye po yi rgyal po la 
BO_TZ51_ZHI-004:101	longs spyod ldan zhing dkor nor phyug	10	longs spyod ldan zhing dkor nor phyug 
BO_TZ51_ZHI-004:102	/lho phyogs g.yang rnams bod du 'ong //	10	phyogs g.yang rnams bod du ng 
BO_TZ51_ZHI-004:103	bod dkor nor phyug pa de nas srid //	10	bod dkor nor phyug ba de nas srid 
BO_TZ51_ZHI-004:104	'od zer nub phyogs gling du 'phros //	10	d zer nub phyogs gling du phro 
BO_TZ51_ZHI-004:105	spyan mi bzang gi rgyal po la //	10	spyan mi bzang gi rgyal po la 
BO_TZ51_ZHI-004:106	longs spyod ldan zhing mi 'phel che //	10	longs spyod ldan zhing mi phel che 
BO_TZ51_ZHI-004:107	nub phyogs g.yang rnams bod du 'ong //	10	nub phyogs g.yang rnams bod du ng 
BO_TZ51_ZHI-004:108	bod mi 'phel che ba de nas srid //	10	bod mi phel che ba de nas srid 
BO_TZ51_ZHI-004:109	'od zer byang gi phyogs su 'phros //	10	d zer byang gi phyogs su phro 
BO_TZ51_ZHI-004:110	rnam thos sras kyi rgyal po la //	11	rnam thos sras kyi rgyal po la 
BO_TZ51_ZHI-004:111	longs spyod ldan zhing sku tshhe ring //	11	longs spyod ldan zhing sku tshhe ring 
BO_TZ51_ZHI-004:112	byang phyogs g.yang rnams bod du 'ong //	11	byang phyogs g.yang rnams bod du ng 
BO_TZ51_ZHI-004:113	bod sku tshhe ring ba de nas srid //	11	bod sku tshhe ring ba de nas srid 
BO_TZ51_ZHI-004:114	'od zer phyogs bcu kun tu 'phros //	11	d zer phyogs chu kun tu phro 
BO_TZ51_ZHI-004:115	phyogs bcu'i nor lha kun la phog	11	phyogs chu nor lha kun la bogs 
BO_TZ51_ZHI-004:116	/de rnams longs spyod bod du 'ong //	11	rnams longs spyod bod du ng 
BO_TZ51_ZHI-004:117	bod nor g.yang 'phel ba de nas srid //	11	bod nor g.yang phel ba de nas srid 
BO_TZ51_ZHI-004:118	'od zer rgya gar yul du 'phros //	11	d zer rgya gar yul du phro 
BO_TZ51_ZHI-004:119	rgya gar chos rnams bod du 'ong //	11	rgya gar chos rnams bod du ng 
