segmentnr	original	folio	stemmed
BO_TZ51_ZHI-026:0	dbang gi lha mo dbyug gu mched gsum gyi sgrub pa'i bsnyen yig man ngag gnad kyi yig chung zab gsang yid bzhin mdzod kyi lde'u mig bzhugs so //	0	dbang gi lha mo dbyug gu mched gsum gyi sgrub ba snyen yig man ngag gnad kyi yig chung zab gsang yid bzhin mdzod kyi ldeu mig bzhugs so 
BO_TZ51_ZHI-026:1	na mo gu ru sarba sid+d+hi hrih	0	na mo gu ru sarba sid+d+hi hrih 
BO_TZ51_ZHI-026:2	dngos grub kun 'byung yid bzhin nor bu dbang gi lha mo kun 'khyil mched gsum 'di nyid /	0	dngos grub kun byung yid bzhin nor bu dbang gi lha mo kun khyil mched gsum di nyid 
BO_TZ51_ZHI-026:3	thun mong gi spyod yul du ma gyur cing /	0	thun mong gi spyod yul du ma gyur cing 
BO_TZ51_ZHI-026:4	bstan 'gro'i don chen sems pa dang / dam chos tshhul bzhin sgrub pa'i cha rkyen gyi spyod yul te /	0	ston gro don chen sems ba dang dam chos tshhul bzhin sgrub ba cha rkyen gyi spyod yul te 
BO_TZ51_ZHI-026:5	thog mar bla ma mtshhan ldan dam pa'i drung nas smin grol legs par nod nas /	0	thogs mar bla ma mtshhan ldan dam ba drung nas smin grol legs ba nod nas 
BO_TZ51_ZHI-026:6	sgrub gnas phun sum tshhogs par dkar phyogs gza' skar bzang por dbu brtsham ste /	0	sgrub gnas phun sum tshhogs ba dkar phyogs gza skar bzang por dbu brtsham ste 
BO_TZ51_ZHI-026:7	lha mo gsum gyi bris sku dang rten rdzas sogs man ngag las byung ba ltar dang / mchod gtor sgrub rdzas sogs legs par 'du bgyis nas /	0	lha mo gsum gyi bri sku dang rten rdzas sogs man ngag las byung ba ltar dang mchod thor sgrub rdzas sogs legs ba du bgyid nas 
BO_TZ51_ZHI-026:8	dkar phyogs la gtor ma 'bul phrin las bcol /	0	dkar phyogs la thor ma bul phrin las chol 
BO_TZ51_ZHI-026:9	dam sri sgab 'dre 'byung po nag phyogs la glud gtor tshhims par btang nas drag tu bskrad /	0	dam sri sgab dre byung po nag phyogs la glud thor tshhims ba gtong nas drag tu skrod 
BO_TZ51_ZHI-026:10	srung 'khor bsgom /	1	srung khor bsgom 
BO_TZ51_ZHI-026:11	mtshhams dam par bcad la /	1	mtshhams dam ba gcod la 
BO_TZ51_ZHI-026:12	skyabs sems bya /	1	skyob sems byed 
BO_TZ51_ZHI-026:13	khyad par du yid bzhin nor bu dbang gi lha mo 'di nyid bla ma dkon mchog la mchod bstod /	1	khyad ba du yid bzhin nor bu dbang gi lha mo di nyid bla ma dkon(d) mchog la mchod bstod 
BO_TZ51_ZHI-026:14	bsnyen bkur / sems can la sbyin gtong /	1	snyen bkur sems can la sbyin gtong 
BO_TZ51_ZHI-026:15	bdag gis byang chub sgrub pa'i cha rkyen du bsgrubs nas sbyin pa'i phar phyin rdzogs par bya snyam pa'i sems bskyed gal che zhing /	1	bdag gis byang chub sgrub ba cha rkyen du sgrub nas sbyin ba phar phyin rdzogs ba byed snyam ba sems skyed gal che zhing 
BO_TZ51_ZHI-026:16	bdag bskyed phyag rdor ram /	1	bdag skyed phyag rdar ram 
BO_TZ51_ZHI-026:17	dzam dkar yin na de'i las byed mkha' 'gro gsum yin pas zab phyir gang yin gyi bdag bskyed bzlas pa bcas grub zin nas /	1	dzam dkar yin na de las byed mkha gro gsum yin ba zab phyir gang yin gyi bdag skyed bzlas ba cha grub zin nas 
BO_TZ51_ZHI-026:18	mdun bskyed lha mo gsum gyi cho ga gzhung bsrang la 'don sgom ma 'dzol bar sbrags bzhin la /	1	mdun skyed lha mo gsum gyi cho ga gzhung bsrang la don sgom ma dzol ba sbrag bzhin la 
BO_TZ51_ZHI-026:19	bsnyen pa'i skabs su babs tshhe /	1	snyen ba skabs su bab tshhe 
BO_TZ51_ZHI-026:20	mdun bskyed lha mo gsum gyi thugs kar pad+ma dkar po dang zla ba'i gdan gyi steng du /	2	mdun skyed lha mo gsum gyi thugs kar pad+ma dkar po dang zla ba gdan gyi steng du 
BO_TZ51_ZHI-026:21	zas ster lha mo dmar mo'i thugs kar ha dkar po /	2	zas ster lha mo dmar mo thugs kar ha dkar po 
BO_TZ51_ZHI-026:22	gos ster ma ljang mo'i thugs kar ri ser po /	2	gos ster ma ljang mo thugs kar ri ser po 
BO_TZ51_ZHI-026:23	nor gter ma sngon mo'i thugs kar ni dmar po gnas pa'i mthar /	2	nor gter ma sngon mo thugs kar ni dmar po gnas ba mthar 
BO_TZ51_ZHI-026:24	rang rang sngags kyis bskor ba las 'od zer 'phros pas /	2	rang rang sngags kyis skor ba las d zer phro ba 
BO_TZ51_ZHI-026:25	o rgyan yul dang / mkha' spyod dag pa'i zhing khams /	2	o rgyan yul dang mkha spyod dag ba zhing khams 
BO_TZ51_ZHI-026:26	rgya gar yul gyi dur khrod nags tshhal /	2	rgya gar yul gyi dur khrod nags tshhal 
BO_TZ51_ZHI-026:27	shing drung sogs rang bzhin gang du bzhugs pa'i gnas nas rang 'dra dpag tu med pa spyan drangs mdun bskyed la thim par bsam la sngags bzla 'o //	2	shing drung sogs rang bzhin gang du bzhugs ba gnas nas rang dra dpog tu med ba spyan drangs mdun skyed la thim ba bsam la sngags bzla mang 
BO_TZ51_ZHI-026:28	de nas rang lhar gsal ba'i thugs ka'i sngags kyi 'od zer gyis mdun bskyed lha mo gsum gyi thugs rgyud bskul bas sngon gyi dam tshhig dran nas ci bcol ba'i phrin las thams cad thogs med du bsgrub par khas blangs dam bcas par bsgom la bzla 'o //	2	de nas rang lhar gsal ba thugs ka sngags kyi d zer gyis mdun skyed lha mo gsum gyi thugs brgyud skul ba sngon gyi dam tshhig dran nas ci chol ba phrin las thams cad thogs med du sgrub ba khas blangs dam cha ba bsgom la bzla mang 
BO_TZ51_ZHI-026:29	slar yang bdag nyid lha'i thugs ka'i 'od zer gyis mdun bskyed bskul bas /	2	slar yang bdag nyid lha thugs ka d zer gyis mdun skyed skul ba 
BO_TZ51_ZHI-026:30	mdun bskyed lha mo gsum gyi thugs ka nas 'od zer dmar po lcags kyu lta bu 'phros pas steng 'og phyogs mtshhams stong gsum 'khor 'das thams cad khyab pas /	3	mdun skyed lha mo gsum gyi thugs ka nas d zer dmar po lcags kyu lta bu phro ba steng g phyogs mtshhams stong gsum khor da thams cad khyab ba 
BO_TZ51_ZHI-026:31	phyogs bcu dus gsum gyi rgyal ba sras bcas /	3	phyogs chu dus gsum gyi rgyal ba sras cha 
BO_TZ51_ZHI-026:32	bla ma rig 'dzin yi dam zhi khro rab 'byams /	3	bla ma rig dzin yi dam zhi khro rab byam 
BO_TZ51_ZHI-026:33	gnas yul dpa' bo mkha' 'gro /	3	gnas yul dpa bo mkha gro 
BO_TZ51_ZHI-026:34	dam can chos skyong srung ma nor lha gter bdag dkar phyogs lha klu gzhi bdag	3	dam can chos skyong srung ma nor lha gter bdag dkar phyogs lha klu gzhi bdag 
BO_TZ51_ZHI-026:35	/'jig rten dregs pa'i sde dpon /	3	rten dregs ba sde dpon 
BO_TZ51_ZHI-026:36	phyogs skyong bcu /	3	phyogs skyong chu 
BO_TZ51_ZHI-026:37	lha brgyad / klu brgyad /	3	lha brgyad klu brgyad 
BO_TZ51_ZHI-026:38	gza' brgyad / gnod sbyin nor lha brgyad la sogs pa rnams kyi mchog dang thun mong gi dngos grub thams cad dang / stong gsum khams gsum gyi tshhe dang bsod nams stobs dang mnga' thang nor dang longs spyod thams cad 'od zer gyi ngo bor bsdus nas /	3	gza brgyad gnod sbyin nor lha brgyad la sogs ba rnams kyi mchog dang thun mong gi dngos grub thams cad dang stong gsum khams gsum gyi tshhe dang bsod nams stobs dang mnga thang nor dang longs spyod thams cad d zer gyi ngo bor sdud nas 
BO_TZ51_ZHI-026:39	nor bdag lha mo gsum la thim zhing /	3	nor bdag lha mo gsum la thim zhing 
BO_TZ51_ZHI-026:40	lha mo gsum gyi sku dang zhal phyag na bza'i sul rnams nas gang 'dod dngos grub kyi char babs pas bdag gi gnas khang thams cad dngos grub kyi ri ltar spungs shing mtshho ltar 'khyil nas khengs par bsgoms la nan tan du bskul lo //	4	lha mo gsum gyi sku dang zhal phyag na bza sul rnams nas gang dod dngos grub kyi char bab ba bdag gi gnas khang thams cad dngos grub kyi ri ltar spung shing mtshho ltar khyil nas kheng ba sgom la nan tan du skul lo 
BO_TZ51_ZHI-026:41	slar yang lha mo gsum gyi sku las rang 'dra ba'am /	4	slar yang lha mo gsum gyi sku las rang dra ba 
BO_TZ51_ZHI-026:42	lha mo dmar mo lcags kyu thogs pa dpag tu med pa phyogs bcur 'phros pas /	4	lha mo dmar mo lcags kyu thogs ba dpog tu med ba phyogs jur phro ba 
