segmentnr	original	folio	stemmed
BO_TZ52_ZI-019-1:1	@#/   /ma    d+hu	0	d+hu 
BO_TZ52_ZI-019-1:2	ra  bra	0	ra bra 
BO_TZ52_ZI-019-1:3	h+ma   ham	0	h+ma ham 
BO_TZ52_ZI-019-1:4	sa	0	sa 
BO_TZ52_ZI-019-1:5	swa  ra	0	swa ra 
BO_TZ52_ZI-019-1:6	na  ma	0	na ma 
BO_TZ52_ZI-019-1:7	b+ha	0	b+ha 
BO_TZ52_ZI-019-1:8	ga  wa	0	ga wa 
BO_TZ52_ZI-019-1:9	na  sha	0	na sha 
BO_TZ52_ZI-019-1:10	sta	1	sta 
BO_TZ52_ZI-019-1:11	ya  ca	1	ya ca 
BO_TZ52_ZI-019-1:12	tu  rga	1	tu rga 
BO_TZ52_ZI-019-1:13	ma  na	1	ma na 
BO_TZ52_ZI-019-1:14	ra  hi	1	ra hi 
BO_TZ52_ZI-019-1:15	ta  sto	1	ta sto 
BO_TZ52_ZI-019-1:16	na  tra	1	na tra 
BO_TZ52_ZI-019-1:17	bi	1	bi 
BO_TZ52_ZI-019-1:18	ha   ri	1	ha ri 
BO_TZ52_ZI-019-1:19	sma /	1	sma 
BO_TZ52_ZI-019-1:20	/ @#/    /ston pa bcom ldan 'das la 'gro ba bzhi dang bral ba'i bstod pa tshhangs pa bzhad pa'i dbyangs snyan zhes bya ba bzhugs so /	2	ba joms ldan da la gro ba bzhi dang bral ba bstod ba tshhangs ba bzhad ba dbyangs snyan zhes byed ba bzhugs so 
BO_TZ52_ZI-019-1:21	/   @#// su	2	su 
BO_TZ52_ZI-019-1:22	si	2	si 
BO_TZ52_ZI-019-1:23	d+d+ha	2	d+d+ha 
BO_TZ52_ZI-019-1:24	di	2	di 
BO_TZ52_ZI-019-1:25	d+hi	2	d+hi 
BO_TZ52_ZI-019-1:26	sam	2	sam 
BO_TZ52_ZI-019-1:27	sa	2	sa 
BO_TZ52_ZI-019-1:28	da  /	2	da 
BO_TZ52_ZI-019-1:29	su	2	su 
BO_TZ52_ZI-019-1:30	si	3	si 
BO_TZ52_ZI-019-1:31	d+d+ha	3	d+d+ha 
BO_TZ52_ZI-019-1:32	sam	3	sam 
BO_TZ52_ZI-019-1:33	bu	3	bu 
BO_TZ52_ZI-019-1:34	d+d+ha	3	d+d+ha 
BO_TZ52_ZI-019-1:35	bi	3	bi 
BO_TZ52_ZI-019-1:36	da	3	da 
BO_TZ52_ZI-019-1:37	// @#// dge~x le~xgs rtag pa dam pa'i snang ba ni //	3	dge~x le~xgs rtag ba dam ba snang ba ni 
BO_TZ52_ZI-019-1:38	gru~xb pa~x kun mkhyen rdzogs pa'i sangs rgyas te //	3	gru~xb pa~x kun mkhyen rdzogs ba sangs rgya te 
BO_TZ52_ZI-019-1:39	@#// su	3	su 
BO_TZ52_ZI-019-1:40	d+d+ha	4	d+d+ha 
BO_TZ52_ZI-019-1:41	su	4	su 
BO_TZ52_ZI-019-1:42	sa	4	sa 
BO_TZ52_ZI-019-1:43	d+d+hu	4	d+d+hu 
BO_TZ52_ZI-019-1:44	dwo	4	dwo 
BO_TZ52_ZI-019-1:45	d+hi	4	d+hi 
BO_TZ52_ZI-019-1:46	sasu	4	sasu 
BO_TZ52_ZI-019-1:47	si	4	si 
BO_TZ52_ZI-019-1:48	d+d+ha	4	d+d+ha 
BO_TZ52_ZI-019-1:49	su	4	su 
BO_TZ52_ZI-019-1:50	d+ha	5	d+ha 
BO_TZ52_ZI-019-1:51	ba	5	ba 
BO_TZ52_ZI-019-1:52	da	5	da 
BO_TZ52_ZI-019-1:53	dai	5	dai 
BO_TZ52_ZI-019-1:54	// @#// byang chub mcho~xg gi~x bdud rtshis rab mdzes des //	5	byang chub mcho~xg gi~x bdud rtshis rab mdzes des 
BO_TZ52_ZI-019-1:55	shi~xs pa'i dga' ston kun tu sbyin gyu~xr ci~xg	5	shi~xs ba dga ston kun tu sbyin gyu~xr ci~xg 
BO_TZ52_ZI-019-1:56	/ gsal byed bzhir nges rkang pa gcig gnyis bzhir //	5	gsal byed bzhir nges rkang ba gcig gnyis bzhir 
BO_TZ52_ZI-019-1:57	chod pa'i zung ldan tshhig rgyan kun mu da//	5	chod ba zung ldan tshhig rgyan kun mu 
BO_TZ52_ZI-019-1:58	ldeb legs sbyor ba rjes su bsngags pa yi //	5	ldeb legs sbyor ba rjes su bsngags ba yi 
BO_TZ52_ZI-019-1:59	bye brag mkha' dang dbyangs kyi chun pos bcings //	5	bye brag mkha dang dbyangs kyi chun pos ching 
