segmentnr	original	folio	stemmed
BO_TZ52_ZI-041:0	\u0f01\u0f83: 'phags ma'i sgrub thabs mi mthun kun sel lung byang dang bcas pa bzhugs so :	0	\u0f01\u0f83: phag ma sgrub thabs mi mthun kun sel lung byang dang cha ba bzhugs so 
BO_TZ52_ZI-041:1	\u0f88\u0f88\u0f88\u0f88\u0f88 na mahar+ya ta ra yai :	0	\u0f88\u0f88\u0f88\u0f88\u0f88 na mahar+ya ta ra yai 
BO_TZ52_ZI-041:2	'gro rnams sdug bsngal thams cad skyob byed pa :	0	gro rnams sdug sngal thams cad skyob byed ba 
BO_TZ52_ZI-041:3	rtsha gsum thugs rje'i lha la phyag 'tshhal lo :	0	rtsha gsum thugs rje lha la phyag tshhal lo 
BO_TZ52_ZI-041:4	bdag 'dra o rgyan pad+ma 'byung gnas kyis :	0	bdag dra o rgyan pad+ma byung gnas kyis 
BO_TZ52_ZI-041:5	mi mthun 'dum par byed pa'i gdams pa mchog :	0	mi mthun dum ba byed ba doms ba mchog 
BO_TZ52_ZI-041:6	bslu med nges ster yang gab gsang ba'i gnad :	0	bslu med nges ster yang gab gsang ba gnad 
BO_TZ52_ZI-041:7	ma 'ongs don du rin chen gter du sba :	0	ma ngs don du rin chen gter du sbed 
BO_TZ52_ZI-041:8	las can gzhan don spyod dang 'phrad par shog :	0	las can gzhan don spyod dang phrad ba shog 
BO_TZ52_ZI-041:9	sa ma ya :	0	sa ma ya 
BO_TZ52_ZI-041:10	rgya rgya rgya :	1	rgya rgya rgya 
BO_TZ52_ZI-041:11	de la rang nyid skad cig gis bcom ldan 'das ma sku mdog dmar mo longs spyod rdzogs pa'i cha lugs can :	1	de la rang nyid skad cig gis joms ldan da ma sku mdog dmar mo longs spyod rdzogs ba cha lugs can 
BO_TZ52_ZI-041:12	dar dmar po'i stod g.yogs dang smad g.yogs 'phyang ba :	1	dar dmar po stod g.yogs dang smad g.yogs phyang ba 
BO_TZ52_ZI-041:13	zhabs g.yas brkyang g.yon bskum pa'i stabs kyis pad+ma dmar po dang zla ba'i gdan la bzhugs pa :	1	zhabs g.yas rkyong g.yon skum ba stabs kyis pad+ma dmar po dang zla ba gdan la bzhugs ba 
BO_TZ52_ZI-041:14	phyag gnyis mchog sbyin dang mtheb srin gyi bar dag na ut+pal dmar po 'dzin pa :	1	phyag gnyis mchog sbyin dang mtheb srin gyi ba dag na ut+pal dmar po dzin ba 
BO_TZ52_ZI-041:15	'od zer dmar po 'phro zhing 'du ba'i gnas gsum du yi ge om ahhu~m gsum gyis mtshhan par bsgom :	1	d zer dmar po phro zhing du ba gnas gsum du yi ge om ahhu~m gsum gyis mtshhan ba bsgom 
BO_TZ52_ZI-041:16	thugs ka'i hu~m las 'od 'phros pas rang bzhin gyi gnas nas 'phags ma spyan drangs la bstim :	1	thugs ka hu~m las d phro ba rang bzhin gyi gnas nas phag ma spyan drangs la stim 
BO_TZ52_ZI-041:17	yang 'od 'phros pas dbang gi lha rnams spyan drangs :	1	yang d phro ba dbang gi lha rnams spyan drangs 
BO_TZ52_ZI-041:18	mchod pas mchod :	1	mchod ba mchod 
BO_TZ52_ZI-041:19	dbang bskur bar gsol ba btab :	1	dbang skur ba gsol ba debs 
BO_TZ52_ZI-041:20	de bzhin gshegs pa rnams kyis ye shes kyi chus dbang bskur pas sku gang dri ma dag :	2	de bzhin gshegs ba rnams kyis ye shes kyi chus dbang skur ba sku gang dri ma dag 
BO_TZ52_ZI-041:21	chu lhag ma yar lud pa las :	2	chu lhag ma yar lud ba las 
BO_TZ52_ZI-041:22	'od dpag med sprul sku'i cha lugs can gyis dbu brgyan par bsam :	2	d dpog med sprul sku cha lugs can gyis dbu rgyan ba bsam 
BO_TZ52_ZI-041:23	de nas rang gi smin mtshhams su nyi ma'i dkyil 'khor sen gang ba'i dbus su tamhdmar po'i mtha' skor du yi ge bcu pa dmar sgor re yod pa las :	2	de nas rang gi smin mtshhams su nyi ma dkyil khor sen gang ba dbus su tamhdmar po mtha skor du yi ge chu ba dmar sgor re yod ba las 
BO_TZ52_ZI-041:24	'od zer dmar po 'phros pas :	2	d zer dmar po phro ba 
BO_TZ52_ZI-041:25	bdag dang mi mthun pa de la phog :	2	bdag dang mi mthun ba de la bogs 
BO_TZ52_ZI-041:26	de yang rang 'dra ba'i sgrol mar gyur :	2	de yang rang dra ba sgrol mar gyur 
BO_TZ52_ZI-041:27	yang bdag gi smin mtshhams nas 'od zer 'phros nas :	2	yang bdag gi smin mtshhams nas d zer phro nas 
BO_TZ52_ZI-041:28	de yi snying khar phog pas :	2	de yi snying khar bogs ba 
BO_TZ52_ZI-041:29	de nyid kyi gdug sems zhi nas :	2	de nyid kyi gdug sems zhi nas 
BO_TZ52_ZI-041:30	byang chub kyi sems dang ldan par gyur te :	3	byang chub kyi sems dang ldan ba gyur te 
BO_TZ52_ZI-041:31	de yi yid zla ba nya gang ba lte ba bu ga can du gyur :	3	de yi yid zla ba nya gang ba lte ba bu ga can du gyur 
BO_TZ52_ZI-041:32	bdag gi snying kha'i zla steng hu~m yig las 'od zer dmar po lcags kyu lta bu sna sgo nas thon :	3	bdag gi snying kha zla steng hu~m yig las d zer dmar po lcags kyu lta bu sna sgo nas thon 
BO_TZ52_ZI-041:33	zla ba'i bu gar zhugs te kho yi sna sgo nas drangs :	3	zla ba bu gar jug te kho yi sna sgo nas drangs 
BO_TZ52_ZI-041:34	rang gi sna sgor zhugs nas snying kha'i zla bar thim :	3	rang gi sna sgor jug nas snying kha zla ba thim 
BO_TZ52_ZI-041:35	bde ba'i ro byang chub sems kyis myos shing :	3	bde ba ro byang chub sems kyis myos shing 
BO_TZ52_ZI-041:36	bdag la gus shing 'dun par bsam :	3	bdag la gus shing dun ba bsam 
BO_TZ52_ZI-041:37	de lta bu'i dmigs pa yang yang bskyar zhing :	3	de lta bu dmigs ba yang yang skyor zhing 
BO_TZ52_ZI-041:38	sngags ni : om ta re tut+ta re tu re swa ha:	3	sngags ni om ta re tut+ta re tu re swa ha: 
BO_TZ52_ZI-041:39	che ge mo a kar+sha ya pa sham ku ru ye hring dzahr+n+ri :	3	che ge mo a kar+sha ya ba sham ku ru ye hring dzahr+n+ri 
BO_TZ52_ZI-041:40	ang+ku sha ya hu~m dza :	4	ang+ku sha ya hu~m dza 
BO_TZ52_ZI-041:41	zhes bzla'o : de ltar zhag bdun la sogs pa byas pas :	4	zhes bzla de ltar zhag bdun la sogs ba byed ba 
BO_TZ52_ZI-041:42	pha rol po de nges par yid mgu nas bdag la gus pa'i spyod lam ston par 'gyur ro :	4	pha rol po de nges ba yid mgu nas bdag la gus ba spyod lam ston ba gyur ro 
BO_TZ52_ZI-041:43	pha rol bsod nams dang gdug sems che chung dang bstun te sgrub pa gnyug bsring bar yang bya'o :	4	pha rol bsod nams dang gdug sems che chung dang bstun te sgrub ba gnyug bsring ba yang byed 
BO_TZ52_ZI-041:44	sgrub pa'i dus su mtshhams dam par bya la :	4	sgrub ba dus su mtshhams dam ba byed la 
BO_TZ52_ZI-041:45	des ni ma dad pa nges par bsgyur nus so :	4	des ni ma dad ba nges ba sgyur nus so 
BO_TZ52_ZI-041:46	spyir yang rgyun du yi dam nar mar bya ste phan yon dpag tu med do :	4	spyir yang rgyun du yi dam nar mar byed ste phan yon dpog tu med do 
BO_TZ52_ZI-041:47	gzhan la byed na de gnyis sgrol mar gsal ba la :	4	gzhan la byed na de gnyis sgrol mar gsal ba la 
