segmentnr	original	folio	stemmed
BO_TZ53_'I-044:0	@#// 'jam dpal tshhe bdag yang zlog me'i spu gri'i man ngag bzhugs so //	0	jam dpal tshhe bdag yang zlog me spu gri man ngag bzhugs so 
BO_TZ53_'I-044:1	na mo gu rush+tsha many+dzu shri man+da le b+h+yah	0	na mo gu rush+tsha many+dzu shri man+da le b+h+yah 
BO_TZ53_'I-044:2	dus gsum rgyal ba kun gyi ye shes sku //	0	dus gsum rgyal ba kun gyi ye shes sku 
BO_TZ53_'I-044:3	gcig tu bsdus pa'i khro rgyal gshin rje'i gshed //	0	gcig tu sdud ba khro rgyal gshin rje gshed 
BO_TZ53_'I-044:4	sgyu 'phrul gar gyi dbang phyug bdud kyi dgra //	0	sgyu phrul gar gyi dbang phyug bdud kyi dgra 
BO_TZ53_'I-044:5	srid zhi'i mgon po de la phyag byas te //	0	srid zhi mgon po de la phyag byed te 
BO_TZ53_'I-044:6	gang zhig legs lam sgrub pa'i rnal 'byor la //	0	gang jig legs lam sgrub ba rnal byor la 
BO_TZ53_'I-044:7	ban dgra bdud bgegs bar chod glags 'tshhol na //	0	ban dgra bdud bgegs ba chod glags tshhol na 
BO_TZ53_'I-044:8	de dag srung zlog gsad gnan las kyi mdzod //	0	de dag srung zlog gsad gnon las kyi mdzod 
BO_TZ53_'I-044:9	nying khu'i yang snying rnal ma 'dir brjod bya //	0	nying khu yang snying rnal ma dir rjod byed 
BO_TZ53_'I-044:10	'di la yid ches par byed pa bla ma brgyud pa'i lo rgyus dang / gdams ngag dngos gnyis las /	1	di la yid ches ba byed ba bla ma brgyud ba lo rgyus dang doms ngag dngos gnyis las 
BO_TZ53_'I-044:11	dang po ni /	1	dang po ni 
BO_TZ53_'I-044:12	slob dpon gtshug lag dpal dges 'jam dpal tshhe bdag nag po'i rgyud nas bsdus te /	1	slob dpon gtshug lag dpal dges jam dpal tshhe bdag nag po brgyud nas sdud te 
BO_TZ53_'I-044:13	slob dpon sangs rgyas gnyis pa pad+ma sam b+ha ba la gnang /	1	slob dpon sangs rgya gnyis ba pad+ma sam b+ha ba la gnang 
BO_TZ53_'I-044:14	des bal po'i slob dpon ba su d+ha ra ste nor 'dzin la gnang /	1	des bal po slob dpon ba su d+ha ra ste nor dzin la gnang 
BO_TZ53_'I-044:15	des gnubs sangs rgyas ye shes rin po che la bka' rgya dang bcas nas gnang /	1	des gnubs sangs rgya ye shes rin po che la bka rgya dang cha nas gnang 
BO_TZ53_'I-044:16	des spel ba'i gnas ma rnyed /	1	des spel ba gnas ma rnyed 
BO_TZ53_'I-044:17	ma 'ongs pa na rang nyid kyi skye ba rgya dum pa zhang khrom gyi dus su dgos par gzigs nas /	1	ma ngs ba na rang nyid kyi skye ba rgya dum ba zhang khrom gyi dus su dgos ba gzigs nas 
BO_TZ53_'I-044:18	lho brag mkho mthing gi gtshug lag khang du gter du sbas pa yin te /	1	lho brag mkho mthing gi gtshug lag khang du gter du sbed ba yin te 
BO_TZ53_'I-044:19	'di'i srung zlog gsad gsum gyi zhal gdams kyi mjug tu /	1	di srung zlog gsad gsum gyi zhal doms kyi mjug tu 
BO_TZ53_'I-044:20	sngags pa nang rgyas byung ba'i tshhe :	2	sngags ba nang rgya byung ba tshhe 
BO_TZ53_'I-044:21	de tshhe man ngag 'di gces so :	2	de tshhe man ngag di gces so 
BO_TZ53_'I-044:22	seng ge kha 'thab byung ba'i tshhe :	2	seng ge kha thab byung ba tshhe 
BO_TZ53_'I-044:23	de tshhe man ngag 'di gces so :	2	de tshhe man ngag di gces so 
BO_TZ53_'I-044:24	g.yag seng thug phrad byung ba'i tshhe :	2	g.yag seng thug phrad byung ba tshhe 
BO_TZ53_'I-044:25	de tshhe man ngag 'di gces so :	2	de tshhe man ngag di gces so 
BO_TZ53_'I-044:26	khyung chen sder 'dzing byung ba'i tshhe :	2	khyung chen sder dzing byung ba tshhe 
BO_TZ53_'I-044:27	de tshhe man ngag\u0f8e	2	de tshhe man ngag\u0f8e 
BO_TZ53_'I-044:28	sgyogs gnyis nang phrad byung ba'i tshhe :	2	sgyogs gnyis nang phrad byung ba tshhe 
BO_TZ53_'I-044:29	de tshhe man ngag\u0f8e	2	de tshhe man ngag\u0f8e 
BO_TZ53_'I-044:30	spu gri so 'thab byung ba'i tshhe :	3	spu gri so thab byung ba tshhe 
BO_TZ53_'I-044:31	de tshhe man ngag\u0f8e	3	de tshhe man ngag\u0f8e 
BO_TZ53_'I-044:32	ri gzar rbab chen byung ba'i tshhe :	3	ri gzar rbab chen byung ba tshhe 
BO_TZ53_'I-044:33	de tshhe man ngag\u0f8e	3	de tshhe man ngag\u0f8e 
BO_TZ53_'I-044:34	sngags pa nang 'thab byung ba'i tshhe :	3	sngags ba nang thab byung ba tshhe 
BO_TZ53_'I-044:35	srung ba mchod rten sgrom bu 'di gces so :	3	srung ba mchod rten sgrom bu di gces so 
BO_TZ53_'I-044:36	gces pa brgyad dang ldan pa 'di :	3	gces ba brgyad dang ldan ba di 
BO_TZ53_'I-044:37	kun la yod na ngo mtshhar chung :	3	kun la yod na ngo mtshhar chung 
BO_TZ53_'I-044:38	bdag 'dra sangs rgyas ye shes kyis :	3	bdag dra sangs rgya ye shes kyis 
BO_TZ53_'I-044:39	rgya gar bal po'i mtha' bskor te :	3	rgya gar bal po mtha skor te 
BO_TZ53_'I-044:40	sra ba brag las brkos te blangs :	4	sra ba brag las rko te blangs 
BO_TZ53_'I-044:41	zab pa rgya mtshho'i klong nas blangs :	4	zab ba rgya mtshho klong nas blangs 
BO_TZ53_'I-044:42	mtho ba ri la 'dzegs te blangs :	4	mtho ba ri la dzegs te blangs 
BO_TZ53_'I-044:43	dka' ba srog dang bsdos nas blangs :	4	dka ba srog dang sdo nas blangs 
BO_TZ53_'I-044:44	gser srang brgya 'jal rin gyis nyos :	4	gser srang brgya jal rin gyis nyo 
BO_TZ53_'I-044:45	zhes gsungs te /	4	zhes gsungs te 
BO_TZ53_'I-044:46	lho brag mkho mthing gi lha khang du mchong sgrom smug po shel gyi par bu ru /	4	lho brag mkho mthing gi lha khang du mchong sgrom smug po shel gyi ba bu ru 
BO_TZ53_'I-044:47	chu dar sngon po la dngul gyis bris nas gter du sbas so //	4	chu dar sngon po la dngul gyis bri nas gter du sbed so 
BO_TZ53_'I-044:48	de dus phyis su rgya zhang khrom gyis gter nas bton nas /	4	de dus byid su rgya zhang khrom gyis gter nas don nas 
BO_TZ53_'I-044:49	rog grags rtshe la gnang /	4	rog grags rtshe la gnang 
BO_TZ53_'I-044:50	des khams pa gser khur la gnang bas deng sang yang khams na dar srol che la /	5	des khams ba gser khur la gnang ba deng sang yang khams na dar srol che la 
BO_TZ53_'I-044:51	yang khams pas lha rje gnubs chung la gnang /	5	yang khams ba lha rje gnubs chung la gnang 
BO_TZ53_'I-044:52	des mtshhur ston rin chen rdo rje la gnang ste /	5	des mtshhur ston rin chen rdo rje la gnang ste 
BO_TZ53_'I-044:53	mtshhur des / dpon gzhon ston chung bya ba'i sngags pa mi dpon gnyis ka byed pa zhig gi pha bu spun zla mes po pha tshhan dang bcas pa'i mi pho ngo drug cu rtsha gcig ling ga la btab nas mthu byas pas /	5	mtshhur des dpon gzhon ston chung byed ba sngags ba mi dpon gnyis ka byed ba jig gi pha bu spun zla mes po pha tshhan dang cha ba mi pho ngo drug cu rtsha gcig ling ga la debs nas mthu byed ba 
BO_TZ53_'I-044:54	dpon gzhon gyis rngog mes ston spyan drangs te zlog pa zhus pas /	5	dpon gzhon gyis rngog mes ston spyan drangs te zlog ba zhus ba 
BO_TZ53_'I-044:55	mtshhur la cho 'phrul chen po byung ste /	5	mtshhur la cho phrul chen po byung ste 
BO_TZ53_'I-044:56	kha rag tu phyin nas rang gi bla ma bal po dbang phyug rdo rje la lo rgyus kun bshad de zlog pa zhus pas /	5	kha rag tu phyin nas rang gi bla ma bal po dbang phyug rdo rje la lo rgyus kun chad de zlog ba zhus ba 
BO_TZ53_'I-044:57	bal po'i zhal nas /	5	bal po zhal nas 
BO_TZ53_'I-044:58	mes ston las zlog pa mkhas pa dbus gtshang gi rgyal khams na med /	5	mes ston las zlog ba mkhas ba dbus gtshang gi rgyal khams na med 
BO_TZ53_'I-044:59	nga la zlog pa yang zhun la sogs pa rigs mang po yod de des mi 'ong /	5	nga la zlog ba yang zhun la sogs ba rigs mang po yod de des mi ng 
BO_TZ53_'I-044:60	khyod la rdzun btang bas mi yong /	6	khyod la rdzun gtong ba mi yong 
BO_TZ53_'I-044:61	khyed rang la yang phyag cha dang rdzas zlog dang ur mo la sogs pa la mkhas te de 'dras mi yong /	6	khyed rang la yang phyag cha dang rdzas zlog dang ur mo la sogs ba la mkhas te de dras mi yong 
BO_TZ53_'I-044:62	yang zlog zab pa gcig dgos pa yin /	6	yang zlog zab ba gcig dgos ba yin 
BO_TZ53_'I-044:63	nga la rgyus yod pas /	6	nga la rgyus yod ba 
BO_TZ53_'I-044:64	gtshang rong na lha rje gnubs chung la yod gsungs nas lung bstan /	6	gtshang rong na lha rje gnubs chung la yod gsungs nas lung ston 
BO_TZ53_'I-044:65	de nas mtshhur gyis snam bu bzang po gos 'ded pa bdun khyer nas gtshang rong du phyin nas phul /	6	de nas mtshhur gyis snam bu bzang po gos ded ba bdun khyer nas gtshang rong du phyin nas bul 
BO_TZ53_'I-044:66	yang zlog zhus nas tshhur 'ong /	6	yang zlog zhus nas tshhur ng 
BO_TZ53_'I-044:67	lam du sngags rgyun btshugs pas cho 'phrul cher song /	6	lam du sngags rgyun btshugs ba cho phrul cher gro 
BO_TZ53_'I-044:68	de nas rta pho kham pa khyer te phul /	6	de nas rta pho kham ba khyer te bul 
BO_TZ53_'I-044:69	gdams pa 'di ma tshhang bar snang bas tshhang ba zhig zhu dgos /	6	doms ba di ma tshhang ba snang ba tshhang ba jig ju dgos 
BO_TZ53_'I-044:70	de mi gnang na nga rang gi 'bul ba tshho phyir khyer 'gro	7	de mi gnang na nga rang gi bul ba tshho phyir khyer gro 
BO_TZ53_'I-044:71	/'di byas pas cho 'phrul cher song zhus pas /	7	byed ba cho phrul cher gro zhus ba 
BO_TZ53_'I-044:72	de gong du lha sgom thabs dang sngags kyi sham bu 'dogs thabs gnyis sbas nas ma gnang ba la der gnang ste /	7	de gong du lha sgom thabs dang sngags kyi sham bu dogs thabs gnyis sbed nas ma gnang ba la der gnang ste 
BO_TZ53_'I-044:73	da 'di la lhag chad yod re dbu bsnyung bzhes /	7	da di la lhag chad yod re dbu snyung bzhes 
BO_TZ53_'I-044:74	khyed rang gi brgyud pa min pa gzhan la mi spel ba'i mna' bsgags nas gnang ngo //	7	khyed rang gi brgyud ba min ba gzhan la mi spel ba mna sgog nas gnang ngo 
BO_TZ53_'I-044:75	de dus mtshhur gyi bu che ba mtshhur ston 'jam dpal lo bco brgyad pa dang / mtshhur ston dbang nge lo bcu bdun pa gcig dang pha spad gsum gyis zlog pa 'di'i bcas byas nas sngags rgyun btshugs pas /	7	de dus mtshhur gyi bu che ba mtshhur ston jam dpal lo chos brgyad ba dang mtshhur ston dbang nge lo chu bdun ba gcig dang pha spad gsum gyis zlog ba di cha byed nas sngags rgyun btshugs ba 
BO_TZ53_'I-044:76	rngog mes ston dpon g.yog khrag bshal skyugs kyis mtshhams nang du shi	7	rngog mes ston dpon g.yog khrag bshal skyug kyis mtshhams nang du chi 
BO_TZ53_'I-044:77	/de nas dpon gzhon la mthu kha zug ste /	7	nas dpon gzhon la mthu kha zug ste 
BO_TZ53_'I-044:78	lo gsum gyi khongs su ling ga la btab pa'i mi drug cu rtsha gcig po thams cad shi'o //	7	lo gsum gyi khongs su ling ga la debs ba mi drug cu rtsha gcig po thams cad chi 
BO_TZ53_'I-044:79	de nas rim par brgyud pa'o //	7	de nas rim ba brgyud ba 
BO_TZ53_'I-044:80	! //gnyis pa gdams ngag dngos kyi dang por 'di la don bcu ru shes par bya ste /	8	ba doms ngag dngos kyi dang por di la don chu ru shes ba byed ste 
BO_TZ53_'I-044:81	skor gsum / mtshhan bzhi /	8	skor gsum mtshhan bzhi 
BO_TZ53_'I-044:82	gnad gsum dang bcu'o //	8	gnad gsum dang chu 
BO_TZ53_'I-044:83	skor gsum ni /	8	skor gsum ni 
BO_TZ53_'I-044:84	srung zlog gsad gsum mo //	8	srung zlog gsad gsum mo 
BO_TZ53_'I-044:85	mtshhan bzhi ni /	8	mtshhan bzhi ni 
BO_TZ53_'I-044:86	lha la mtshhan du gsol ba gshin rje tshhe bdag	8	lha la mtshhan du gsol ba gshin rje tshhe bdag 
BO_TZ53_'I-044:87	/sngags la mtshhan du gsol ba e ka ya ma /	8	la mtshhan du gsol ba e ka ya ma 
BO_TZ53_'I-044:88	rdzas la mtshhan du gsol ba satsh+tshha dkar nag	8	rdzas la mtshhan du gsol ba satsh+tshha dkar nag 
BO_TZ53_'I-044:89	/dpe las mtshhan du gsol ba me'i spu gri'o //	8	las mtshhan du gsol ba me spu gri 
BO_TZ53_'I-044:90	gnad gsum gyi bca' ba rdzas kyi gnad satsh+tshha dang 'khor lo bri thabs /	9	gnad gsum gyi chos ba rdzas kyi gnad satsh+tshha dang khor lo bri thabs 
BO_TZ53_'I-044:91	bsgom pa lha'i gnad gshin rje tshhe bdag tu gsal ba /	9	bsgom ba lha gnad gshin rje tshhe bdag tu gsal ba 
BO_TZ53_'I-044:92	bzlas pa sngags kyi gnad gang byed sham bu sgyur ba ste /	9	bzlas ba sngags kyi gnad gang byed sham bu sgyur ba ste 
BO_TZ53_'I-044:93	bcu po des yang zlog gi gdams pa thams cad rdzogs pa yin no //	9	chu po des yang zlog gi doms ba thams cad rdzogs ba yin no 
BO_TZ53_'I-044:94	de la gnad gsum 'dzoms pa na :	9	de la gnad gsum dzoms ba na 
BO_TZ53_'I-044:95	phur thogs stong gis brub gyur kyang :	9	phur thogs stong gis brub gyur kyang 
BO_TZ53_'I-044:96	rang la mi tshhugs kho rang phung :	9	rang la mi tshhugs kho rang phung 
BO_TZ53_'I-044:97	mtha' nas brlag 'gyur gdon mi za :	9	mtha nas brlag gyur don mi za 
BO_TZ53_'I-044:98	yang zlog me yi spu gri 'o :	9	yang zlog me yi spu gri mang 
BO_TZ53_'I-044:99	zhes so // de la bca' ba rdzas kyi gnad ni /	9	zhes so de la chos ba rdzas kyi gnad ni 
BO_TZ53_'I-044:100	srung zlog satsh+tshha dkar po la brten pa /	10	srung zlog satsh+tshha dkar po la rten ba 
BO_TZ53_'I-044:101	gsad gnan satsh+tshha nag po la brten pa'o //	10	gsad gnon satsh+tshha nag po la rten ba 
BO_TZ53_'I-044:102	srung zlog gnyis gang byed kyang /	10	srung zlog gnyis gang byed kyang 
