segmentnr	original	folio	stemmed
BO_TZ54_YI-034:0	@#// byang gter phur pa'i sri gnan yi dam drag po gang la'ang sbyar du rung ba'i lag len 'don 'grigs dkyus gcig tu bsdebs pa 'bar ba'i brjid gnon thog brtshegs zhes bya ba bzhugs so //	0	byang gter phur ba sri gnon yi dam drag po gang la sbyor du rung ba lag len don grig dkyu gcig tu sdeb ba bar ba brjid gnon thogs brtshegs zhes byed ba bzhugs so 
BO_TZ54_YI-034:1	na mo gu ru ma ha kro d+ha ya /	0	na mo gu ru ma ha kro d+ha ya 
BO_TZ54_YI-034:2	gsang gsum 'bar ba'i stobs kyis 'khrul rtog gi	0	gsang gsum bar ba stobs kyis khrul rtogs gi 
BO_TZ54_YI-034:3	/sgo gsum rnam thar dbyings su gnon mdzad pa //	0	gsum rnam thar dbyings su gnon mdzad ba 
BO_TZ54_YI-034:4	bla ma he ru ka dpal gtshug mchod na //	0	bla ma he ru ka dpal gtshug mchod na 
BO_TZ54_YI-034:5	bdag tshhig rdo rjer 'grub pa'i nus byin stshol //	0	bdag tshhig rdo rjer grub ba nus byin stshol 
BO_TZ54_YI-034:6	dam pa snga mas gsal mdzad kyang //	0	dam ba snga mas gsal mdzad kyang 
BO_TZ54_YI-034:7	rang don ma yin gzhan phan phyir //	0	rang don ma yin gzhan phan phyir 
BO_TZ54_YI-034:8	'gran phyir ma yin nyer mkho'i phyir //	0	gran phyir ma yin nyer mkho phyir 
BO_TZ54_YI-034:9	spyi 'gro'i lag len gsal dgod phye //	0	spyi gro lag len gsal god byed 
BO_TZ54_YI-034:10	de'ang rang snang 'phrul pa'i rang gzugs las dang smon lam ngan pa'i dbang gis sri rkyen gyi lus su grub nas skye 'gro yongs la 'tshhe zhing bar du gcod par byed pa las kyi sri chung bcu gsum gyi sngon rabs byang gter phur pa dang bka' brgyad rang	1	de rang snang phrul ba rang gzugs las dang smon lam ngan ba dbang gis sri rkyen gyi lus su grub nas skye gro yongs la tshhe zhing ba du gcod ba byed ba las kyi sri chung chu gsum gyi sngon rabs byang gter phur ba dang bka brgyad rang 
BO_TZ54_YI-034:11	shar las bshad cing /	1	char las chad cing 
BO_TZ54_YI-034:12	de dag gnan pa'i las rim gsal bar gsungs pa nyid rtsha bar byas /	1	de dag gnon ba las rim gsal ba gsungs ba nyid rtsha ba byed 
