segmentnr	original	folio	stemmed
BO_TZ58_SI-016:0	@#// rdzogs pa chen po a ti zab don snying po'i khrid dmigs zin bris su spel ba kun bzang dgongs rgyan zhes bya ba bzhugs so //	0	rdzogs ba chen po a ti zab don snying po khrid dmigs zin bri su spel ba kun bzang dgongs rgyan zhes byed ba bzhugs so 
BO_TZ58_SI-016:1	om swasti / rdzogs pa chen po a ti zab don snying po'i khrid dmigs rje btshun bla ma dam pa bde chen mkha' 'gro'i gtsho mo 7gar dbang mi 'gyur dpal sgron gyi ljags bshad zin bris su spel ba kun bzang dgongs rgyan zhes bya ba /	0	om swasti rdzogs ba chen po a ti zab don snying po khrid dmigs rje btshun bla ma dam ba bde chen mkha gro gtsho mo 7gar dbang mi gyur dpal sgron gyi ljags chad zin bri su spel ba kun bzang dgongs rgyan zhes byed ba 
BO_TZ58_SI-016:2	bla ma dang gnyis su med pa bcom ldan 'das dpal kun tu bzang po la phyag 'tshhal lo //	0	bla ma dang gnyis su med ba joms ldan da dpal kun tu bzang po la phyag tshhal lo 
BO_TZ58_SI-016:3	blo 'das chos sku mi~x 'a~xgyur bde chen mdangs //	0	blo da chos sku mi~x a~xgyur bde chen mdangs 
BO_TZ58_SI-016:4	mtshhan dpe'i snang brnyan dpa~xl gyi sgro~xn ma'i skur //	0	mtshhan dpe snang rnyan dpa~xl gyi sgro~xn ma skur 
BO_TZ58_SI-016:5	yongs shar rang rig don gyi bla ma dang // dbyer med mi 'gyur dpal gyi sgron mas skyongs //	0	yongs char rang rig don gyi bla ma dang dbyer med mi gyur dpal gyi sgron mas skyongs 
BO_TZ58_SI-016:6	kun khyab 'gyur med chos dbyings rdo rje'i gzis //	0	kun khyab gyur med chos dbyings rdo rje gzis 
BO_TZ58_SI-016:7	'khor 'das zil gyis gnon pa gter bdag gling //	0	khor da zil gyis gnon ba gter bdag gling 
BO_TZ58_SI-016:8	rigs kun bdag po khyab bdag rdo rje 'chang //	0	rigs kun bdag po khyab bdag rdo rje chang 
BO_TZ58_SI-016:9	he ru ka dpal dpa' bo spyi bos mchod //	0	he ru ka dpal dpa bo spyi bod mchod 
BO_TZ58_SI-016:10	ma dag gdos bcas phung lnga dag pa'i dbyings //	1	ma dag gdos cha phung lnga dag ba dbyings 
BO_TZ58_SI-016:11	'ja' lus zung 'jug rdo rjer rgyas btab nas //	1	ja lus zung jug rdo rjer rgya debs nas 
BO_TZ58_SI-016:12	lhun grub snang bzhi zad sar 'khyol ba yi //	1	lhun grub snang bzhi zad sar khyol ba yi 
BO_TZ58_SI-016:13	lam 'di'i grub mchog rnams kyang phyag gi gnas //	1	lam di grub mchog rnams kyang phyag gi gnas 
BO_TZ58_SI-016:14	spang blang yongs grol chos sku ka dag gi	1	spong blang yongs grol chos sku ka dag gi 
BO_TZ58_SI-016:15	/dgongs pa zab gsang theg pa kun gyi rtshe //	1	ba zab gsang theg ba kun gyi rtshe 
BO_TZ58_SI-016:16	rnam gsum thugs kyi mnog chos a ti zhes //	1	rnam gsum thugs kyi mnog chos a ti zhes 
BO_TZ58_SI-016:17	yang gsang rdzogs pa chen po'i man ngag bcud //	1	yang gsang rdzogs ba chen po man ngag bcud 
BO_TZ58_SI-016:18	kun tu bzang po'i dgongs rgyan gcig pu nyid //	1	kun tu bzang po dgongs rgyan gcig pu nyid 
BO_TZ58_SI-016:19	zab don snying po gsang ba'i yang bcud kyi //	1	zab don snying po gsang ba yang bcud kyi 
BO_TZ58_SI-016:20	gdams khrid gsang ba las kyang ches gsang ba /	2	doms khrid gsang ba las kyang ches gsang ba 
BO_TZ58_SI-016:21	khyab bdag drin chen bla ma'i gsung bzhin bri //	2	khyab bdag drin chen bla ma gsung bzhin bri 
