segmentnr	original	folio	stemmed
BO_TZ5_CA-004:0	thugs dam zab pa skor bdun gyi bka' srung gza'i skong gsol las byang ni /	0	thugs dam zab ba skor bdun gyi bka srung gza skong gsol las byang ni 
BO_TZ5_CA-004:1	dang po spyan 'dren pa ni /	0	dang po spyan bgrang ba ni 
BO_TZ5_CA-004:2	hu~m/ gsang bdag rta mchog dpal dang rig 'dzin gtsho //	0	gsang bdag rta mchog dpal dang rig dzin gtsho 
BO_TZ5_CA-004:3	pad+ma thod phreng spyan sngar khas blangs pa'i //	0	pad+ma thod phreng spyan sngar khas blangs ba 
BO_TZ5_CA-004:4	dregs pa'i gtsho bo mthu stobs kun gyi bdag	0	dregs ba gtsho bo mthu stobs kun gyi bdag 
BO_TZ5_CA-004:5	/lha chen ra hu la khyod gshegs su gsol /	0	chen ra hu la khyod gshegs su gsol 
BO_TZ5_CA-004:6	khyed kyi 'khor tshhogs gza' brgyad gdong mo bzhi //	0	khyed kyi khor tshhogs gza brgyad gdong mo bzhi 
BO_TZ5_CA-004:7	rgyu skar snang srid lha 'dre dregs pa'i tshhogs //	0	rgyu skar snang srid lha dre dregs ba tshhogs 
BO_TZ5_CA-004:8	phyogs bzhi mtshhams brgyad pho brang so so nas //	0	phyogs bzhi mtshhams brgyad pho brang so so nas 
BO_TZ5_CA-004:9	skad cig yud tsham la ni gshegs su gsol //	0	skad cig yud tsham la ni gshegs su gsol 
BO_TZ5_CA-004:10	bzhugs su gsol ba ni /	1	bzhugs su gsol ba ni 
BO_TZ5_CA-004:11	hu~m/ dgra bgegs zhing chen pad+ma'i gdan khri la //	1	dgra bgegs zhing chen pad+ma gdan khri la 
BO_TZ5_CA-004:12	mi srun dregs pa'i gtsho bo 'khor bcas rnams //	1	mi srun dregs ba gtsho bo khor cha rnams 
BO_TZ5_CA-004:13	sangs rgyas bstan pa gnyan po bsrung ba'i phyir //	1	sangs rgya ston ba gnyan po bsrung ba phyir 
BO_TZ5_CA-004:14	mi g.yo dgyes shing brtan par bzhugs su gsol //	1	mi g.yo dgyes shing brtan ba bzhugs su gsol 
BO_TZ5_CA-004:15	mchod pa 'bul ba ni /	1	mchod ba bul ba ni 
BO_TZ5_CA-004:16	hu~m/ phyi nang gsang gsum bdud rtshi rak+ta'i tshhogs //	1	phyi nang gsang gsum bdud rtshi rak+ta tshhogs 
BO_TZ5_CA-004:17	dmar chen gtor ma dgra bo'i sha khrag rus //	1	dmar chen thor ma dgra bo sha khrag rus 
BO_TZ5_CA-004:18	za byed bstan srung 'khor bcas zhal du kha hi //	1	za byed ston srung khor cha zhal du kha hi 
BO_TZ5_CA-004:19	phrin las bcol ba ni /	1	phrin las chol ba ni 
BO_TZ5_CA-004:20	hu~m/ sngon gyi dam bcas thugs dam ji bzhin du //	2	sngon gyi dam cha thugs dam ji bzhin du 
BO_TZ5_CA-004:21	sangs rgyas bstan pa gnyan po bsrung ba dang // rnal 'byor sgrub pa po yi grogs mdzad phyir //	2	sangs rgya ston ba gnyan po bsrung ba dang rnal byor sgrub ba po yi grogs mdzad phyir 
BO_TZ5_CA-004:22	dam bcas bzhin du bcol ba'i phrin las mdzod //	2	dam cha bzhin du chol ba phrin las mdzod 
BO_TZ5_CA-004:23	bstod pa ni /	2	bstod ba ni 
BO_TZ5_CA-004:24	hrih dug lnga las grub srid pa kun gyi bdag	2	hrih dug lnga las grub srid ba kun gyi bdag 
BO_TZ5_CA-004:25	/za byed rngams pa lus dmar mig stong ldan //	2	byed rngams ba lus dmar mig stong ldan 
BO_TZ5_CA-004:26	chu srin rgyal mtshhan rwa yi mda' gzhu 'dzin //	2	chu srin rgyal mtshhan rwa yi mda gzhu dzin 
BO_TZ5_CA-004:27	bstan dgra thal bar rlag mdzad khyed la bstod /	2	ston dgra thal ba rlag mdzad khyed la bstod 
BO_TZ5_CA-004:28	khyed kyi 'khor tshhogs gza' brgyad gdong mo bzhi //	2	khyed kyi khor tshhogs gza brgyad gdong mo bzhi 
BO_TZ5_CA-004:29	rgyu skar snang srid 'jig rten dregs pa'i tshhogs //	2	rgyu skar snang srid jig rten dregs ba tshhogs 
BO_TZ5_CA-004:30	legs nyes stangs 'dzin dam tshhig rjes gcod pa'i //	3	legs nyes stangs dzin dam tshhig rjes gcod ba 
BO_TZ5_CA-004:31	bka' sdod bran g.yog tshhogs la bdag bstod do //	3	bka sdod bran g.yog tshhogs la bdag bstod do 
BO_TZ5_CA-004:32	bskul ba ni /	3	skul ba ni 
BO_TZ5_CA-004:33	hu~m/ mthu stobs dregs pa'i gtsho bo ra hu la /	3	mthu stobs dregs ba gtsho bo ra hu la 
BO_TZ5_CA-004:34	skye 'gro'i srog bdag drag rtshal chen po khyed //	3	skye gro srog bdag drag rtshal chen po khyed 
BO_TZ5_CA-004:35	'khor bcas bskyod de dgra bo'i srog la b+h+yo //	3	khor cha skyod de dgra bo srog la b+h+yo 
BO_TZ5_CA-004:36	dam nyams dgra bo las ngan 'di nyid kyi //	3	dam nyams dgra bo las ngan di nyid kyi 
BO_TZ5_CA-004:37	sha zo khrag thungs srog dbugs zhal du gsol //	3	sha zo khrag thungs srog dbugs zhal du gsol 
BO_TZ5_CA-004:38	mi rgyud rtshad chod sa zhing thal bar thongs //	3	mi brgyud rtshad chod sa zhing thal ba thongs 
BO_TZ5_CA-004:39	ming tsham med par rdul du brlag par mdzod //	3	ming tsham med ba rdul du brlag ba mdzod 
BO_TZ5_CA-004:40	ces bskul bar bya'o //	4	ces skul ba byed 
BO_TZ5_CA-004:41	zhes pa 'di ni zur mkhar rdo'i mchod rten gyi shar phyogs nas dar zur phu ba kun dga' rgya mtshho /	4	zhes ba di ni zur mkhar rdo mchod rten gyi char phyogs nas dar zur phu ba kun dga rgya mtshho 
BO_TZ5_CA-004:42	phun tshhogs sbyin pa gsum gyis bskul ba'i ngor bdag 'dra rdzogs chen pa gar gyi dbang phyug rtshal gyis sbyar ba dge legs su 'phel bar gyur cig /	4	phun tshhogs sbyin ba gsum gyis skul ba ngor bdag dra rdzogs chen ba gar gyi dbang phyug rtshal gyis sbyor ba dge legs su phel ba gyur cig 
