segmentnr	original	folio	stemmed
BO_TZ5_CA-013:0	'chi med rtsha gsum dril sgrub kyi bka' srung gter srung gi mchod phreng nyung ngur bsdus pa bzhugs /	0	chi med rtsha gsum dril sgrub kyi bka srung gter srung gi mchod phreng nyung ngur sdud ba bzhugs 
BO_TZ5_CA-013:1	na mahtri mu la a yur+dz+nya na yah	0	na mahtri mu la a yur+dz+nya na yah 
BO_TZ5_CA-013:2	'dir tshhe dpag med rtsha gsum 'chi med dril sgrub kyi bka' srung dbang gi lha mo dang gter srung lha bdud btshan gsum zung 'brel du mchod pa'i rim pa ni /	0	dir tshhe dpog med rtsha gsum chi med dril sgrub kyi bka srung dbang gi lha mo dang gter srung lha bdud btshan gsum zung brel du mchod ba rim ba ni 
BO_TZ5_CA-013:3	stegs gtshang mar dbang gi lha mo'i dpal bshos zla gam gyi rnam pa can la pad+ma 'dab bzhis bskor ba /	0	stegs gtshang mar dbang gi lha mo dpal bshos zla gam gyi rnam ba can la pad+ma dab bzhis skor ba 
BO_TZ5_CA-013:4	lha la bshos zlum dkar po /	0	lha la bshos zlum dkar po 
BO_TZ5_CA-013:5	bdud la nag po rtshe gug	0	bdud la nag po rtshe gug 
BO_TZ5_CA-013:6	/btshan rgod la bshos bu dmar po ra mgos mtshhan pa gsum kar zhabs dkris mtheb kyu rgyan gyis brgyan par bsham /	0	rgod la bshos bu dmar po ra mgos mtshhan ba gsum kar zhabs dkri mtheb kyu rgyan gyis rgyan ba bsham 
BO_TZ5_CA-013:7	om badzra a mr-itas bsang /	0	om badzra a mr-itas bsang 
BO_TZ5_CA-013:8	swa b+ha bas sbyang /	0	swa b+ha ba sbyong 
BO_TZ5_CA-013:9	stong pa'i ngang las b+h+ru~m las byung ba'i pad gzhong dang rin po che'i snod du hu~m yig 'od du zhu ba las gtor mchod kyi dngos po 'dod pa'i yon tan phun sum tshhogs pa ye shes kyi bdud rtshi'i rgya mtshhor gyur /	0	stong ba ngang las b+h+ru~m las byung ba pad gzhong dang rin po che snod du hu~m yig d du ju ba las thor mchod kyi dngos po dod ba yon tan phun sum tshhogs ba ye shes kyi bdud rtshi rgya mtshhor gyur 
BO_TZ5_CA-013:10	om ahhu~m ha hohhrih	1	om ahhu~m ha hohhrih 
BO_TZ5_CA-013:11	lan gsum / rang nyid bde gshegs rtsha ba gsum du gsal ba'i thugs ka nas 'od zer 'phros /	1	lan gsum rang nyid bde gshegs rtsha ba gsum du gsal ba thugs ka nas d zer phro 
BO_TZ5_CA-013:12	gnas yul dag pa mkha' spyod kyi zhing nas sngags srung zhi mdzad dbang gi lha mo 'khor ye shes kyi da ki sde lnga dang rang bzhin gyi gnas nas zab gter srung ma'i dbang po 'khor dang bcas pa spyan drangs par gyur /	1	gnas yul dag ba mkha spyod kyi zhing nas sngags srung zhi mdzad dbang gi lha mo khor ye shes kyi da ki sde lnga dang rang bzhin gyi gnas nas zab gter srung ma dbang po khor dang cha ba spyan drangs ba gyur 
BO_TZ5_CA-013:13	dz+nya na da ki ni ba sham de wi ha ri ni sa de wa tri du yak+sha shu la tsha tri badzra sa ma ya dzah	1	dz+nya na da ki ni ba sham de wi ha ri ni sa de wa tri du yak+sha shu la tsha tri badzra sa ma ya dzah 
BO_TZ5_CA-013:14	spro na / hrih	1	spro na hrih 
BO_TZ5_CA-013:15	mi 'gyur bde stong dag pa'i mkha' dbyings dang // nyer bzhi so gnyis mkha' spyod zhing khams nas //	1	mi gyur bde stong dag ba mkha dbyings dang nyer bzhi so gnyis mkha spyod zhing khams nas 
BO_TZ5_CA-013:16	ye shes da ki'i gtsho mo dbang gi lha //	1	ye shes da ki gtsho mo dbang gi lha 
BO_TZ5_CA-013:17	'khor dang bcas pa gnas 'dir gshegs su gsol //	1	khor dang cha ba gnas dir gshegs su gsol 
BO_TZ5_CA-013:18	pad+mas bkar btags zab mo'i gter mchog dang // grub pa'i zhing skyong mthu stobs bsam mi khyab //	1	pad+mas bkar dogs zab mo gter mchog dang grub ba zhing skyong mthu stobs bsam mi khyab 
BO_TZ5_CA-013:19	lha bdud btshan gsum bran g.yog pho nya'i tshhogs //	1	lha bdud btshan gsum bran g.yog pho nya tshhogs 
BO_TZ5_CA-013:20	rdzu 'phrul drag rtshal chen po gshegs su gsol //	2	rdzu phrul drag rtshal chen po gshegs su gsol 
BO_TZ5_CA-013:21	ar+g+ham nas / shab+da pra titsh+tshha ahhu~m gi bar gyis mchod /	2	ar+g+ham nas shab+da pra titsh+tshha ahhu~m gi ba gyis mchod 
