segmentnr	original	folio	stemmed
BO_TZ6_CHA-039:0	bla ma bde mchog 'khor lo'i brgyud pa'i gsol 'debs bzhugs so /	0	bla ma bde mchog khor lo brgyud ba gsol debs bzhugs so 
BO_TZ6_CHA-039:1	khyab bdag chos sku kun bzang rdo rje 'chang //	0	khyab bdag chos sku kun bzang rdo rje chang 
BO_TZ6_CHA-039:2	longs sku dpal ldan 'khor lo bde ba'i mchog	0	longs sku dpal ldan khor lo bde ba mchog 
BO_TZ6_CHA-039:3	/sprul sku lhan skyes rdo rje rnal 'byor mar //	0	sku lhan skye rdo rje rnal byor mar 
BO_TZ6_CHA-039:4	gsol ba 'debs so bde chen ye shes stshol //	0	gsol ba debs so bde chen ye shes stshol 
BO_TZ6_CHA-039:5	'chi med pad+ma badzra lha lcam yum //	0	chi med pad+ma badzra lha lcam yum 
BO_TZ6_CHA-039:6	dbyings phyug mkha' 'gro ye shes mtshho rgyal ma //	0	dbyings phyug mkha gro ye shes mtshho rgyal ma 
BO_TZ6_CHA-039:7	'jam mgon chos rgyal khri srong yab sras la //	0	jam mgon chos rgyal khri srong yab sras la 
BO_TZ6_CHA-039:8	gsol ba 'debs so bde chen ye shes stshol //	0	gsol ba debs so bde chen ye shes stshol 
BO_TZ6_CHA-039:9	rnam snang lo tsha rgyal ba mchog gi dbyangs //	0	rnam snang lo tsha rgyal ba mchog gi dbyangs 
BO_TZ6_CHA-039:10	gter 'byed rgya ston pad+ma dbang phyug dang // pad+ma 'od gsal mdo sngags gling pa la //	1	gter byed rgya ston pad+ma dbang phyug dang pad+ma d gsal mdo sngags gling ba la 
BO_TZ6_CHA-039:11	gsol ba 'debs so bde chen ye shes stshol //	1	gsol ba debs so bde chen ye shes stshol 
BO_TZ6_CHA-039:12	brgyud gsum rig 'dzin yi dam rgyal ba'i lha //	1	brgyud gsum rig dzin yi dam rgyal ba lha 
BO_TZ6_CHA-039:13	dpa' bo d+ha ki dam can chos skyong tshhogs //	1	dpa bo d+ha ki dam can chos skyong tshhogs 
BO_TZ6_CHA-039:14	'khor 'das drwa ba sdom pa'i dkyil 'khor la //	1	khor da drwa ba sdom ba dkyil khor la 
BO_TZ6_CHA-039:15	gsol ba 'debs so bde chen ye shes stshol //	1	gsol ba debs so bde chen ye shes stshol 
BO_TZ6_CHA-039:16	tha mal snang zhen lha yi 'khor lor shar //	1	tha mal snang zhen lha yi khor lor char 
BO_TZ6_CHA-039:17	rdo rje'i bzlas pas las dang dngos grub 'grub //	1	rdo rje bzlas ba las dang dngos grub grub 
BO_TZ6_CHA-039:18	bdag byin rlabs kyis gzung 'dzin rtog tshhogs zhi //	1	bdag byin rlabs kyis gzung dzin rtogs tshhogs zhi 
BO_TZ6_CHA-039:19	mngon shes drug gi gsal snang thob par shog	1	mngon shes drug gi gsal snang thob ba shog 
BO_TZ6_CHA-039:20	/sna tshhogs rdo rjes rlung sems dbu mar thim //	2	tshhogs rdo rjes rlung sems dbu mar thim 
BO_TZ6_CHA-039:21	dza lan d+ha ras rtsha khams 'ja' skur smin //	2	dza lan d+ha ras rtsha khams ja skur smin 
BO_TZ6_CHA-039:22	nor bu 'gengs pas phyag rgya bzhi yi lam //	2	nor bu gengs ba phyag rgya bzhi yi lam 
BO_TZ6_CHA-039:23	bde chen ye shes skyes brtan gong 'phel shog	2	bde chen ye shes skye brtan gong phel shog 
BO_TZ6_CHA-039:24	/mthar thug bsam mi khyab pa'i rnal 'byor gyis //	2	thug bsam mi khyab ba rnal byor gyis 
BO_TZ6_CHA-039:25	don gyi lhan skyes mngon du gyur nas kyang //	2	don gyi lhan skye mngon du gyur nas kyang 
BO_TZ6_CHA-039:26	zung 'jug bde chen pad+ma badzra rtshal //	2	zung jug bde chen pad+ma badzra rtshal 
BO_TZ6_CHA-039:27	bdag gzhan 'gro bas myur du 'grub par shog	2	bdag gzhan gro ba myur du grub ba shog 
BO_TZ6_CHA-039:28	/ces pa'ang zab chos 'di'i thog ma'i snod ldan pad+ma gar dbang blo gros mtha' yas pa'i sdes gus pas gsol ba btab pa dge legs 'phel //	2	ba zab chos di thogs ma snod ldan pad+ma gar dbang blo gros mtha yas ba sdes gus ba gsol ba debs ba dge legs phel 
