segmentnr	original	folio	stemmed
BO_TZ8_NYA-021:0	khrid yig gu ru'i dgongs rgyan nyin byed snying po'i khyad par gyi sngon 'gro'i bla ma'i rnal 'byor skabs /	0	khrid yig gu ru dgongs rgyan nyin byed snying po khyad ba gyi sngon gro bla ma rnal byor skabs 
BO_TZ8_NYA-021:1	rtsha ba'i bla ma gu ru pad+ma yid bzhin nor bu'i dbu gtshug tu /'jam mgon rdo rje 'chang g.yung drung gling pa dkar gsal sku na smin nyams can /	0	rtsha ba bla ma gu ru pad+ma yid bzhin nor bu dbu gtshug tu mgon rdo rje chang g.yung drung gling ba dkar gsal sku na smin nyams can 
BO_TZ8_NYA-021:2	sku la chos gos rnam gsum gsol zhing /	0	sku la chos gos rnam gsum gsol zhing 
BO_TZ8_NYA-021:3	mgul phur sku sked du 'chang ba /	0	mgul phur sku sked du chang ba 
BO_TZ8_NYA-021:4	dbu la pan zhwa /	0	dbu la pan zhwa 
BO_TZ8_NYA-021:5	phyag gnyis chos 'chad phyag rgyas pad+ma dkar dmar gyi yu ba nas 'dzin pa'i me tog snyan gong du rgyas pa /	0	phyag gnyis chos chad phyag rgya pad+ma dkar dmar gyi yu ba nas dzin ba me tog snyan gong du rgya ba 
BO_TZ8_NYA-021:6	de'i g.yas kyi lte bar shes rab kyi ral gri dang theg dgu'i chos mdzod 'dus pa'i glegs bam /	0	de g.yas kyi lte ba shes rab kyi ral gri dang theg dgu chos mdzod du ba glegs bam 
BO_TZ8_NYA-021:7	g.yon par 'chi med bdud rtshi'i tshhe bum g.yung drung g.yas su 'khyil bas mtshhan pa bsnams shing /	0	g.yon ba chi med bdud rtshi tshhe bum g.yung drung g.yas su khyil ba mtshhan ba snom shing 
BO_TZ8_NYA-021:8	zhabs zung rdo rje'i skyil mo krung gis pad zla'i gdan la bzhugs pa //	0	zhabs zung rdo rje skyil mo krung gis pad zla gdan la bzhugs ba 
BO_TZ8_NYA-021:9	de'i spyi bor si tu pad+ma nyin byed sku mdog dkar smug bsgres tshhul /	0	de spyi bor si tu pad+ma nyin byed sku mdog dkar smug sgre tshhul 
BO_TZ8_NYA-021:10	chos gos rnam gsum dang ber phyam can /	1	chos gos rnam gsum dang ber phyam can 
BO_TZ8_NYA-021:11	dbu la dbang rtags cod pan dmar po gsol ba /	1	dbu la dbang rtags cod pan dmar po gsol ba 
BO_TZ8_NYA-021:12	phyag mnyam gzhag gi steng na tshhe bum nor bu dbang rgyal gyis mtshhan pa 'dzin cing /	1	phyag mnyam jog gi steng na tshhe bum nor bu dbang rgyal gyis mtshhan ba dzin cing 
BO_TZ8_NYA-021:13	zhabs rdor skyil gyis rin po che'i khri dar zab 'bol gyi steng du bzhugs pa /	1	zhabs rdar skyil gyis rin po che khri dar zab bol gyi steng du bzhugs ba 
BO_TZ8_NYA-021:14	de'i spyi bor pad nyi zla gdan la rig 'dzin rdo rje drag po sku mdog dmar smug zhi khro /	1	de spyi bor pad nyi zla gdan la rig dzin rdo rje drag po sku mdog dmar smug zhi khro 
BO_TZ8_NYA-021:15	sku stod la me kha li ljang gu	1	sku stod la me kha li ljang gu 
BO_TZ8_NYA-021:16	/sham thabs dang bla gos dmar po /	1	thabs dang bla gos dmar po 
BO_TZ8_NYA-021:17	dbu zhwa pad+ma mthong grol /	1	dbu zhwa pad+ma mthong grol 
BO_TZ8_NYA-021:18	phyag g.yas gser gyi rdo rje dang g.yon gnam lcags kyi phur pa gdengs shing zhabs zung rgyal po rol stabs kyis bzhugs pa /	1	phyag g.yas gser gyi rdo rje dang g.yon gnam lcags kyi phur ba gdeng shing zhabs zung rgyal po rol stabs kyis bzhugs ba 
BO_TZ8_NYA-021:19	de'i spyi bor pad nyi zla gdan la rig 'dzin tshhe dbang nor bu dmar smug sgeg nyams gzi byin 'bar ba sku stod la me kha li mchin kha /	1	de spyi bor pad nyi zla gdan la rig dzin tshhe dbang nor bu dmar smug sgeg nyams gzi byin bar ba sku stod la me kha li mchin kha 
BO_TZ8_NYA-021:20	sham thabs dkar po /	2	sham thabs dkar po 
BO_TZ8_NYA-021:21	bla gos dmar po /	2	bla gos dmar po 
BO_TZ8_NYA-021:22	dbu zhwa pad+ma kha 'bus mnabs pa /	2	dbu zhwa pad+ma kha bu nab ba 
BO_TZ8_NYA-021:23	phyag g.yas gser rdor thugs ka dang / g.yon mnyam gzhag ka pa la bdud rtshis bkang ba bsnams shing /	2	phyag g.yas gser rdar thugs ka dang g.yon mnyam jog ka ba la bdud rtshis geng ba snom shing 
BO_TZ8_NYA-021:24	zhabs zung phyed skyil gyis rol ba /	2	zhabs zung phyed skyil gyis rol ba 
BO_TZ8_NYA-021:25	de'i spyi bor pad nyi zla gdan la pad+ma bde chen gling pa sogs gzhung ltar bkod par bya'o //	2	de spyi bor pad nyi zla gdan la pad+ma bde chen gling ba sogs gzhung ltar bkod ba byed 
BO_TZ8_NYA-021:26	zhes pa'ang dbu zur karma ye shes 'byung gnas nas rten bcas bskul ba bzhin mkha' khyab ming ldan gyis bkod pa dge /	2	zhes ba dbu zur karma ye shes byung gnas nas rten cha skul ba bzhin mkha khyab ming ldan gyis bkod ba dge 
