segmentnr	original	folio	stemmed
BO_TZ9_TA-041:0	@#// dgongs gter bsam pa lhun grub ma'i brgyud pa'i gsol 'debs dngos grub char 'beb ces bya ba bzhugs so //	0	dgongs gter bsam ba lhun grub ma brgyud ba gsol debs dngos grub char beb ces byed ba bzhugs so 
BO_TZ9_TA-041:1	na mo gu ru sarba sid+d+hi hu~m/	0	na mo gu ru sarba sid+d+hi 
BO_TZ9_TA-041:2	kun bzang gdod ma'i mgon po snang mtha' yas //	0	kun bzang gdod ma mgon po snang mtha yas 
BO_TZ9_TA-041:3	nges pa lnga ldan rnam snang spyan ras gzigs //	0	nges ba lnga ldan rnam snang spyan ras gzigs 
BO_TZ9_TA-041:4	rang byung rgyal kun spyi dpal pad+ma 'byung //	0	rang byung rgyal kun spyi dpal pad+ma byung 
BO_TZ9_TA-041:5	rigs 'dus sku gsum bla mar gsol ba 'debs //	0	rigs du sku gsum bla mar gsol ba debs 
BO_TZ9_TA-041:6	chos skyong rgyal po tshhangs pa lha'i me tog	0	chos skyong rgyal po tshhangs ba lha me tog 
BO_TZ9_TA-041:7	/mkhar chen mtshho rgyal dge slong nam mkha'i snying //	0	chen mtshho rgyal dge slong nam mkha snying 
BO_TZ9_TA-041:8	rdo rje bdud 'joms lha sras mu khri btshan //	0	rdo rje bdud joms lha sras mu khri btshan 
BO_TZ9_TA-041:9	las can dag pa'i 'khor lngar gsol ba 'debs //	0	las can dag ba khor lngar gsol ba debs 
BO_TZ9_TA-041:10	zab gter sgo 'byed mang lam bzang po grags //	1	zab gter sgo byed mang lam bzang po grags 
BO_TZ9_TA-041:11	bod 'bangs skyabs gcig rgod kyi ldem 'phru can //	1	bod bang skyob gcig rgod kyi ldem phru can 
BO_TZ9_TA-041:12	'gro 'dul bka' babs brtshon 'grus rgyal mtshhan sogs //	1	gro dul bka bab brtshon grus rgyal mtshhan sogs 
BO_TZ9_TA-041:13	rtsha ba'i gter brgyud rnams la gsol ba 'debs //	1	rtsha ba gter brgyud rnams la gsol ba debs 
