segmentnr	original	folio	stemmed
BO_TZ_DZOGCHEN-DESUM-P100-A:2000	shar nas ma bcos gsal ba la //	200	char nas ma chos gsal ba la 
BO_TZ_DZOGCHEN-DESUM-P100-A:2001	sangs rgyas chos nyid snga phyi gsum //	200	sangs rgya chos nyid snga phyi gsum 
BO_TZ_DZOGCHEN-DESUM-P100-A:2002	gang du btshal yang rnyed mtha' med //	200	gang du btshal yang rnyed mtha med 
BO_TZ_DZOGCHEN-DESUM-P100-A:2003	kun gzhi yangs pa'i chos nyid las //	200	kun gzhi yangs ba chos nyid las 
BO_TZ_DZOGCHEN-DESUM-P100-A:2004	rig pa chos sku'i nyi shar ba //	200	rig ba chos sku nyi char ba 
BO_TZ_DZOGCHEN-DESUM-P100-A:2005	ma bcos nub pa med pa las //	200	ma chos nub ba med ba las 
BO_TZ_DZOGCHEN-DESUM-P100-A:2006	sgom du 'di las med par 'khums //	200	sgom du di las med ba khums 
BO_TZ_DZOGCHEN-DESUM-P100-A:2007	myong na sems kyi bdud rtshi myong //	200	myong na sems kyi bdud rtshi myong 
BO_TZ_DZOGCHEN-DESUM-P100-A:2008	blta na rig pa'i ye shes ltos //	200	lta na rig ba ye shes ltos 
BO_TZ_DZOGCHEN-DESUM-P100-A:2009	pad+ma ko la sha a hoh	200	pad+ma ko la sha a hoh 
BO_TZ_DZOGCHEN-DESUM-P100-A:2010	sbub mchu ni /	201	sbub mchu ni 
BO_TZ_DZOGCHEN-DESUM-P100-A:2011	sems kyi 'khor lo zhes bya ba'i man ngag las /	201	sems kyi khor lo zhes byed ba man ngag las 
BO_TZ_DZOGCHEN-DESUM-P100-A:2012	sems kyi bde chen nyams myong gsal //	201	sems kyi bde chen nyams myong gsal 
BO_TZ_DZOGCHEN-DESUM-P100-A:2013	11)spyi chings kyi dgongs pa /	201	11)spyi ching kyi dgongs ba 
BO_TZ_DZOGCHEN-DESUM-P100-A:2014	nam mkha' klong rdol glu'i bsam gtan /	201	nam mkha klong rdol glu bsam gtan 
BO_TZ_DZOGCHEN-DESUM-P100-A:2015	dpag bsam shing gi grib ma la /	201	dpog bsam shing gi grib ma la 
BO_TZ_DZOGCHEN-DESUM-P100-A:2016	tho rengs khar ar+ya pa los 'di skad lo //	201	tho rengs khar ar+ya ba los di skad lo 
BO_TZ_DZOGCHEN-DESUM-P100-A:2017	hu~m/ byang chub sems ni nam mkha' lta bu'i klong //	201	byang chub sems ni nam mkha lta bu klong 
BO_TZ_DZOGCHEN-DESUM-P100-A:2018	gsal la rtog pa med pa'i ye shes ni //	201	gsal la rtogs ba med ba ye shes ni 
BO_TZ_DZOGCHEN-DESUM-P100-A:2019	phyi dang nang med kun la gsal bar gnas //	201	phyi dang nang med kun la gsal ba gnas 
BO_TZ_DZOGCHEN-DESUM-P100-A:2020	gdod nas dag pas nam mkha'i klong 'dra las //	202	gdod nas dag ba nam mkha klong dra las 
