segmentnr	original	folio	stemmed
BO_TZ_DZOGCHEN-DESUM-P32:0	\u0f01\u0f83: rdzogs pa chen po sde gsum las :	0	\u0f01\u0f83: rdzogs ba chen po sde gsum las 
BO_TZ_DZOGCHEN-DESUM-P32:1	phyi skor dngos gzhi'i khrid rim bzhugs so :	0	phyi skor dngos gzhi khrid rim bzhugs so 
BO_TZ_DZOGCHEN-DESUM-P32:2	sde gsum phyi skor sems sde /	0	sde gsum phyi skor sems sde 
BO_TZ_DZOGCHEN-DESUM-P32:3	\u0f88\u0f88\u0f88 na mo gu ru :	0	\u0f88\u0f88\u0f88 na mo gu ru 
BO_TZ_DZOGCHEN-DESUM-P32:4	phyi skor dngos gzhi'i khrid rim ni :	0	phyi skor dngos gzhi khrid rim ni 
BO_TZ_DZOGCHEN-DESUM-P32:5	dang po thug sa gcig tu thug :	0	dang po thug sa gcig tu thug 
BO_TZ_DZOGCHEN-DESUM-P32:6	ces pas : lta ba mngon du gyur pa'i bla ma zhig tu gtug :	0	ces ba lta ba mngon du gyur ba bla ma jig tu gtug 
BO_TZ_DZOGCHEN-DESUM-P32:7	gdams ngag legs par zhus la the tshhom gyi dri ma bcad :	0	doms ngag legs ba zhus la the tshhom gyi dri ma gcod 
BO_TZ_DZOGCHEN-DESUM-P32:8	yul dngos po 'dug gam brtags pas mi rtag pa glo bur du byung ba rnams la blo bzhag ste :	0	yul dngos po dug gam rtog ba mi rtag ba glo bur du byung ba rnams la blo jog ste 
BO_TZ_DZOGCHEN-DESUM-P32:9	smig sgyu du ba rnams la'ang dngos po yod med legs par dpyad pa'i tshhe :	0	smig sgyu du ba rnams la dngos po yod med legs ba dpyod ba tshhe 
BO_TZ_DZOGCHEN-DESUM-P32:10	yul thams cad stong zhing yul de rnams la rnam shes 'byams pa'i mtshhams sbyar ba po ni dbang po ste :	1	yul thams cad stong zhing yul de rnams la rnam shes byam ba mtshhams sbyor ba po ni dbang po ste 
BO_TZ_DZOGCHEN-DESUM-P32:11	dper na mgo bo da lta rang du mtshhon gyis bcad de rdo bas zhib par btags nas bya khyir byin na mgo bo song ba'i yul yang med :	1	dper na mgo bo da lta rang du mtshhon gyis gcod de rdo ba zhib ba dogs nas byed khyir byin na mgo bo gro ba yul yang med 
BO_TZ_DZOGCHEN-DESUM-P32:12	de bzhin du dbang po mi rtag pa dang dbang po stong pa nyid do :	1	de bzhin du dbang po mi rtag ba dang dbang po stong ba nyid do 
BO_TZ_DZOGCHEN-DESUM-P32:13	dbang po de la 'jug pa'i rnam shes dus gsum gyi rnam rtog la dpyad de brtags na :	1	dbang po de la jug ba rnam shes dus gsum gyi rnam rtogs la dpyod de rtog na 
BO_TZ_DZOGCHEN-DESUM-P32:14	sngar dran pa'i shes pa mtshhan mo'i rmi lam bzhin du gar song cha med :	1	sngar dran ba shes ba mtshhan mo rmi lam bzhin du gar gro cha med 
BO_TZ_DZOGCHEN-DESUM-P32:15	ma 'ongs pa'i rtog pa glo bur chu'i rba rlabs lta bur 'byung ba'i yul 'di las 'byung med :	1	ma ngs ba rtogs ba glo bur chu rba rlabs lta bur byung ba yul di las byung med 
