segmentnr	original	folio	stemmed
BO_TZ_PEMA-SANGTHIG-KARCHAK:0	lang gro lo tsha ba chen po dkon mchog 'byung gnas kyi rnam 'phrul rtshod bral sprul pa'i gter chen rje drung phrin las byams pa'i 'byung gnas sam /	0	lang gro lo tsha ba chen po dkon(d) mchog byung gnas kyi rnam phrul rtshod bral sprul ba gter chen rje drung phrin las byams ba byung gnas sam 
BO_TZ_PEMA-SANGTHIG-KARCHAK:1	gsang ba'i mtshhan bdud 'joms nam mkha'i rdo rjer grags pa gang gis /	0	gsang ba mtshhan bdud joms nam mkha rdo rjer grags ba gang gis 
BO_TZ_PEMA-SANGTHIG-KARCHAK:2	khams kyi gla ba rkang gcig ye rgyal nam mkha' mdzod nas spyan drangs pa'i zab chos rtsha gsum tshhe sgrub pad+ma gsang thig gi chos sde nyid /	0	khams kyi gla ba rkang gcig ye rgyal nam mkha mdzod nas spyan drangs ba zab chos rtsha gsum tshhe sgrub pad+ma gsang thig gi chos sde nyid 
BO_TZ_PEMA-SANGTHIG-KARCHAK:3	rgya chen bka'i sdud po 'jam mgon blo gros mtha' yas kyi zhal snga nas kyis rin chen gter mdzod dkyus su bzhugs par bzhed na'ang yul dus kyi dbang gis dgongs pa lam lus su gyur pa nyid /	0	rgya chen bka sdud po jam mgon blo gros mtha yas kyi zhal snga nas kyis rin chen gter mdzod dkyu su bzhugs ba bzhed na yul dus kyi dbang gis dgongs ba lam lus su gyur ba nyid 
BO_TZ_PEMA-SANGTHIG-KARCHAK:4	da lam bstan rgyun la dmigs te 'dir dkyus gcig tu dgod pa la /	0	da lam ston rgyun la dmigs te dir dkyu gcig tu god ba la 
BO_TZ_PEMA-SANGTHIG-KARCHAK:5	zab chos pad+ma gsang thig gi dkar chag ldeb /	0	zab chos pad+ma gsang thig gi dkar chag ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:6	1rtsha rgyud pad+ma zab pa dang ma tshhang ba kha skong man ngag 'thor bu'i rgyud bcas ldeb /	0	1rtsha brgyud pad+ma zab ba dang ma tshhang ba kha skong man ngag thor bu brgyud cha ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:7	9rtsha rgyud pad+ma zab pa'i bsdus 'grel ldeb /	0	9rtsha brgyud pad+ma zab ba sdud grel ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:8	19smin byed dbang gi byang bu dang tshhe dbang gter gzhung ldeb /	0	19smin byed dbang gi byang bu dang tshhe dbang gter gzhung ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:9	4sngon 'gro'i ngag 'don nyung ngur bsdus pa ldeb /	0	4sngon gro ngag don nyung ngur sdud ba ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:10	4brgyud 'debs ldeb /	1	4brgyud debs ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:11	2'chi med tshhe yi phrin las kyi byang bu la ldeb /	1	2chi med tshhe yi phrin las kyi byang bu la ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:12	9tshhe 'gugs bskul byang ldeb /	1	9tshhe gugs skul byang ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:13	1chos srung rnams kyi rgyun gsol ldeb /	1	1chos srung rnams kyi rgyun gsol ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:14	1gter srung badzra ka sha'i mchod sprin ldeb /	1	1gter srung badzra ka sha mchod sprin ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:15	1tshhogs bsdus ldeb /	1	1tshhogs sdud ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:16	1bdag 'jug gi cho ga ldeb /	1	1bdag jug gi cho ga ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:17	6zhi khro'i lus dkyil skyed bzlas dang gtsho las bum sgrub las sbyor gyi bzlas pa mchod skong sgrib sbyong smon lam bcas kyi cho ga kun bzang khrus chab la ldeb /	1	6zhi khro lus dkyil skyed bzlas dang gtsho las bum sgrub las sbyor gyi bzlas ba mchod skong sgrib sbyong smon lam cha kyi cho ga kun bzang khru chab la ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:18	19rigs drug gnas sbyong dmigs bzlas zur byang gsar bris ldeb /	1	19rigs drug gnas sbyong dmigs bzlas zur byang gsar bri ldeb 
BO_TZ_PEMA-SANGTHIG-KARCHAK:19	1tshhe 'das gnas 'dren ldeb /	1	1tshhe da gnas bgrang ldeb 
