segmentnr	original	folio	stemmed
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:0	rtsha gsum 'od gsal snying tig gi bka' srung spyi yi gsol mchod phrin las 'dod dgu'i rgyan zhes bya ba bzhugs so //	0	rtsha gsum d gsal snying tig gi bka srung spyi yi gsol mchod phrin las dod dgu rgyan zhes byed ba bzhugs so 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:1	om swasti / srung ma'i gtor 'bul bya bar 'dod pas /	0	om swasti srung ma thor bul byed ba dod ba 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:2	dpal gtor dpung rong gtsho 'khor lnga mtheb kyu dang zas snas brgyan pa bsham la /	0	dpal thor dpung rong gtsho khor lnga mtheb kyu dang zas snas rgyan ba bsham la 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:3	ram yam kham gis bsang sbyang /	0	ram yam kham gis bsang sbyong 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:4	stong pa'i ngang las rlung me thod sgyed steng //	0	stong ba ngang las rlung me thod sgyed steng 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:5	b+han+d+ha'i snod du sha lnga bdud rtshi lnga //	0	b+han+d+ha snod du sha lnga bdud rtshi lnga 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:6	bskol zhing 'od zhu zag med bdud rtshi'i bcud //	0	skol zhing d ju zag med bdud rtshi bcud 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:7	'dod yon rgya mtshho'i sprin phung 'phro bar gyur //	0	dod yon rgya mtshho sprin phung phro ba gyur 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:8	om ahhu~m hohsa brlab /	0	om ahhu~m hohsa brlab 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:9	hu~m hrih ka dag dbyings las 'od gsal sgyu ma'i 'phrul //	0	hu~m hrih ka dag dbyings las d gsal sgyu ma phrul 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:10	rtsha gsum spyi dang khyad par dpal chen po //	1	rtsha gsum spyi dang khyad ba dpal chen po 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:11	bka' srung skur bzhengs dpal mgon ma ning nag	1	bka srung skur bzhengs dpal mgon ma ning nag 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:12	/sngags kyi srung ma khyab 'jug dam can sogs //	1	kyi srung ma khyab jug dam can sogs 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:13	bka' gter srung ma 'khor dang bcas pa kun //	1	bka gter srung ma khor dang cha ba kun 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:14	mchod pa'i mgron du myur du gshegs su gsol //	1	mchod ba mgron du myur du gshegs su gsol 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:15	om ahhu~m badzra gu ru d+he ba da ki ni shri d+harma pa la sa pa ri wa ra badzra sa ma dzahsa spyan drangs /	1	om ahhu~m badzra gu ru d+he ba da ki ni shri d+harma ba la sa ba ri wa ra badzra sa ma dzahsa spyan drangs 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:16	dzahhu~m bam hohsa ma ya tish+tha lhan /	1	dzahhu~m bam hohsa ma ya tish+tha lhan 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:17	bzhugs su gsol /	1	bzhugs su gsol 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:18	hu~m hrih snang srid bde chen dag pa'i ye shes rtshal //	1	hu~m hrih snang srid bde chen dag ba ye shes rtshal 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:19	srid zhi'i dpal 'byor lhun gyis grub pa yi //	1	srid zhi dpal byor lhun gyis grub ba yi 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:20	phyi nang gsang ba bla med mchod pa'i sprin //	2	phyi nang gsang ba bla med mchod ba sprin 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:21	'bul lo dgyes par bzhes la phrin las mdzod //	2	bul lo dgyes ba bzhes la phrin las mdzod 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:22	om ahhu~m badzra gu ru d+he ba da ki ni shri d+harma pa la sa pa ri wa ra ar+g+ham sogs nas /	2	om ahhu~m badzra gu ru d+he ba da ki ni shri d+harma ba la sa ba ri wa ra ar+g+ham sogs nas 
BO_TZ_TSASUM-OSEL-NYINGTHIG-P8:23	shab+da ru pa shab+da g+han+d+he ra sa spar+she pra titsh+tshha swa ha/	2	shab+da ru ba shab+da g+han+d+he ra sa spar+she pra titsh+tshha swa 
