segmentnr	original	folio	stemmed
BO_TZ_Terdzo-OM-P63:0	bla ma zhi drag sogs kyi gtor dbang bskur ba'i skabs kyi 'dod gsol ni /	0	bla ma zhi drag sogs kyi thor dbang skur ba skabs kyi dod gsol ni 
BO_TZ_Terdzo-OM-P63:1	brgyud pa'i bla ma rnams kyi mtshhan bshar nas /	0	brgyud ba bla ma rnams kyi mtshhan bshar nas 
BO_TZ_Terdzo-OM-P63:2	rtsha ba'i bla ma 'di zhes bya ba'i bar du byon pa'i rtsha brgyud kyi bla ma dam pa yi dam zhi khro rab 'byams mkha' 'gro chos skyong srung ma'i tshhogs dang bcas pa rnams kyis /	0	rtsha ba bla ma di zhes byed ba ba du byon ba rtsha brgyud kyi bla ma dam ba yi dam zhi khro rab byam mkha gro chos skyong srung ma tshhogs dang cha ba rnams kyis 
BO_TZ_Terdzo-OM-P63:3	rdo rje'i slob ma 'di rnams byang chub ma 'thob kyi bar du phyi nang gsang ba'i 'gal rkyen bar chad thams cad zhi zhing mthun rkyen legs pa'i yon tan thams cad gong nas gong du 'phel zhing rgyas pa dang / sku gsung thugs kyi dbang dang dngos grub ma lus pa da lta nyid du thob par byin gyis brlab par mdzad du gsol //	0	rdo rje slob ma di rnams byang chub ma thob kyi ba du phyi nang gsang ba gal rkyen ba chad thams cad zhi zhing mthun rkyen legs ba yon tan thams cad gong nas gong du phel zhing rgya ba dang sku gsung thugs kyi dbang dang dngos grub ma lus ba da lta nyid du thob ba byin gyis brlab ba mdzad du gsol 
BO_TZ_Terdzo-OM-P63:4	zhes pa'i mthar /	0	zhes ba mthar 
BO_TZ_Terdzo-OM-P63:5	ma ha gu ru dang / badzra gu ru dang / pad+ma thod phreng sogs sngags spyi 'gro'i mthar ka ya sid+d+hi om sogs gsum btags pas bskur ro ///	0	ma ha gu ru dang badzra gu ru dang pad+ma thod phreng sogs sngags spyi gro mthar ka ya sid+d+hi om sogs gsum dogs ba skur ro 
BO_TZ_Terdzo-OM-P63:6	/  @#// rta mgrin dang phyag rdor sogs kyi bka' bsgo'i ngag 'don /	0	rta mgrin dang phyag rdar sogs kyi bka sgo ngag don 
BO_TZ_Terdzo-OM-P63:7	sngags mthar brgyud pa'i bshar 'ded kyi rjes su /	0	sngags mthar brgyud ba bshar ded kyi rjes su 
BO_TZ_Terdzo-OM-P63:8	rtsha brgyud kyi bla ma dam pa /	0	rtsha brgyud kyi bla ma dam ba 
BO_TZ_Terdzo-OM-P63:9	yi dam sangs rgyas byang sems mkha' 'gro dam can rgya mtshho spyi dang / khyad par du'ang 'di zhes bya ba'i lha tshhogs rnams kyis rdo rje'i slob ma 'di rnams kyi nad gdon sdig sgrib bar chad mi mthun pa'i phyogs thams cad zhi zhing /	0	yi dam sangs rgya byang sems mkha gro dam can rgya mtshho spyi dang khyad ba du di zhes byed ba lha tshhogs rnams kyis rdo rje slob ma di rnams kyi nad don sdig sgrib ba chad mi mthun ba phyogs thams cad zhi zhing 
BO_TZ_Terdzo-OM-P63:10	mthun rkyen legs pa'i yon tan thams cad 'phel zhing rgyas par byin gyis rlobs shig	1	mthun rkyen legs ba yon tan thams cad phel zhing rgya ba byin gyis rlobs shig 
BO_TZ_Terdzo-OM-P63:11	/bye brag tu'ang rdo rje'i slob ma 'di rnams la gnod cing 'tshhe bar byed pa'i steng gdon gza' dang rgyu skar /	1	brag tu rdo rje slob ma di rnams la gnod cing tshhe ba byed ba steng don gza dang rgyu skar 
BO_TZ_Terdzo-OM-P63:12	'og gdon klu dang sa bdag	1	g don klu dang sa bdag 
BO_TZ_Terdzo-OM-P63:13	/bar gdon bdud btshan rgyal 'gong the brang 'byung po'i gnod pa thams cad dus da lta nyid du zhi ba dang tshhar gcod par mdzad du gsol /	1	don bdud btshan rgyal gong the brang byung po gnod ba thams cad dus da lta nyid du zhi ba dang tshhar gcod ba mdzad du gsol 
BO_TZ_Terdzo-OM-P63:14	mdor na byang chub ma 'thob kyi bar du srung zhing skyob pa dang sba bar mdzad du gsol /	1	mdor na byang chub ma thob kyi ba du srung zhing skyob ba dang sbed ba mdzad du gsol 
BO_TZ_Terdzo-OM-P63:15	mthar mnga' gsol shis brjod ni me tog 'thor bzhin du su pra tish+tha'i sngags dang bkra shis brjod pa tsham gyis 'thus so ///	1	mthar mnga gsol shis rjod ni me tog thor bzhin du su pra tish+tha sngags dang bkra shis rjod ba tsham gyis thus so 
BO_TZ_Terdzo-OM-P63:16	/  @#// chos skyong rnams kyi srog gtad rjes gnang la bka' bsgo dgos pa'i dper brjod ni /	1	chos skyong rnams kyi srog gtod rjes gnang la bka sgo dgos ba dper rjod ni 
BO_TZ_Terdzo-OM-P63:17	kye / dus gsum sangs rgyas thams cad kyi phrin las kyi mngag gzhug chen po /	1	kye dus gsum sangs rgya thams cad kyi phrin las kyi mngag jug chen po 
BO_TZ_Terdzo-OM-P63:18	bstan pa dam pa'i chos skyong ba'i srung ma 'di zhes bya ba 'khor dang bcas pa rnams kyis /	1	ston ba dam ba chos skyong ba srung ma di zhes byed ba khor dang cha ba rnams kyis 
BO_TZ_Terdzo-OM-P63:19	rtsha ba dang brgyud par bcas pa'i dpal ldan bla ma dam pa rnams kyi bka' dang dam las ma 'da' bar sangs rgyas kyi bstan pa srungs /	1	rtsha ba dang brgyud ba cha ba dpal ldan bla ma dam ba rnams kyi bka dang dam las ma da ba sangs rgya kyi ston ba srungs 
BO_TZ_Terdzo-OM-P63:20	dkon mchog gi dbu 'phang bstod /	2	dkon(d) mchog gi dbu phen bstod 
BO_TZ_Terdzo-OM-P63:21	dge 'dun gyi sde skyongs /	2	dge dun gyi sde skyongs 
BO_TZ_Terdzo-OM-P63:22	dam chos mi nub pa'i rgyal mtshhan tshhugs /	2	dam chos mi nub ba rgyal mtshhan tshhugs 
BO_TZ_Terdzo-OM-P63:23	bla ma dam pa'i sku tshhe dang phrin las spel /	2	bla ma dam ba sku tshhe dang phrin las spel 
BO_TZ_Terdzo-OM-P63:24	bstan pa bstan 'dzin dang bcas la rim gro skyed /	2	ston ba ston dzin dang cha la rim gro skyed 
BO_TZ_Terdzo-OM-P63:25	sems can gyi phan bde spel /	2	sems can gyi phan bde spel 
BO_TZ_Terdzo-OM-P63:26	'jig rten gyi rgud pa sol /	2	jig rten gyi rgud ba sol 
BO_TZ_Terdzo-OM-P63:27	gdug pa can gyi bsam sbyor ngan pa thams cad rgyun chod /	2	gdug ba can gyi bsam sbyor ngan ba thams cad rgyun chod 
BO_TZ_Terdzo-OM-P63:28	khyad par du yang rdo rje'i slob ma 'di nyid dus deng nas gzung byang chub kyi bar du khyod la gnyer du gtad kyis /	2	khyad ba du yang rdo rje slob ma di nyid dus deng nas gzung byang chub kyi ba du khyod la gnyer du gtod kyis 
BO_TZ_Terdzo-OM-P63:29	lus dang grib ma bzhin du 'grogs nas /	2	lus dang grib ma bzhin du grogs nas 
BO_TZ_Terdzo-OM-P63:30	sngon gyi las dang 'phral gyi rkyen las byung ba'i rlung mkhris bad kan 'dus pa las gyur pa dang / 'go nad yams rims sogs nad bzhi brgya rtsha bzhi'i gnod pa thams cad zhi ba dang / lha klu gnod sbyin gza' dang rgyal po la sogs gdon rigs sum brgya drug cu'i gnod pa thams cad zhi ba dang /	3	sngon gyi las dang phral gyi rkyen las byung ba rlung mkhris bad kan du ba las gyur ba dang go nad yams rims sogs nad bzhi brgya rtsha bzhi gnod ba thams cad zhi ba dang lha klu gnod sbyin gza dang rgyal po la sogs don rigs sum brgya drug cu gnod ba thams cad zhi ba dang 
BO_TZ_Terdzo-OM-P63:31	rmi lam mtshhan ma ngan pa sogs bkra mi shis pa'i dngos po thams cad zhi zhing zlog par mdzad du gsol /	3	rmi lam mtshhan ma ngan ba sogs bkra mi shis ba dngos po thams cad zhi zhing zlog ba mdzad du gsol 
BO_TZ_Terdzo-OM-P63:32	tshhe dang bsod nams dpal dang 'byor pa sogs legs tshhogs kyi dngos po thams cad 'phel zhing rgyas par mdzad du gsol /	3	tshhe dang bsod nams dpal dang byor ba sogs legs tshhogs kyi dngos po thams cad phel zhing rgya ba mdzad du gsol 
BO_TZ_Terdzo-OM-P63:33	khyad par du yang sems can thams cad kyi don du phyag rgya chen po'i dngos grub sgrub pa'i gnas skabs dang mthar thug gi phyi nang gsang ba'i 'gal rkyen mtha' dag sol /	3	khyad ba du yang sems can thams cad kyi don du phyag rgya chen po dngos grub sgrub ba gnas skabs dang mthar thug gi phyi nang gsang ba gal rkyen mtha dag sol 
BO_TZ_Terdzo-OM-P63:34	mthun rkyen thams cad yid bzhin du sgrub pa'i grogs gyis /	3	mthun rkyen thams cad yid bzhin du sgrub ba grogs gyis 
BO_TZ_Terdzo-OM-P63:35	mthu dang dpung skyed /	3	mthu dang dpung skyed 
BO_TZ_Terdzo-OM-P63:36	bsam pa sgrubs /	3	bsam ba sgrubs 
BO_TZ_Terdzo-OM-P63:37	re ba skongs /	3	re ba skongs 
BO_TZ_Terdzo-OM-P63:38	yid la bsam pa'i don thams cad bde blag tu 'grub pa dang / mthar thug phyag rgya chen po mchog gi dngos grub la yang dag par sbyor cig	3	yid la bsam ba don thams cad bde blag tu grub ba dang mthar thug phyag rgya chen po mchog gi dngos grub la yang dag ba sbyor cig 
BO_TZ_Terdzo-OM-P63:39	/chos skyong mthu ma chung /	3	skyong mthu ma chung 
BO_TZ_Terdzo-OM-P63:40	dam can rtshal ma zhan /	4	dam can rtshal ma zhan 
BO_TZ_Terdzo-OM-P63:41	mngon par 'dod pa'i dngos grub bde blag tu sgrubs shig	4	mngon ba dod ba dngos grub bde blag tu sgrubs shig 
BO_TZ_Terdzo-OM-P63:42	/ces bka' bsgos pas don de dag re re nas de bzhin du bgyi'o //	4	bka sgo ba don de dag re re nas de bzhin du bgyid 
BO_TZ_Terdzo-OM-P63:43	zhes spro ba dang bcas pas khas blangs par bsam /	4	zhes spro ba dang cha ba khas blangs ba bsam 
BO_TZ_Terdzo-OM-P63:44	! yang bka' bsgo'i ngag 'don mdor bsdu na /	4	yang bka sgo ngag don mdor sdud na 
BO_TZ_Terdzo-OM-P63:45	dpal ye shes kyi mgon po legs ldan tshhogs kyi bdag po /	4	dpal ye shes kyi mgon po legs ldan tshhogs kyi bdag po 
