segmentnr	original	folio	stemmed
BO_TZ_Terdzo-Volume-33-Karchag:0	gter mdzod / gi)pa la /	0	gter mdzod gi)pa la 
BO_TZ_Terdzo-Volume-33-Karchag:1	'ja' tshhon seng gdong dbang bka' rgya can ldeb /	0	ja tshhon seng gdong dbang bka rgya can ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:2	7klong gsal seng ha dmar mo gter gzhung ldeb /	0	7klong gsal seng ha dmar mo gter gzhung ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:3	11phrin las dang srung zlog gi cho ga chog khrigs ldeb /	0	11phrin las dang srung zlog gi cho ga chog khrigs ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:4	9bka' gtad cho ga ldeb /	0	9bka gtod cho ga ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:5	4seng gdong sgrub thabs chags med mdzad pa ldeb /	0	4seng gdong sgrub thabs chags med mdzad ba ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:6	2chags med lugs gtor dbang rmi lam ma ldeb /	0	2chags med lugs thor dbang rmi lam ma ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:7	13stag sham bdud 'dul drag mo'i brgyud 'debs ldeb /	0	13stag sham bdud dul drag mo brgyud debs ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:8	1las byang bsdus pa ldeb /	0	1las byang sdud ba ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:9	14bla ma mkha' 'gro'i gtor 'bul dang bka' srung dam can spyang zhon gyi gtor 'bul bcas ldeb /	0	14bla ma mkha gro thor bul dang bka srung dam can spyang zhon gyi thor bul cha ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:10	5ma ti rat+na dang gter kha gnyis 'dus kyi srog dbang chen mo ldeb /	1	5ma ti rat+na dang gter kha gnyis du kyi srog dbang chen mo ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:11	17srung zlog gsad pa'i rjes gnang ldeb /	1	17srung zlog gsad ba rjes gnang ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:12	3ma ti dang gnyis 'dus don dbang ldeb /	1	3ma ti dang gnyis du don dbang ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:13	7bsnyen yig chos gling gsung ldeb /	1	7bsnyen yig chos gling gsung ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:14	7khrid yig ldeb /	1	7khrid yig ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:15	7rol rdor brag gter seng gdong ma'i las byang ldeb /	1	7rol rdar brag gter seng gdong ma las byang ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:16	12thugs klong phag mo'i bskyed rim ldeb /	1	12thugs klong phag mo skyed rim ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:17	3sman mchod ldeb /	1	3sman mchod ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:18	1tshhogs 'khor ldeb /	1	1tshhogs khor ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:19	4skong gso ldeb /	1	4skong gso ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:20	1rgyun khyer ldeb /	2	1rgyun khyer ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:21	1rjes gnang ldeb /	2	1rjes gnang ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:22	5mchog gling bi ma'i bla sgrub las phyung ba'i yang gsang mkha' 'gro'i gtor zlog ldeb /	2	5mchog gling bi ma bla sgrub las byin ba yang gsang mkha gro thor zlog ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:23	14zlog pa'i 'gres byang ldeb /	2	14zlog ba gre byang ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:24	1!  'jig rten mchod bstod kyi skor la /	2	jig rten mchod bstod kyi skor la 
BO_TZ_Terdzo-Volume-33-Karchag:25	gsang rdzogs dregs pa'i sde dpon sum cu'i las byang ldeb /	2	gsang rdzogs dregs ba sde dpon sum cu las byang ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:26	4nyang gter dregs pa'i mthu dbang ldeb /	2	4nyang gter dregs ba mthu dbang ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:27	10rol rdor gtum po dregs 'dul gyi sngon 'gro ldeb /	2	10rol rdar thum po dregs dul gyi sngon gro ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:28	1phyi sgrub ldeb /	2	1phyi sgrub ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:29	7dbang chog ldeb /	2	7dbang chog ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:30	6mchog gling zab bdun las /	3	6mchog gling zab bdun las 
BO_TZ_Terdzo-Volume-33-Karchag:31	gsang bdag dregs pa kun 'dul rtsha sgrub ldeb /	3	gsang bdag dregs ba kun dul rtsha sgrub ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:32	2phrin las dbang chog ldeb /	3	2phrin las dbang chog ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:33	7mchog gling zab bdun 'jig rten dregs pa mchod bstod sgrub thabs ldeb /	3	7mchog gling zab bdun jig rten dregs ba mchod bstod sgrub thabs ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:34	4de'i phyag 'tshhal mchod bstod sogs las rim ldeb /	3	4de phyag tshhal mchod bstod sogs las rim ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:35	1bka' srung dregs pa'i mchod bstod ldeb /	3	1bka srung dregs ba mchod bstod ldeb 
BO_TZ_Terdzo-Volume-33-Karchag:36	7de'i 'gres byang /	3	7de gre byang 
BO_TZ_Terdzo-Volume-33-Karchag:37	1lha dbang gter gzhung ldeb /	3	1lha dbang gter gzhung ldeb 
