segmentnr	original	analyzed	translated
['BO_K01_D0007B-2_H0008-2:137a-6']	de la the tshom du ma byed cig /	de la the tshom du ma byed cig /	Do not doubt this.
['BO_K01_D0007B-2_H0008-2:137a-7', 'BO_K01_D0007B-2_H0008-2:137a-8']	ces bya ba'i bar du snga ma bzhin no //🔽gleng gzhi'i sgo gnyis pa'i mdo'i tshigs su bcad pa drug pa'o ////	ces bya ba'i bar du snga ma bzhin no // gleng gzhi'i sgo gnyis pa'i mdo'i tshigs su bcad pa drug pa'o ////	The rest is as before.🔽This is the sixth chapter, on the nidāna, of the Abhidharma.
['BO_K01_D0007B-2_H0008-2:137a-9']	'dul ba gzhung dam pa /	'dul ba gzhung dam pa /	The Vinaya, the Holy Scriptures
['BO_K01_D0007B-2_H0008-2:137a-10']	bam po so gsum pa /	bam po so gsum pa /	Volume Thirty-Three
['BO_K01_D0007B-2_H0008-2:137a-11']	btsun pa / bcom ldan 'das kyis tshul khrims nyams pa'i dge slong skrod cig ces gsungs na /	btsun pa / bcom ldan 'das kyis tshul khrims nyams pa'i dge slong skrod cig ces gsungs na /	“Reverend, the Blessed One has said, ‘Expel the monk who has broken the precepts.’
['BO_K01_D0007B-2_H0008-2:137a-12']	sus bskrad par bgyi /	sus bskrad par bgyi /	Who should expel him?”
['BO_K01_D0007B-2_H0008-2:137a-13']	de ni / dge 'dun gyis bskrad par bya'o //	de ni / dge 'dun gyis bskrad par bya'o //	“The Saṅgha should expel him.”
['BO_K01_D0007B-2_H0008-2:137a-14']	de'i yo byad las kha cig gis ni /	de'i yo byad las kha cig gis ni /	“Some of his belongings
['BO_K01_D0007B-2_H0008-2:137a-15']	lhung bzed dang / chos gos khyer /	lhung bzed dang / chos gos khyer /	should be taken by those who carry the alms bowl and Dharma robes.
['BO_K01_D0007B-2_H0008-2:137a-16']	kha cig gis ni /	kha cig gis ni /	Some🔽should be taken by those who carry the water filter.
['BO_K01_D0007B-2_H0008-2:137a-17']	par bur gyi snod dag khyer te phyi rol tu phyung la 'or cig /	par bur gyi snod dag khyer te phyi rol tu phyung la 'or cig /	They should be taken outside and left there.
['BO_K01_D0007B-2_H0008-2:137a-18']	de ste ka ba la 'jus na /	de ste ka ba la 'jus na /	If he clings to a pillar,
['BO_K01_D0007B-2_H0008-2:137a-19']	ka ba chod cig /	ka ba chod cig /	the pillar should be cut down.
['BO_K01_D0007B-2_H0008-2:137a-20']	sgo skyes la 'jus na /	sgo skyes la 'jus na /	If he clings to the door bolt,
['BO_K01_D0007B-2_H0008-2:137a-21']	sgo skyes kyang phyung la /	sgo skyes kyang phyung la /	the door bolt should be pulled out.
['BO_K01_D0007B-2_H0008-2:137a-22']	de la ngo ldog mi phod par ma byed cig /	de la ngo ldog mi phod par ma byed cig /	But you should not let him get the better of you.”
['BO_K01_D0007B-2_H0008-2:137a-23']	slar sus bcos par bgyi /	slar sus bcos par bgyi /	“Who should restore him?”
['BO_K01_D0007B-2_H0008-2:137a-24']	dge 'dun gyis so //	dge 'dun gyis so //	“The Saṅgha.”
['BO_K01_D0007B-2_H0008-2:137a-25']	'chos pa'i yo byad su las dgug /	'chos pa'i yo byad su las dgug /	“From whom should the Saṅgha obtain the requisites for the restoration?”
['BO_K01_D0007B-2_H0008-2:137a-26']	yon bdag la bskul lo //	yon bdag la bskul lo //	He should exhort the patrons.
['BO_K01_D0007B-2_H0008-2:137a-27']	des kyang ma 'byor na /	des kyang ma 'byor na /	If they are unable to do so,
['BO_K01_D0007B-2_H0008-2:137a-28']	dge 'dun thams cad kyi nor gyis slar bcos par bya ste /	dge 'dun thams cad kyi nor gyis slar bcos par bya ste /	he should restore it with the wealth of the whole community.
['BO_K01_D0007B-2_H0008-2:137a-29']	de la the tshom du ma byed cig /	de la the tshom du ma byed cig /	He should not hesitate to do that.
['BO_K01_D0007B-2_H0008-2:137b-0']	tshul khrims nyams pa'i dge slong @137b la ji ltar dge slong ma dang / dge slob ma dang / dge tshul pha dang / dge tshul ma dag kyang de bzhin no //	tshul khrims nyams pa'i dge slong @137b la ji ltar dge slong ma dang / dge slob ma dang / dge tshul pha dang / dge tshul ma dag kyang de bzhin no //	Just as with a monk whose morality is impaired, so it is with a nun, a trainee nun, a novice monk, and a novice nun.
['BO_K01_D0007B-2_H0008-2:137b-1', 'BO_K01_D0007B-2_H0008-2:137b-2']	btsun pa / bcom ldan 'das kyis khyim pa la smod par byed pa'i dge slong de la slar bsdum pa'i las byos shig /🔽ces gsungs na /	btsun pa / bcom ldan 'das kyis khyim pa la smod par byed pa'i dge slong de la slar bsdum pa'i las byos shig / ces gsungs na /	“Reverend, the Blessed One has said, ‘Do the act of reconciliation with that monk who disparages householders.’
['BO_K01_D0007B-2_H0008-2:137b-3']	btsun pa / de ste dge slong mas kyang khyim pa la smad par gyur na /	btsun pa / de ste dge slong mas kyang khyim pa la smad par gyur na /	Reverend, if a nun disparages householders,
['BO_K01_D0007B-2_H0008-2:137b-4']	de la yang slar bsdum pa'i las bgyi'am /	de la yang slar bsdum pa'i las bgyi'am /	should she also do the act of reconciliation?”
['BO_K01_D0007B-2_H0008-2:137b-5']	au pa li /	au pa li /	“Upāli,
['BO_K01_D0007B-2_H0008-2:137b-6']	de la yang slar bsdum pa'i las byed du chug cig /	de la yang slar bsdum pa'i las byed du chug cig /	she should also do the act of reconciliation.
['BO_K01_D0007B-2_H0008-2:137b-7']	dge slob ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin no //	dge slob ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin no //	So it is with a trainee nun, a novice monk, and a novice nun.”
['BO_K01_D0007B-2_H0008-2:137b-8']	btsun pa / bcom ldan 'das kyis dge slong gis khyim pa la smod na /	btsun pa / bcom ldan 'das kyis dge slong gis khyim pa la smod na /	“Lord, the Blessed One has said that if a monk disparages a layperson,
['BO_K01_D0007B-2_H0008-2:137b-9', 'BO_K01_D0007B-2_H0008-2:137b-10']	slar bsdum pa'i las byed du chug cig /🔽ces gsungs na /	slar bsdum pa'i las byed du chug cig / ces gsungs na /	he should be made to reconcile with him.
['BO_K01_D0007B-2_H0008-2:137b-11']	dge slong gis dge slong la smod na /	dge slong gis dge slong la smod na /	If a monk disparages another monk,
['BO_K01_D0007B-2_H0008-2:137b-12']	de la yang slar bsdum pa'i las bgyi'am /	de la yang slar bsdum pa'i las bgyi'am /	should he also be made to reconcile with him?”
['BO_K01_D0007B-2_H0008-2:137b-13']	au pa li /	au pa li /	“Upāli,
['BO_K01_D0007B-2_H0008-2:137b-14', 'BO_K01_D0007B-2_H0008-2:137b-15', 'BO_K01_D0007B-2_H0008-2:137b-16']	de la yang slar bsdum pa'i las bya'o //🔽dge slong gis dge slong ma dang / dge slob ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin du bya'o //🔽dge slob mas dge slong ma dang / dge slong dang / dge slob ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin du bya'o //	de la yang slar bsdum pa'i las bya'o // dge slong gis dge slong ma dang / dge slob ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin du bya'o // dge slob mas dge slong ma dang / dge slong dang / dge slob ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin du bya'o //	he should also be made to reconcile with him.🔽A monk should also do the same with a nun, a trainee nun, a novice monk, and a novice nun.🔽A trainee nun should also do the same with a nun, a monk, a trainee nun, a novice monk, and a novice nun.
['BO_K01_D0007B-2_H0008-2:137b-17']	dge slob mas dge slob ma dang / dge slong dang / dge slong ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin du bya'o //	dge slob mas dge slob ma dang / dge slong dang / dge slong ma dang / dge tshul pha dang / dge tshul ma la yang de bzhin du bya'o //	A trainee nun should also do the same with a trainee nun, a monk, a nun, a novice monk, and a novice nun.
['BO_K01_D0007B-2_H0008-2:137b-18', 'BO_K01_D0007B-2_H0008-2:138a-0']	dge tshul phas dge tshul pha dang / dge slong dang / dge slong ma dang / dge bsnyen dang / dge slob ma dang / dge tshul ma la yang de bzhin du bya'o //🔽dge tshul mas dge tshul ma dang / dge slong dang / dge slong ma dang / @138a *//	dge tshul phas dge tshul pha dang / dge slong dang / dge slong ma dang / dge bsnyen dang / dge slob ma dang / dge tshul ma la yang de bzhin du bya'o // dge tshul mas dge tshul ma dang / dge slong dang / dge slong ma dang / @138a *//	A novice monk should be treated in the same way by a novice monk, a fully ordained monk, a fully ordained nun, a layman, a female lay practitioner, and a female novice.🔽A female novice should be treated in the same way by a female novice, a fully ordained monk, a fully ordained nun, a female lay practitioner, and a novice monk.
['BO_K01_D0007B-2_H0008-2:138a-1']	dge slob ma dang / dge tshul pha la yang de bzhin du bya'o //	dge slob ma dang / dge tshul pha la yang de bzhin du bya'o //	A female lay practitioner should be treated in the same way by a female lay practitioner, a fully ordained monk, a fully ordained nun, a female novice, and a novice monk.
['BO_K01_D0007B-2_H0008-2:138a-2']	de ltar 'khor lo bzhin rgyas par brjod do //	de ltar 'khor lo bzhin rgyas par brjod do //	Thus, the wheel of offenses is extended.
['BO_K01_D0007B-2_H0008-2:138a-3']	gleng gzhi'i sgo gnyis pa'i mdo'i tshigs su bcad pa bdun pa'o ////	gleng gzhi'i sgo gnyis pa'i mdo'i tshigs su bcad pa bdun pa'o ////	This is the seventh chapter, on the introductory section, of the Monastic Rule.🔽In brief, the novice monks, the reprimands,🔽the five, the less than five, the not staying,
['BO_K01_D0007B-2_H0008-2:138a-4']	mdor na / dge tshul dag dang bsdigs pa dang // lnga las nyung ba mi gnas dang // au pa lis ni ji ltar dris //	mdor na / dge tshul dag dang bsdigs pa dang // lnga las nyung ba mi gnas dang // au pa lis ni ji ltar dris //	and the questions of Upāli,
['BO_K01_D0007B-2_H0008-2:138a-5']	nub mo lnga yang byin pa'o //	nub mo lnga yang byin pa'o //	and the five at night, and the giving.
['BO_K01_D0007B-2_H0008-2:138a-6']	sangs rgyas bcom ldan 'das mnyan du yod pa dze ta'i tshal mgon med zas sbyin gyi kun dga' ra ba na bzhugs so //	sangs rgyas bcom ldan 'das mnyan du yod pa dze ta'i tshal mgon med zas sbyin gyi kun dga' ra ba na bzhugs so //	The Blessed Buddha was staying at Jetavana, Anāthapiṇḍada’s Park near Śrāvastī.
['BO_K01_D0007B-2_H0008-2:138a-7']	sangs rgyas bcom ldan 'das la tshe dang ldan pa au pa lis zhus pa /	sangs rgyas bcom ldan 'das la tshe dang ldan pa au pa lis zhus pa /	The venerable Upāli asked the Buddha, the Blessed One,
['BO_K01_D0007B-2_H0008-2:138a-8']	btsun pa / dge slong gis bsdigs pa'i las bgyis pa'i dge tshul la bsnyen par rdzogs pa bgyis na /	btsun pa / dge slong gis bsdigs pa'i las bgyis pa'i dge tshul la bsnyen par rdzogs pa bgyis na /	“Lord, if a monk gives probation to a novice monk, and then gives him full ordination,🔽is that ordination
['BO_K01_D0007B-2_H0008-2:138a-9', 'BO_K01_D0007B-2_H0008-2:138a-10']	de bsnyen par rdzogs pa zhes bgyi'am /🔽bsnyen par ma rdzogs pa zhes bgyi /	de bsnyen par rdzogs pa zhes bgyi'am / bsnyen par ma rdzogs pa zhes bgyi /	or not?”
['BO_K01_D0007B-2_H0008-2:138a-11']	au pa li /	au pa li /	“Upāli,
['BO_K01_D0007B-2_H0008-2:138a-12', 'BO_K01_D0007B-2_H0008-2:138a-13']	bsnyen par ni /🔽rdzogs mod kyi /	bsnyen par ni / rdzogs mod kyi /	it is ordination,🔽but the one who gives the ordination🔽is guilty of a serious offense.
['BO_K01_D0007B-2_H0008-2:138a-14', 'BO_K01_D0007B-2_H0008-2:138a-15', 'BO_K01_D0007B-2_H0008-2:138a-16']	bsnyen par rdzogs par byed pa ni /🔽'das pa dang bcas pa'o //🔽bzod pa ni /	bsnyen par rdzogs par byed pa ni / 'das pa dang bcas pa'o // bzod pa ni /	The one who gives the ordination
['BO_K01_D0007B-2_H0008-2:138a-17', 'BO_K01_D0007B-2_H0008-2:138a-18', 'BO_K01_D0007B-2_H0008-2:138a-19']	gsol ba zhes bya'o //🔽btsun pa / bcom ldan 'das kyis lo lnga lon la /🔽chos rnam pa lnga dang ldan na /	gsol ba zhes bya'o // btsun pa / bcom ldan 'das kyis lo lnga lon la / chos rnam pa lnga dang ldan na /	is guilty of an offense that must be confessed.
['BO_K01_D0007B-2_H0008-2:138a-20', 'BO_K01_D0007B-2_H0008-2:138a-21']	gnas ma bcas kyang ljongs spyad pa spyod du gnang ngo //🔽zhes gsungs na /	gnas ma bcas kyang ljongs spyad pa spyod du gnang ngo // zhes gsungs na /	“Lord, the Buddha has said, ‘When a monk has five qualities, he may travel through the country without a group and without a formal announcement of his action.🔽’
['BO_K01_D0007B-2_H0008-2:138a-22']	btsun pa / lo bzhi lon la chos rnam pa lnga dang ldan na /	btsun pa / lo bzhi lon la chos rnam pa lnga dang ldan na /	But, Lord, if a monk has four of those qualities and one similar quality,
['BO_K01_D0007B-2_H0008-2:138a-23', 'BO_K01_D0007B-2_H0008-2:138a-24']	de'ang gnas ma bcas par ljongs spyod pa spyod du gnang ngam /🔽au pa li /	de'ang gnas ma bcas par ljongs spyod pa spyod du gnang ngam / au pa li /	may he travel through the country without a group and without a formal announcement of his action?”
['BO_K01_D0007B-2_H0008-2:138a-25']	mi gnang ngo //	mi gnang ngo //	“Upāli, he may not.
['BO_K01_D0007B-2_H0008-2:138a-26']	de ci'i phyir zhe na /	de ci'i phyir zhe na /	And why not?
['BO_K01_D0007B-2_H0008-2:138a-27']	lo lnga ma lon pa mi rung ba'i phyir ro //	lo lnga ma lon pa mi rung ba'i phyir ro //	Because it is not suitable for one who has not completed five years.
['BO_K01_D0007B-2_H0008-2:138a-28']	de ste lo drug gam /	de ste lo drug gam /	If he has completed six years,
['BO_K01_D0007B-2_H0008-2:138b-0']	lo @138b dgu lon la /	lo @138b dgu lon la /	or nine years,
['BO_K01_D0007B-2_H0008-2:138b-1']	de yang chos lnga dang mi ldan na /	de yang chos lnga dang mi ldan na /	but does not possess the five qualities,
['BO_K01_D0007B-2_H0008-2:138b-2']	de gnas ma bcas par ljongs spyad pa spyod du gnang ngam /	de gnas ma bcas par ljongs spyad pa spyod du gnang ngam /	is he permitted to go on a journey without having taken formal possession of his dwelling?
['BO_K01_D0007B-2_H0008-2:138b-3']	au pa li /	au pa li /	“Upāli,
['BO_K01_D0007B-2_H0008-2:138b-4']	mi gnang ngo //	mi gnang ngo //	he is not permitted.
['BO_K01_D0007B-2_H0008-2:138b-5']	de ci'i phyir zhe na /	de ci'i phyir zhe na /	Why is that?
['BO_K01_D0007B-2_H0008-2:138b-6']	chos lnga dang ldan par bya ba'i phyir ro //	chos lnga dang ldan par bya ba'i phyir ro //	Because he should possess the five qualities.
['BO_K01_D0007B-2_H0008-2:138b-7']	btsun pa / dge slong bsnyen par rdzogs nas lo gsum lon la /	btsun pa / dge slong bsnyen par rdzogs nas lo gsum lon la /	Venerable One, if a monk has completed the full ordination for three years,
['BO_K01_D0007B-2_H0008-2:138b-8']	de yang sde snod gsum dang ldan pa /	de yang sde snod gsum dang ldan pa /	and he possesses the three collections,
['BO_K01_D0007B-2_H0008-2:138b-9']	rig pa gsum dang ldan pa /	rig pa gsum dang ldan pa /	possesses the three knowledges,
['BO_K01_D0007B-2_H0008-2:138b-10']	dri ma gsum dang bral na /	dri ma gsum dang bral na /	and is free from the three corruptions,
['BO_K01_D0007B-2_H0008-2:138b-11']	de yang gzhan la gnas bca' bar bgyi'am /	de yang gzhan la gnas bca' bar bgyi'am /	is he permitted to take formal possession of a dwelling for another?
['BO_K01_D0007B-2_H0008-2:138b-12']	au pa li /	au pa li /	“Upāli,
['BO_K01_D0007B-2_H0008-2:138b-13']	de yang de bzhin no //	de yang de bzhin no //	he is permitted.
['BO_K01_D0007B-2_H0008-2:138b-14']	de ci'i phyir zhe na /	de ci'i phyir zhe na /	Why is that?
['BO_K01_D0007B-2_H0008-2:138b-15']	bcas pa'i tshul du bya ba'i phyir ro //	bcas pa'i tshul du bya ba'i phyir ro //	Because it is to be done according to the rules.
['BO_K01_D0007B-2_H0008-2:138b-16']	ji srid du gnas ma bcas pa la rnyed pa stsal bar bgyi /	ji srid du gnas ma bcas pa la rnyed pa stsal bar bgyi /	For how long should a gift be given to one who has not taken formal possession of a dwelling?
['BO_K01_D0007B-2_H0008-2:138b-17']	au pa li /	au pa li /	“Upāli,
['BO_K01_D0007B-2_H0008-2:138b-18']	de mang na yang zhag lnga'i bar du ste /	de mang na yang zhag lnga'i bar du ste /	if it is much, then for five days.
['BO_K01_D0007B-2_H0008-2:138b-19']	yang gnas bca' ba chol zhing sbyor ba ma btang ba'o //	yang gnas bca' ba chol zhing sbyor ba ma btang ba'o //	and the place of residence is not properly arranged, and the application is not given up.
['BO_K01_D0007B-2_H0008-2:138b-20']	gleng gzhi'i sgo gnyis pa'i mdo'i tshigs su bcad pa brgyad pa'o ////	gleng gzhi'i sgo gnyis pa'i mdo'i tshigs su bcad pa brgyad pa'o ////	This is the eighth chapter, on the “Two Gates of the Setting,” in “The Discourse on the Monastic Code.”
['BO_K01_D0007B-2_H0008-2:138b-21']	mdor na / mthun pa dag dang mi mthun pa //	mdor na / mthun pa dag dang mi mthun pa //	In brief, the concordant and the discordant,
['BO_K01_D0007B-2_H0008-2:138b-22']	tshad gzung du yang med pa dang // bcas pa dang ni ma bcas pa //	tshad gzung du yang med pa dang // bcas pa dang ni ma bcas pa //	the immeasurable, the proscribed and the unproscribed,
['BO_K01_D0007B-2_H0008-2:138b-23']	de bzhin ming dang rigs kyang ngo //	de bzhin ming dang rigs kyang ngo //	and likewise the names and the types.
['BO_K01_D0007B-2_H0008-2:138b-24']	sangs rgyas bcom ldan 'das mnyan du yod pa'i tshal mgon med zas sbyin gyi kun dga' ra ba na bzhugs so //	sangs rgyas bcom ldan 'das mnyan du yod pa'i tshal mgon med zas sbyin gyi kun dga' ra ba na bzhugs so //	The Blessed Buddha was staying at Anāthapiṇḍada’s park in Śrāvastī.
['BO_K01_D0007B-2_H0008-2:138b-25', 'BO_K01_D0007B-2_H0008-2:138b-26']	sangs rgyas bcom ldan 'das la tshe dang ldan pa au pa lis zhus pa /🔽btsun pa / nongs pa mthun pa zhes kyang bgyi /	sangs rgyas bcom ldan 'das la tshe dang ldan pa au pa lis zhus pa / btsun pa / nongs pa mthun pa zhes kyang bgyi /	The venerable Upāli asked the Blessed Buddha,
['BO_K01_D0007B-2_H0008-2:138b-27']	mi mthun pa zhes kyang bgyi na btsun pa /	mi mthun pa zhes kyang bgyi na btsun pa /	“Reverend, a downfall is called concordant and also discordant.
['BO_K01_D0007B-2_H0008-2:138b-28']	nongs pa mthun pa gang lags /	nongs pa mthun pa gang lags /	Reverend, what is a concordant downfall?
['BO_K01_D0007B-2_H0008-2:138b-29']	mi mthun pa gang lags /	mi mthun pa gang lags /	What is a discordant downfall?”
['BO_K01_D0007B-2_H0008-2:138b-30', 'BO_K01_D0007B-2_H0008-2:138b-31']	au pa li /🔽phas pham pa rnams ni /	au pa li / phas pham pa rnams ni /	“Upāli,🔽the defeating offenses
['BO_K01_D0007B-2_H0008-2:138b-32']	phas pham par mthun gyi /	phas pham par mthun gyi /	are concordant as defeating offenses,
['BO_K01_D0007B-2_H0008-2:138b-33']	gzhan dang mi mthun pa'o //	gzhan dang mi mthun pa'o //	but not with the other offenses.
['BO_K01_D0007B-2_H0008-2:139a-0']	dge 'dun gyi lhag ma @139a *//	dge 'dun gyi lhag ma @139a *//	The offenses entailing suspension
['BO_K01_D0007B-2_H0008-2:139a-1', 'BO_K01_D0007B-2_H0008-2:139a-2']	ni / dge 'dun gyi lhag mar mthun no //🔽ltung ba ni /	ni / dge 'dun gyi lhag mar mthun no // ltung ba ni /	It is similar to the Saṅgha’s offense of wrong conduct.
['BO_K01_D0007B-2_H0008-2:139a-3', 'BO_K01_D0007B-2_H0008-2:139a-4']	ltung bar mthun no //🔽so sor bshags pa ni /	ltung bar mthun no // so sor bshags pa ni /	The offense is similar to the offense.
