segmentnr	original	analyzed	translated
['BO_K02_D0008-9_H0009-9:326b-0']	bsam gtan gang dang gang la snyoms par 'jug pa de thams cad bla na med pa yang dag par @326b rdzogs pa'i byang chub tu yongs su sngos shig /	bsam gtan gang dang gang la snyoms par 'jug pa de thams cad bla na med pa yang dag par @326b rdzogs pa'i byang chub tu yongs su sngos shig /	You should dedicate all your meditative concentrations to unsurpassed, perfect, complete awakening.
['BO_K02_D0008-9_H0009-9:326b-1']	tshur rigs kyi bu /	tshur rigs kyi bu /	Son of a good family,
['BO_K02_D0008-9_H0009-9:326b-2']	shes rab gang dang gang sgom pa de thams cad bla na med pa yang dag par rdzogs pa'i byang chub tu yongs su sngos shig /	shes rab gang dang gang sgom pa de thams cad bla na med pa yang dag par rdzogs pa'i byang chub tu yongs su sngos shig /	you should dedicate all your cultivation of wisdom to unsurpassed, perfect, complete awakening.
['BO_K02_D0008-9_H0009-9:326b-3']	rigs kyi bu /	rigs kyi bu /	Son of a good family,
['BO_K02_D0008-9_H0009-9:326b-4', 'BO_K02_D0008-9_H0009-9:326b-5']	khyod bla na med pa yang dag par rdzogs pa'i byang chub gzugs su rtog par ma byed cig /🔽tshor bar rtog par ma byed cig /	khyod bla na med pa yang dag par rdzogs pa'i byang chub gzugs su rtog par ma byed cig / tshor bar rtog par ma byed cig /	you should not imagine unsurpassed, perfect, complete awakening as form.🔽You should not imagine it as feeling.
['BO_K02_D0008-9_H0009-9:326b-6']	'du shes su rtog par ma byed cig /	'du shes su rtog par ma byed cig /	You should not imagine it as apperception.
['BO_K02_D0008-9_H0009-9:326b-7']	'du byed du rtog par ma byed cig /	'du byed du rtog par ma byed cig /	You should not imagine it as volitional dispositions.
['BO_K02_D0008-9_H0009-9:326b-8', 'BO_K02_D0008-9_H0009-9:326b-9']	rnam par shes par rtog par ma byed cig /🔽mig tu rtog par ma byed cig /	rnam par shes par rtog par ma byed cig / mig tu rtog par ma byed cig /	You should not imagine it as consciousness.🔽You should not imagine it as the eyes.
['BO_K02_D0008-9_H0009-9:326b-10', 'BO_K02_D0008-9_H0009-9:326b-11']	rna bar rtog par ma byed cig /🔽snar rtog par ma byed cig /	rna bar rtog par ma byed cig / snar rtog par ma byed cig /	You should not imagine it as the ears.🔽You should not imagine it as the nose.
['BO_K02_D0008-9_H0009-9:326b-12']	lcer rtog par ma byed cig /	lcer rtog par ma byed cig /	You should not imagine it as the tongue.
['BO_K02_D0008-9_H0009-9:326b-13']	lus su rtog par ma byed cig /	lus su rtog par ma byed cig /	You should not imagine it as the body.
['BO_K02_D0008-9_H0009-9:326b-14']	yid du rtog par ma byed cig /	yid du rtog par ma byed cig /	You should not imagine it as the mind.
['BO_K02_D0008-9_H0009-9:326b-15']	gzugs su rtog par ma byed cig /	gzugs su rtog par ma byed cig /	Do not conceive of form.
['BO_K02_D0008-9_H0009-9:326b-16', 'BO_K02_D0008-9_H0009-9:326b-17', 'BO_K02_D0008-9_H0009-9:326b-18']	sgrar rtog par ma byed cig /🔽drir rtog par ma byed cig /🔽ror rtog par ma byed cig /	sgrar rtog par ma byed cig / drir rtog par ma byed cig / ror rtog par ma byed cig /	Do not conceive of sound.🔽Do not conceive of smell.🔽Do not conceive of taste.
['BO_K02_D0008-9_H0009-9:326b-19']	reg tu rtog par ma byed cig /	reg tu rtog par ma byed cig /	Do not conceive of touch.
['BO_K02_D0008-9_H0009-9:326b-20']	chos su rtog par ma byed cig /	chos su rtog par ma byed cig /	Do not conceive of mental objects.
['BO_K02_D0008-9_H0009-9:326b-21']	mig gi rnam par shes par rtog par ma byed cig /	mig gi rnam par shes par rtog par ma byed cig /	Do not conceive of eye consciousness.
['BO_K02_D0008-9_H0009-9:326b-22', 'BO_K02_D0008-9_H0009-9:326b-23']	rna ba'i rnam par shes par rtog par ma byed cig /🔽sna'i rnam par shes par rtog par ma byed cig /	rna ba'i rnam par shes par rtog par ma byed cig / sna'i rnam par shes par rtog par ma byed cig /	Do not conceive of ear consciousness.🔽Do not conceive of nose consciousness.
['BO_K02_D0008-9_H0009-9:326b-24']	lce'i rnam par shes par rtog par ma byed cig /	lce'i rnam par shes par rtog par ma byed cig /	Do not conceive of tongue consciousness.
['BO_K02_D0008-9_H0009-9:326b-25']	lus kyi rnam par shes par rtog par ma byed cig /	lus kyi rnam par shes par rtog par ma byed cig /	Do not conceive of body consciousness.
['BO_K02_D0008-9_H0009-9:326b-26']	yid kyi rnam par shes par rtog par ma byed cig /	yid kyi rnam par shes par rtog par ma byed cig /	Do not conceive of mental consciousness.
['BO_K02_D0008-9_H0009-9:326b-27']	mig gi 'dus te reg par rtog par ma byed cig /	mig gi 'dus te reg par rtog par ma byed cig /	Do not conceive of eye contact.
['BO_K02_D0008-9_H0009-9:326b-28', 'BO_K02_D0008-9_H0009-9:326b-29']	rna ba'i 'dus te  par rtog par ma byed cig /🔽sna'i 'dus te reg par rtog par ma byed cig /	rna ba'i 'dus te  par rtog par ma byed cig / sna'i 'dus te reg par rtog par ma byed cig /	Do not conceive of ear contact.🔽Do not conceive of nose contact.
['BO_K02_D0008-9_H0009-9:326b-30']	lce'i 'dus te reg par rtog par ma byed cig /	lce'i 'dus te reg par rtog par ma byed cig /	Do not conceive of tongue contact.
['BO_K02_D0008-9_H0009-9:326b-31']	lus kyi 'dus te reg par rtog par ma byed cig /	lus kyi 'dus te reg par rtog par ma byed cig /	Do not conceive of body contact.
['BO_K02_D0008-9_H0009-9:327a-0']	yid kyi 'dus te @327a *//	yid kyi 'dus te @327a *//	The mind is the basis for the arising of the mental afflictions.🔽
['BO_K02_D0008-9_H0009-9:327a-1']	reg par rtog par ma byed cig /	reg par rtog par ma byed cig /	Do not conceptualize mental contact.
['BO_K02_D0008-9_H0009-9:327a-2', 'BO_K02_D0008-9_H0009-9:327a-3', 'BO_K02_D0008-9_H0009-9:327a-4']	mig gi 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /🔽rna ba'i 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /🔽sna'i 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /	mig gi 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig / rna ba'i 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig / sna'i 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /	Do not conceptualize the feeling that arises from the condition of eye contact.🔽Do not conceptualize the feeling that arises from the condition of ear contact.🔽Do not conceptualize the feeling that arises from the condition of nose contact.
['BO_K02_D0008-9_H0009-9:327a-5']	lce'i 'dus te reg pa'i rkyen gyis tshor bar rtog bar ma byed cig /	lce'i 'dus te reg pa'i rkyen gyis tshor bar rtog bar ma byed cig /	Do not conceptualize the feeling that arises from the condition of tongue contact.
['BO_K02_D0008-9_H0009-9:327a-6']	lus kyi 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /	lus kyi 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /	Do not conceptualize the feeling that arises from the condition of body contact.
['BO_K02_D0008-9_H0009-9:327a-7']	yid kyi 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /	yid kyi 'dus te reg pa'i rkyen gyis tshor bar rtog par ma byed cig /	Do not conceptualize the feeling that arises from the condition of mental contact.
['BO_K02_D0008-9_H0009-9:327a-8', 'BO_K02_D0008-9_H0009-9:327a-9']	rigs kyi bu /🔽khyod bla na med pa yang dag par rdzogs pa'i byang chub sa'i khams su rtog par ma byed cig /	rigs kyi bu / khyod bla na med pa yang dag par rdzogs pa'i byang chub sa'i khams su rtog par ma byed cig /	Son of noble family,🔽do not conceptualize the earth element as unsurpassed, perfect, complete awakening.
['BO_K02_D0008-9_H0009-9:327a-10']	chu'i khams su rtog par ma byed cig /	chu'i khams su rtog par ma byed cig /	Do not conceptualize the water element as unsurpassed, perfect, complete awakening.
['BO_K02_D0008-9_H0009-9:327a-11']	me'i khams su rtog par ma byed cig /	me'i khams su rtog par ma byed cig /	Do not conceptualize the fire element as unsurpassed, perfect, complete awakening.
['BO_K02_D0008-9_H0009-9:327a-12']	rlung gi khams su rtog par ma byed cig /	rlung gi khams su rtog par ma byed cig /	Do not conceptualize the wind element as unsurpassed, perfect, complete awakening.
['BO_K02_D0008-9_H0009-9:327a-13', 'BO_K02_D0008-9_H0009-9:327a-14']	nam mkha'i khams su rtog par ma byed cig /🔽rnam par shes pa'i khams su rtog par ma byed cig /	nam mkha'i khams su rtog par ma byed cig / rnam par shes pa'i khams su rtog par ma byed cig /	Do not conceptualize the space element.🔽Do not conceptualize the consciousness element.
['BO_K02_D0008-9_H0009-9:327a-15']	ma rig par rtog par ma byed cig /	ma rig par rtog par ma byed cig /	Do not conceptualize ignorance.
['BO_K02_D0008-9_H0009-9:327a-16']	'du byed du rtog par ma byed cig /	'du byed du rtog par ma byed cig /	Do not conceptualize volitional factors.
['BO_K02_D0008-9_H0009-9:327a-17']	rnam par shes par rtog par ma byed cig /	rnam par shes par rtog par ma byed cig /	Do not conceptualize consciousness.
['BO_K02_D0008-9_H0009-9:327a-18']	ming dang gzugs su rtog par ma byed cig /	ming dang gzugs su rtog par ma byed cig /	Do not conceptualize name and form.
['BO_K02_D0008-9_H0009-9:327a-19']	skye mched drug tu rtog par ma byed cig /	skye mched drug tu rtog par ma byed cig /	Do not conceptualize the six sense fields.
['BO_K02_D0008-9_H0009-9:327a-20']	reg par rtog par ma byed cig /	reg par rtog par ma byed cig /	Do not conceptualize contact.
['BO_K02_D0008-9_H0009-9:327a-21', 'BO_K02_D0008-9_H0009-9:327a-22']	tshor bar rtog par ma byed cig /🔽sred par rtog par ma byed cig /	tshor bar rtog par ma byed cig / sred par rtog par ma byed cig /	Do not conceptualize feeling.🔽Do not conceptualize craving.
['BO_K02_D0008-9_H0009-9:327a-23', 'BO_K02_D0008-9_H0009-9:327a-24']	len par rtog par ma byed cig /🔽srid par rtog par ma byed cig /	len par rtog par ma byed cig / srid par rtog par ma byed cig /	Do not conceptualize grasping.🔽Do not conceptualize becoming.
['BO_K02_D0008-9_H0009-9:327a-25']	skye bar rtog par ma byed cig /	skye bar rtog par ma byed cig /	Do not conceptualize birth.
['BO_K02_D0008-9_H0009-9:327a-26']	rga shir rtog par ma byed cig /	rga shir rtog par ma byed cig /	Do not conceptualize old age and death.
['BO_K02_D0008-9_H0009-9:327a-27']	rigs kyi bu /	rigs kyi bu /	Son of noble family,
['BO_K02_D0008-9_H0009-9:327b-0']	khyod bla na med pa yang dag par rdzogs @327b pa'i byang chub sbyin pa'i pha rol tu phyin par rtog par ma byed cig /	khyod bla na med pa yang dag par rdzogs @327b pa'i byang chub sbyin pa'i pha rol tu phyin par rtog par ma byed cig /	do not conceptualize unsurpassed, perfect, complete awakening as the perfection of generosity.
['BO_K02_D0008-9_H0009-9:327b-1']	tshul khrims kyi pha rol tu phyin par rtog par ma byed cig /	tshul khrims kyi pha rol tu phyin par rtog par ma byed cig /	Do not conceptualize it as the perfection of moral discipline.
['BO_K02_D0008-9_H0009-9:327b-2']	bzod pa'i pha rol tu phyin par rtog par ma byed cig /	bzod pa'i pha rol tu phyin par rtog par ma byed cig /	Do not conceptualize the perfection of patience.
['BO_K02_D0008-9_H0009-9:327b-3']	brtson 'grus kyi pha rol tu phyin par rtog par ma byed cig /	brtson 'grus kyi pha rol tu phyin par rtog par ma byed cig /	Do not conceptualize the perfection of perseverance.
['BO_K02_D0008-9_H0009-9:327b-4']	bsam gtan gyi pha rol tu phyin par rtog par ma byed cig /	bsam gtan gyi pha rol tu phyin par rtog par ma byed cig /	Do not conceptualize the perfection of concentration.
['BO_K02_D0008-9_H0009-9:327b-5']	shes rab kyi pha rol tu phyin par rtog par ma byed cig /	shes rab kyi pha rol tu phyin par rtog par ma byed cig /	Do not conceptualize the perfection of wisdom.
['BO_K02_D0008-9_H0009-9:327b-6']	rigs kyi bu /	rigs kyi bu /	Son of a good family,
['BO_K02_D0008-9_H0009-9:327b-7']	khyod bla na med pa yang dag par rdzogs pa'i byang chub nang stong pa nyid du rtog par ma byed cig /	khyod bla na med pa yang dag par rdzogs pa'i byang chub nang stong pa nyid du rtog par ma byed cig /	do not conceptualize unsurpassed, perfect, complete awakening as the emptiness of inner phenomena.
['BO_K02_D0008-9_H0009-9:327b-8']	phyi stong pa nyid du rtog par ma byed cig /	phyi stong pa nyid du rtog par ma byed cig /	Do not conceptualize it as the emptiness of outer phenomena.
['BO_K02_D0008-9_H0009-9:327b-9']	phyi nang stong pa nyid du rtog par ma byed cig /	phyi nang stong pa nyid du rtog par ma byed cig /	Do not conceptualize it as the emptiness of outer and inner phenomena.
['BO_K02_D0008-9_H0009-9:327b-10']	stong pa nyid stong pa nyid du rtog par ma byed cig /	stong pa nyid stong pa nyid du rtog par ma byed cig /	Do not conceptualize it as the emptiness of emptiness.
['BO_K02_D0008-9_H0009-9:327b-11']	chen po stong pa nyid du rtog par ma byed cig /	chen po stong pa nyid du rtog par ma byed cig /	Do not conceptualize it as the emptiness of great extent.
['BO_K02_D0008-9_H0009-9:327b-12', 'BO_K02_D0008-9_H0009-9:327b-13']	don dam pa stong pa nyid du rtog par ma byed cig /🔽'dus byas stong pa nyid du rtog par ma byed cig /	don dam pa stong pa nyid du rtog par ma byed cig / 'dus byas stong pa nyid du rtog par ma byed cig /	Do not conceptualize it as the emptiness of ultimate reality.🔽Do not conceptualize it as the emptiness of conditioned phenomena.
