segmentnr	original	analyzed	folio	translated
['BO_K09_D0044-5_H0094-5:334b-14']	chos kyi legs pa dang / dge 'dun gyi legs pa dang / dge ba'i bshes gnyen gyi legs pa'ang brjod do //	chos kyi legs pa dang / dge 'dun gyi legs pa dang / dge ba'i bshes gnyen gyi legs pa'ang brjod do //	334b	I also praise the excellence of the Dharma and the excellence of the Saṅgha.
['BO_K09_D0044-5_H0094-5:334b-15', 'BO_K09_D0044-5_H0094-5:334b-16']	dge ba'i bshes gnyen gyi drung du 'gro ba la'ang bsngags pa byed do //🔽rigs kyi bu /	dge ba'i bshes gnyen gyi drung du 'gro ba la'ang bsngags pa byed do // rigs kyi bu /	334b	I also praise the spiritual benefactors.
['BO_K09_D0044-5_H0094-5:334b-17']	kho mo rnam par thar pa 'di la sgom zhing /	kho mo rnam par thar pa 'di la sgom zhing /	334b	“Noble one, I contemplate this liberation and,
['BO_K09_D0044-5_H0094-5:334b-18', 'BO_K09_D0044-5_H0094-5:335a-0']	sems can rnams kyi chos ma yin pa'i 'dod chags kyi zhen pa rnams kyi chos ma yin pa'i 'dod chags kyi yongs su rtog pa rnams kyang med par byed do //🔽tshul ma yin pa'i 'dod pas non pa rnams dang / log par yongs su @335a *//	sems can rnams kyi chos ma yin pa'i 'dod chags kyi zhen pa rnams kyi chos ma yin pa'i 'dod chags kyi yongs su rtog pa rnams kyang med par byed do // tshul ma yin pa'i 'dod pas non pa rnams dang / log par yongs su @335a *//	334b	in order to eliminate the unrighteous, passionate attachments of beings, I eliminate their unrighteous, passionate thoughts.
['BO_K09_D0044-5_H0094-5:335a-1']	rtog pa'i spyod yul can rnams kyi yongs su rtog pa de dag dang / yid la bya ba de dag kyang med par byed do //	rtog pa'i spyod yul can rnams kyi yongs su rtog pa de dag dang / yid la bya ba de dag kyang med par byed do //	335a	I eliminate the thoughts and mental activity of those who are overcome by unrighteous desires and who have a domain of wrong thoughts.🔽“Noble one, I know only this Dharma of the elimination of the thoughts and mental activity of beings who are overcome by unrighteous desires.
['BO_K09_D0044-5_H0094-5:335a-2']	sdig to mi dge ba'i chos ma skyes pa rnams mi skye ba dang / sdig to'i yongs su rtog pa skyes par gyur pa rnams kyang med par 'gyur ba'i rkyen nye bar bsgrub bo //	sdig to mi dge ba'i chos ma skyes pa rnams mi skye ba dang / sdig to'i yongs su rtog pa skyes par gyur pa rnams kyang med par 'gyur ba'i rkyen nye bar bsgrub bo //	335a	I will establish the conditions for the non-arising of unwholesome, non-virtuous thoughts that have not yet arisen, and for the cessation of those that have arisen.
['BO_K09_D0044-5_H0094-5:335a-3']	dge ba'i yongs su rtog pa'i pha rol tu phyin pa dang ldan pa dang / spyod pa dang ldan pa dang / thams cad mkhyen pa'i ye shes su 'byung ba'i smon lam mngon par bsgrub pa dang ldan pa dang / byams pa'i tshul dang ldan pa dang /	dge ba'i yongs su rtog pa'i pha rol tu phyin pa dang ldan pa dang / spyod pa dang ldan pa dang / thams cad mkhyen pa'i ye shes su 'byung ba'i smon lam mngon par bsgrub pa dang ldan pa dang / byams pa'i tshul dang ldan pa dang /	335a	I will generate wholesome thoughts that are endowed with the perfections, that are endowed with conduct, that are endowed with the accomplishment of aspirations that lead to the wisdom of omniscience, that are endowed with the way of love,
['BO_K09_D0044-5_H0094-5:335a-4']	sems can rnams la snying rje chen pos rgyas par 'gengs pa dang ldan pa dang / lha dang mi'i bde ba'i rnam pa sna tshogs yongs su bskyed pa dang ldan pa'i yongs su rtogs pa bskyed pa dang / skyes nas kyang tshul sna tshogs kyi rkyen nye bar sgrub pa byed pa nas /	sems can rnams la snying rje chen pos rgyas par 'gengs pa dang ldan pa dang / lha dang mi'i bde ba'i rnam pa sna tshogs yongs su bskyed pa dang ldan pa'i yongs su rtogs pa bskyed pa dang / skyes nas kyang tshul sna tshogs kyi rkyen nye bar sgrub pa byed pa nas /	335a	that are filled with great compassion for sentient beings, that generate various kinds of happiness for gods and humans, and having generated them, I will establish the conditions for various ways of conduct.
['BO_K09_D0044-5_H0094-5:335a-5', 'BO_K09_D0044-5_H0094-5:335a-6']	thams cad mkhyen pa nyid dang mthun pa'i rkyen kyang nye bar sgrub pa byed de /🔽rigs kyi bu /	thams cad mkhyen pa nyid dang mthun pa'i rkyen kyang nye bar sgrub pa byed de / rigs kyi bu /	335a	I also provide the conditions that are in harmony with omniscience.
['BO_K09_D0044-5_H0094-5:335a-7']	kho mos byang chub sems dpa'i rnam par thar pa bsam gtan zhi ba'i bde bas kun tu rnam par gnon pa 'di shes par zad na /	kho mos byang chub sems dpa'i rnam par thar pa bsam gtan zhi ba'i bde bas kun tu rnam par gnon pa 'di shes par zad na /	335a	Noble one, I know only this bodhisattva liberation called the conquest through the bliss of the happiness of meditation.
