segmentnr	original	analyzed	folio	translated
['BO_K10_D0116_H0119:314b-0']	@314b / /rgya gar skad du /	@314b / /rgya gar skad du /	314b	In Sanskrit:
['BO_K10_D0116_H0119:314b-1']	a'arya ka randa by'u ha n'a ma mh'a y'a na s'u tra /	a'arya ka randa by'u ha n'a ma mh'a y'a na s'u tra /	314b	Arya-Karandavyūha-Mahāyāna-Sūtra
['BO_K10_D0116_H0119:314b-2']	bod skad du /	bod skad du /	314b	In Tibetan:
['BO_K10_D0116_H0119:314b-3']	'phags pa za ma tog bkod pa zhes bya ba theg pa chen po'i mdo /	'phags pa za ma tog bkod pa zhes bya ba theg pa chen po'i mdo /	314b	The Noble Great Vehicle Sūtra called The Array of the Basket
['BO_K10_D0116_H0119:314b-4']	bam po dang po /	bam po dang po /	314b	Part One
['BO_K10_D0116_H0119:314b-5']	'di skad bdag gis thos pa dus gcig na /	'di skad bdag gis thos pa dus gcig na /	314b	Thus have I heard. At one time,
['BO_K10_D0116_H0119:314b-6']	bcom ldan 'das mnyan du yod pa'i dze ta'i tshal mgon med pa la zas sbyin pa'i kun dga' ra ba na dge slong brgya phrag phyed dang bcu gsum gyi dge slong gi dge 'dun chen po dang / byang chub sems dpa' sems dpa' chen po rab tu mang po rnams dang yang thabs gcig pa la 'di lta ste /	bcom ldan 'das mnyan du yod pa'i dze ta'i tshal mgon med pa la zas sbyin pa'i kun dga' ra ba na dge slong brgya phrag phyed dang bcu gsum gyi dge slong gi dge 'dun chen po dang / byang chub sems dpa' sems dpa' chen po rab tu mang po rnams dang yang thabs gcig pa la 'di lta ste /	314b	the Blessed One was dwelling in the Jeta Grove, in Anāthapiṇḍada's park near Śrāvastī, together with a great saṅgha of 1,250 monks and a multitude of bodhisattva mahāsattvas, namely:
['BO_K10_D0116_H0119:314b-7', 'BO_K10_D0116_H0119:315a-0']	byang chub sems dpa' sems dpa' chen po rdo rje blo gros dang / byang chub sems dpa' sems dpa' chen po ye shes mthong ba dang / byang chub sems dpa' sems dpa' chen po rdo rje'i sde dang / byang chub sems dpa' sems dpa' chen po gsang sbed dang /🔽byang chub sems dpa' sems dpa' chen po nam mkha'i snying po dang / byang chub sems dpa' sems dpa' chen po nyi ma'i snying po dang / byang chub sems dpa' sems @315a *//	byang chub sems dpa' sems dpa' chen po rdo rje blo gros dang / byang chub sems dpa' sems dpa' chen po ye shes mthong ba dang / byang chub sems dpa' sems dpa' chen po rdo rje'i sde dang / byang chub sems dpa' sems dpa' chen po gsang sbed dang / byang chub sems dpa' sems dpa' chen po nam mkha'i snying po dang / byang chub sems dpa' sems dpa' chen po nyi ma'i snying po dang / byang chub sems dpa' sems @315a *//	314b	the bodhisattva mahāsattva Vajramati, the bodhisattva mahāsattva Jñānadṛṣṭi, the bodhisattva mahāsattva Vajra­senā, the bodhisattva mahāsattva Guhagupta,
['BO_K10_D0116_H0119:315a-1']	dpa' chen po brtson 'grus mi gtong ba dang / byang chub sems dpa' sems dpa' chen po lag na rin po che dang / byang chub sems dpa' sems dpa' chen po kun tu bzang po dang / byang chub sems dpa' sems dpa' chen po mthu chen thob dang /	dpa' chen po brtson 'grus mi gtong ba dang / byang chub sems dpa' sems dpa' chen po lag na rin po che dang / byang chub sems dpa' sems dpa' chen po kun tu bzang po dang / byang chub sems dpa' sems dpa' chen po mthu chen thob dang /	315a	the bodhisattva mahāsattva Ākāśagarbha, the bodhisattva mahāsattva Sūryagarbha, the bodhisattva mahāsattva Aninditā, the bodhisattva mahāsattva Anantabuddhi, the bodhisattva mahāsattva Ananta­prabhāsa, the bodhisattva mahāsattva Ananta­prabha, the bodhisattva mahāsattva Ananta­vikrāmin, the bodhisattva mahāsattva Ananta­vīrya, the bodhisattva mahāsattva Ananta­cārin, the bodhisattva mahāsattva Ananta­cāritra, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ, the bodhisattva mahāsattva Ananta­cāriṇ,
['BO_K10_D0116_H0119:315a-2']	byang chub sems dpa' sems dpa' chen po sgrib pa thams cad rnam par sel ba dang / byang chub sems dpa' sems dpa' chen po kun tu dpa' ba dang / byang chub sems dpa' sems dpa' chen po sman gyi sde dang / byang chub sems dpa' sems dpa' chen po spyan ras gzigs kyi dbang po dang /	byang chub sems dpa' sems dpa' chen po sgrib pa thams cad rnam par sel ba dang / byang chub sems dpa' sems dpa' chen po kun tu dpa' ba dang / byang chub sems dpa' sems dpa' chen po sman gyi sde dang / byang chub sems dpa' sems dpa' chen po spyan ras gzigs kyi dbang po dang /	315a	the bodhisattva mahāsattva Sarva­nīvaraṇa­viṣkam­bhin, the bodhisattva mahāsattva Samantaprabha, the bodhisattva mahāsattva Bhaiṣajyarāja, the bodhisattva mahāsattva Avalokiteśvara,
