segmentnr	original	analyzed	translated
['BO_K10_D0220_H0221:47b-3']	gnod sems skyed /	gnod sems skyed /	they will give rise to malice;
['BO_K10_D0220_H0221:47b-4']	slar gnod par byed /	slar gnod par byed /	they will harm others;🔽they will be discouraged;
['BO_K10_D0220_H0221:47b-5']	yongs su yi chad par byed; zhum zhum por gyur cing khro ba dang / skyon rab tu ston par byed do //	yongs su yi chad par byed; zhum zhum por gyur cing khro ba dang / skyon rab tu ston par byed do //	they will be depressed and angry, and they will display their faults.
['BO_K10_D0220_H0221:47b-6', 'BO_K10_D0220_H0221:47b-7']	de sangs rgyas la mi snyan pa brjod /🔽chos la smod /	de sangs rgyas la mi snyan pa brjod / chos la smod /	They will speak unpleasantly about the Buddha;🔽they will disparage the Dharma;
['BO_K10_D0220_H0221:47b-8']	dge 'dun la skur pa 'debs par byed do; ;sh'a ri'i bu /	dge 'dun la skur pa 'debs par byed do; ;sh'a ri'i bu /	and they will denigrate the Saṅgha.
['BO_K10_D0220_H0221:47b-9', 'BO_K10_D0220_H0221:47b-10']	zab mo dmigs su med pa don dam pa stong pa sangs rgyas kyi byang chub la ma mos pa'i dge slong ji snyed pa dag gis de bzhin gshegs pas gsungs pa'i mdo sde 'di lta bu 'di thos na /🔽'di ni / sangs rgyas kyi gsungs pa ma yin no;/	zab mo dmigs su med pa don dam pa stong pa sangs rgyas kyi byang chub la ma mos pa'i dge slong ji snyed pa dag gis de bzhin gshegs pas gsungs pa'i mdo sde 'di lta bu 'di thos na / 'di ni / sangs rgyas kyi gsungs pa ma yin no;/	Śāriputra, as many monks as there are who have no interest in the profound, unobservable, ultimate emptiness, the awakening of the buddhas, when they hear such sūtras taught by the Thus-Gone One,
['BO_K10_D0220_H0221:47b-11']	zhes smod par byed cing /	zhes smod par byed cing /	they will disparage them, saying, ‘This is not the word of the Buddha.’
['BO_K10_D0220_H0221:47b-12']	de ltar skye bo la 'du shes su byed par 'gyur ro //	de ltar skye bo la 'du shes su byed par 'gyur ro //	They will think of the people in that way.
['BO_K10_D0220_H0221:47b-13', 'BO_K10_D0220_H0221:47b-14']	sh'a ri'i bu; 'di ni /🔽de bzhin gshegs pas chos la smod pa yin no //	sh'a ri'i bu; 'di ni / de bzhin gshegs pas chos la smod pa yin no //	Śāriputra,
['BO_K10_D0220_H0221:47b-15']	zhes gsungs te /	zhes gsungs te /	this is the Thus-Gone One’s denigration of the Dharma.
['BO_K10_D0220_H0221:47b-16']	smod pa gang yin pa ni /	smod pa gang yin pa ni /	Those who disparage it
['BO_K10_D0220_H0221:47b-17']	dge sbyong ma yin /	dge sbyong ma yin /	are not mendicants,
['BO_K10_D0220_H0221:47b-18']	sh'akya'i sras ma yin no //	sh'akya'i sras ma yin no //	and are not sons of the Śākya.
['BO_K10_D0220_H0221:47b-19']	skyes bu gti mug can de ni /	skyes bu gti mug can de ni /	That deluded person
['BO_K10_D0220_H0221:47b-20']	srid pa bye ba phrag brgya stong rnams su chad pa chen po 'thob cing /	srid pa bye ba phrag brgya stong rnams su chad pa chen po 'thob cing /	will receive a great punishment for a hundred thousand times ten million existences.
['BO_K10_D0220_H0221:47b-21']	gnod par byed par 'gyur bas nyams pa'i 'os yin no //	gnod par byed par 'gyur bas nyams pa'i 'os yin no //	He is worthy of being destroyed because he is a harm-doer.
['BO_K10_D0220_H0221:47b-22', 'BO_K10_D0220_H0221:47b-23']	sh'a ri'i bu /🔽yang de lta bu'i dge slong rnams la ni /	sh'a ri'i bu / yang de lta bu'i dge slong rnams la ni /	Śāriputra,
['BO_K10_D0220_H0221:47b-24']	gal te sangs rgyas stong ngam /	gal te sangs rgyas stong ngam /	if a thousand buddhas🔽or a thousand times ten million buddhas
['BO_K10_D0220_H0221:47b-25', 'BO_K10_D0220_H0221:48a-0']	sangs rgyas bye ba brgya phrag stong gis cho 'phrul rnam pa gsum gyi chos bstan kyang /🔽de dag kho na chos @48a *//	sangs rgyas bye ba brgya phrag stong gis cho 'phrul rnam pa gsum gyi chos bstan kyang / de dag kho na chos @48a *//	were to teach the Dharma with the three kinds of miracles🔽to such monks as those,🔽they would not understand the Dharma
['BO_K10_D0220_H0221:48a-1']	kun shes par mi 'gyur zhing 'bras bu thob par mi nus so //	kun shes par mi 'gyur zhing 'bras bu thob par mi nus so //	and would be unable to attain the fruit.
['BO_K10_D0220_H0221:48a-2']	de ci'i phyir zhen /	de ci'i phyir zhen /	Why is that?
['BO_K10_D0220_H0221:48a-3']	'di ltar skyes bu dam pa ma yin pa de dag gis 'phags pa'i lam rnams bgags pa'i phyir te /	'di ltar skyes bu dam pa ma yin pa de dag gis 'phags pa'i lam rnams bgags pa'i phyir te /	It is because those who are not holy people block the noble path.
['BO_K10_D0220_H0221:48a-4']	dad pa dang bral ba /	dad pa dang bral ba /	They are devoid of faith,
['BO_K10_D0220_H0221:48a-5']	zas dang bgo ba lhur len pa /	zas dang bgo ba lhur len pa /	they are intent on food and clothing,
['BO_K10_D0220_H0221:48a-6']	'jig rten gyi zang zing la chums pa rnams ni /	'jig rten gyi zang zing la chums pa rnams ni /	and they are attached to worldly material things.
['BO_K10_D0220_H0221:48a-7', 'BO_K10_D0220_H0221:48a-8']	sems can dmyal ba chen por 'dong bar 'gyur ro //🔽zhes gsung ngo //	sems can dmyal ba chen por 'dong bar 'gyur ro // zhes gsung ngo //	They will go to the great hells.”
['BO_K10_D0220_H0221:48a-9']	sh'a ri'i bu /	sh'a ri'i bu /	Śāriputra,
['BO_K10_D0220_H0221:48a-10']	yang khyod la go bar bya'o //	yang khyod la go bar bya'o //	I will make you understand.
['BO_K10_D0220_H0221:48a-11']	khong du chud par bya'o //	khong du chud par bya'o //	I will make you comprehend.
['BO_K10_D0220_H0221:48a-12']	'di lta bu'i chos dkon mchog la smod pa ni /	'di lta bu'i chos dkon mchog la smod pa ni /	Those who disparage the Dharma Jewel
['BO_K10_D0220_H0221:48a-13']	bde 'gro la dga' ba ma yin gyi /	bde 'gro la dga' ba ma yin gyi /	are not fond of the happy destinies.
['BO_K10_D0220_H0221:48a-14']	'di ltar ngan 'gro la rab tu dga' ba dang / dmus long la rab tu dga' ba yin no //	'di ltar ngan 'gro la rab tu dga' ba dang / dmus long la rab tu dga' ba yin no //	They are fond of the miserable destinies, and they are fond of being blind.
['BO_K10_D0220_H0221:48a-15']	sh'a ri'i bu /	sh'a ri'i bu /	Śāriputra,
['BO_K10_D0220_H0221:48a-16']	mngon pa'i nga rgyal can dang / tshul khrims 'chal pa dang / ma nges pa'i chos ston pa'i dge slong rnams las dge slong phal cher gyis nga'i bstan pa 'di nub par 'gyur te /	mngon pa'i nga rgyal can dang / tshul khrims 'chal pa dang / ma nges pa'i chos ston pa'i dge slong rnams las dge slong phal cher gyis nga'i bstan pa 'di nub par 'gyur te /	from among the monks who are conceited, immoral, and teach the Dharma in an uncertain manner, most monks will cause my teaching to decline.
['BO_K10_D0220_H0221:48a-17']	de dag ni /	de dag ni /	They
['BO_K10_D0220_H0221:48a-18']	'tsho bas 'jigs pas 'jig rten gyi zang zing la chums pa yin no //	'tsho bas 'jigs pas 'jig rten gyi zang zing la chums pa yin no //	are greedy for worldly material things out of fear of making a living.
['BO_K10_D0220_H0221:48a-19', 'BO_K10_D0220_H0221:48a-20']	sh'a ri'i bu /🔽'di lta bu'i chos dkon mchog la de ltar smod pa chen po byed pa ni /	sh'a ri'i bu / 'di lta bu'i chos dkon mchog la de ltar smod pa chen po byed pa ni /	Śāriputra,🔽it is not right to disparage the Dharma Jewel in this way.
['BO_K10_D0220_H0221:48a-21']	'os pa ma yin no //	'os pa ma yin no //	Those who do so are not suitable🔽to be respected, revered,
['BO_K10_D0220_H0221:48a-22', 'BO_K10_D0220_H0221:48a-23']	gang la sangs rgyas bcom ldan 'das thams cad kyis 'di ltar gus pa dang bcas pa /🔽'di ltar zhe sa dang bcas pa /	gang la sangs rgyas bcom ldan 'das thams cad kyis 'di ltar gus pa dang bcas pa /🔽'di ltar zhe sa dang bcas pa /	and honored by all the blessed buddhas.
['BO_K10_D0220_H0221:48b-0']	rang sangs rgyas thams cad dang / dgra bcom pa thams cad @48b kyis 'di ltar gus pa dang bcas pa /	rang sangs rgyas thams cad dang / dgra bcom pa thams cad @48b kyis 'di ltar gus pa dang bcas pa /	with respect,
['BO_K10_D0220_H0221:48b-1']	'di ltar zhes dang bcas pa mngon pa'i nga rgyal can gyi dge slong rnams dang / tshul khrims 'chal pa dang / ma nges pa'i chos ston pa'i dge slong rnams kyis shin tu zil gyis gnon pa dang / shin tu spong bar 'gyur ro //	'di ltar zhes dang bcas pa mngon pa'i nga rgyal can gyi dge slong rnams dang / tshul khrims 'chal pa dang / ma nges pa'i chos ston pa'i dge slong rnams kyis shin tu zil gyis gnon pa dang / shin tu spong bar 'gyur ro //	with faith, will completely overpower and completely reject the monks who are arrogant, who have faulty morality, and who teach a Dharma that is uncertain.
['BO_K10_D0220_H0221:48b-2']	de dag ni /	de dag ni /	They will be
['BO_K10_D0220_H0221:48b-3']	brkam chags dang sred pas zil gyis non pa dang / 'tsho ba'i lam du bying ba dang / zang zing lhur len pa dang / phrag dog dang ser sna'i kun tu sbyor ba dang ldan pas phan tshun du rtsod pa 'byung bar 'gyur ro //	brkam chags dang sred pas zil gyis non pa dang / 'tsho ba'i lam du bying ba dang / zang zing lhur len pa dang / phrag dog dang ser sna'i kun tu sbyor ba dang ldan pas phan tshun du rtsod pa 'byung bar 'gyur ro //	overpowered by greed and craving, will sink into the path of livelihood, will be intent on material things, and will be bound by jealousy and stinginess, and so will quarrel with each other.
