segmentnr	original	analyzed	folio	translated
['BO_K12_D0637=D0877_H0616:73b-0']	@73b rgya gar skad du /	@73b rgya gar skad du /	73b	In Sanskrit:
['BO_K12_D0637=D0877_H0616:73b-1']	a'arya sa manta bha dra aashtotta ra sha ta ka n'a ma dh'a ra n'i mantra sa hi ta /	a'arya sa manta bha dra aashtotta ra sha ta ka n'a ma dh'a ra n'i mantra sa hi ta /	73b	Ārya-Samantabhadra-aṣṭottara-śataka-nāma-dhāraṇī-mantrasaṃhita
['BO_K12_D0637=D0877_H0616:73b-2']	bod skad du; 'phags pa kun tu bzang po'i mtshan brgya rtsa brgyad pa gzungs sngags dang bcas pa /	bod skad du; 'phags pa kun tu bzang po'i mtshan brgya rtsa brgyad pa gzungs sngags dang bcas pa /	73b	In Tibetan: The Noble Dhāraṇī of the One Hundred and Eight Names of Samantabhadra, Together with the Dhāraṇī Mantra
['BO_K12_D0637=D0877_H0616:73b-3']	byang chub sems dpa' sems dpa' chen po snying rje chen po kun tu bzang po nam mkha'i dkyil kun tu rab 'byams ma lus pa dang mnyam pa'i ngo bo nyid kyi chos kyi snang ba gsal ba brnyes pa /	byang chub sems dpa' sems dpa' chen po snying rje chen po kun tu bzang po nam mkha'i dkyil kun tu rab 'byams ma lus pa dang mnyam pa'i ngo bo nyid kyi chos kyi snang ba gsal ba brnyes pa /	73b	The bodhisattva mahāsattva Mahākaruṇika Samantabhadra, who has attained the illumination of the Dharma that is the essence of the infinite sky in all directions,
['BO_K12_D0637=D0877_H0616:73b-4']	sa'i dkyil 'khor kun tu 'phros pa'i sku tha dad pa med cing /	sa'i dkyil 'khor kun tu 'phros pa'i sku tha dad pa med cing /	73b	whose body pervades the entire earth without distinction,
['BO_K12_D0637=D0877_H0616:73b-5']	dus gsum gyi sku mnyam pa nyid brnyes pa /	dus gsum gyi sku mnyam pa nyid brnyes pa /	73b	who has attained the sameness of the body in the three times,
['BO_K12_D0637=D0877_H0616:73b-6']	gzugs sna tshogs can /	gzugs sna tshogs can /	73b	who has various forms,
['BO_K12_D0637=D0877_H0616:73b-7']	byang chub sems dpa' sems dpa' chen po'i mchog dang / rab mchog dam pa sbyin pa yon tan chen po'i skus kun tu mnga' mdzad pa la phyag 'tshal lo //	byang chub sems dpa' sems dpa' chen po'i mchog dang / rab mchog dam pa sbyin pa yon tan chen po'i skus kun tu mnga' mdzad pa la phyag 'tshal lo //	73b	the supreme and most excellent bodhisattva mahāsattva, who rules with the body of great qualities, to him I pay homage.
['BO_K12_D0637=D0877_H0616:73b-8']	de nas de'i tshe byang chub sems dpa' sems dpa' chen po'i mchog kun tu bzang po gzugs sna tshogs can /	de nas de'i tshe byang chub sems dpa' sems dpa' chen po'i mchog kun tu bzang po gzugs sna tshogs can /	73b	Then at that time, the bodhisattva mahāsattva Samantabhadra, the foremost of all,
['BO_K12_D0637=D0877_H0616:73b-9', 'BO_K12_D0637=D0877_H0616:74a-0']	byang chub sems dpa' rnams kyi ting nge 'dzin rab 'byams sa'i dbang phyug chen po zhes bya ba la snyoms par zhugs so //🔽de nas byang chub sems dpa' sems dpa' chen po kun tu bzang @74a *//	byang chub sems dpa' rnams kyi ting nge 'dzin rab 'byams sa'i dbang phyug chen po zhes bya ba la snyoms par zhugs so // de nas byang chub sems dpa' sems dpa' chen po kun tu bzang @74a *//	73b	entered the samādhi called The Great Lord of the Immeasurable Meditative Absorptions of Bodhisattvas.
['BO_K12_D0637=D0877_H0616:74a-1', 'BO_K12_D0637=D0877_H0616:74a-2']	po snyoms par zhugs ma thag pa de'i tshe stong chen po'i 'jig rten gyi khams kyi rdul phra rab rdul snyed kyi sku rab 'byams kun tu yongs su rgyas par gyur te nam mkha'i khams kyi khongs su gtogs pa'i sku rnams sa'i dkyil 'khor du ma dag tu🔽kun nas 'khod par gyur to //	po snyoms par zhugs ma thag pa de'i tshe stong chen po'i 'jig rten gyi khams kyi rdul phra rab rdul snyed kyi sku rab 'byams kun tu yongs su rgyas par gyur te nam mkha'i khams kyi khongs su gtogs pa'i sku rnams sa'i dkyil 'khor du ma dag tu🔽kun nas 'khod par gyur to //	74a	Then, as soon as the bodhisattva mahāsattva Samantabhadra entered that samādhi, at that time, as many infinite bodies as there are atoms in the great trichiliocosm pervaded everywhere, and the bodies that pervaded the realm of space were seated on the surface of the earth.
['BO_K12_D0637=D0877_H0616:74a-3']	de nas sangs rgyas kyi zhing rab 'byams thams cad kyi khongs su gtogs pa'i de bzhin gshegs pa rnams kyis phyag g-yas pa brkyang ste byang chub sems dpa' sems dpa' chen po kun tu bzang po'i mgo bo la byugs te bka' stsal pa /	de nas sangs rgyas kyi zhing rab 'byams thams cad kyi khongs su gtogs pa'i de bzhin gshegs pa rnams kyis phyag g-yas pa brkyang ste byang chub sems dpa' sems dpa' chen po kun tu bzang po'i mgo bo la byugs te bka' stsal pa /	74a	Then the Tathāgatas belonging to the entire vast buddha-field extended their right hands and stroked the head of the bodhisattva mahāsattva Samantabhadra, saying:
['BO_K12_D0637=D0877_H0616:74a-4']	rigs kyi bu /	rigs kyi bu /	74a	Son of noble family,
['BO_K12_D0637=D0877_H0616:74a-5']	legs so legs so //	legs so legs so //	74a	excellent, excellent!
['BO_K12_D0637=D0877_H0616:74a-6']	sangs rgyas 'byung ba thams cad kyi snying po gzungs chen mo shod cig /	sangs rgyas 'byung ba thams cad kyi snying po gzungs chen mo shod cig /	74a	Recite the great dhāraṇī, the essence of all the buddhas.
['BO_K12_D0637=D0877_H0616:74a-7']	de nas byang chub sems dpa' sems dpa' chen po'i mchog lus 'od zer 'bum gyis snang bar byas pas de'i tshe sangs rgyas kyi zhing thams cad g-yo bar byas nas gzungs 'di bshad do //	de nas byang chub sems dpa' sems dpa' chen po'i mchog lus 'od zer 'bum gyis snang bar byas pas de'i tshe sangs rgyas kyi zhing thams cad g-yo bar byas nas gzungs 'di bshad do //	74a	Then the supreme bodhisattva mahāsattva, his body shining with a hundred thousand light rays, at that time made all the buddha-fields tremble and explained this dhāraṇī:
['BO_K12_D0637=D0877_H0616:74a-8']	tadya th'a / aom na mo na mastri /	tadya th'a / aom na mo na mastri /	74a	Tadyathā: Oṃ namo namastṛ
['BO_K12_D0637=D0877_H0616:74a-9']	bhu ba ni /	bhu ba ni /	74a	Bhūvane
['BO_K12_D0637=D0877_H0616:74a-10']	shva te / ma h'a bho g'a ya /	shva te / ma h'a bho g'a ya /	74a	Śvete Mahābhāgāya
['BO_K12_D0637=D0877_H0616:74a-11', 'BO_K12_D0637=D0877_H0616:74a-12']	aa sa ma sa ma /🔽aa mri ta sa ma /	aa sa ma sa ma / aa mri ta sa ma /	74a	Asama-sama🔽Amṛta-sama
['BO_K12_D0637=D0877_H0616:74a-13']	aa nanta sa ma /	aa nanta sa ma /	74a	Ananta-sama
['BO_K12_D0637=D0877_H0616:74a-14']	ga ga na sa ma /	ga ga na sa ma /	74a	Gagana-sama
['BO_K12_D0637=D0877_H0616:74a-15', 'BO_K12_D0637=D0877_H0616:74a-16']	tri bhu ba na sa ma /🔽aa she sha sa ma /	tri bhu ba na sa ma / aa she sha sa ma /	74a	Tri-bhūvana-sama🔽Aśeṣa-sama
['BO_K12_D0637=D0877_H0616:74a-17']	be sha sa ma /	be sha sa ma /	74a	Viśva-sama
['BO_K12_D0637=D0877_H0616:74a-18']	pa ra m'a rtha sa me /	pa ra m'a rtha sa me /	74a	paramārthasame,
['BO_K12_D0637=D0877_H0616:74a-19']	sva bha ba sa ma /	sva bha ba sa ma /	74a	svabhāvasame,
['BO_K12_D0637=D0877_H0616:74a-20']	ta tha t'a sa ma /	ta tha t'a sa ma /	74a	tathatāsame,
['BO_K12_D0637=D0877_H0616:74a-21']	aa ra dze sa ma /	aa ra dze sa ma /	74a	arajasame,
['BO_K12_D0637=D0877_H0616:74a-22']	aa ddhi sa ma /	aa ddhi sa ma /	74a	adhisame,
['BO_K12_D0637=D0877_H0616:74b-0']	buddhi @74b sa ma /	buddhi @74b sa ma /	74b	buddhisame,
['BO_K12_D0637=D0877_H0616:74b-1']	dharma ta th'a t'a sa ma /	dharma ta th'a t'a sa ma /	74b	dharmatathatāsame,
['BO_K12_D0637=D0877_H0616:74b-2']	aa bhi sha sa ma /	aa bhi sha sa ma /	74b	abhiṣeke,
['BO_K12_D0637=D0877_H0616:74b-3']	sa ma sa ma /	sa ma sa ma /	74b	samasame,
['BO_K12_D0637=D0877_H0616:74b-4']	ae k'a n'a ya /	ae k'a n'a ya /	74b	ekānāya,
['BO_K12_D0637=D0877_H0616:74b-5']	s'a ga ra /	s'a ga ra /	74b	sāgara,
['BO_K12_D0637=D0877_H0616:74b-6']	bi shuddhe / a'a lo ka /	bi shuddhe / a'a lo ka /	74b	viśuddhe, āloke,
['BO_K12_D0637=D0877_H0616:74b-7']	h'i h'i / labdha labdha /	h'i h'i / labdha labdha /	74b	hī hī, labdhalabdha,
['BO_K12_D0637=D0877_H0616:74b-8']	bi dza ya bi dza ya /	bi dza ya bi dza ya /	74b	vijayavijaya,
['BO_K12_D0637=D0877_H0616:74b-9']	aom pra sa ga ta /	aom pra sa ga ta /	74b	oṃ prasagata,🔽nayana,
['BO_K12_D0637=D0877_H0616:74b-10']	na ya na ya; hi ni /	na ya na ya; hi ni /	74b	hinī,
['BO_K12_D0637=D0877_H0616:74b-11']	ni ra dhishth'a na /	ni ra dhishth'a na /	74b	niradhīṣaṇe,
['BO_K12_D0637=D0877_H0616:74b-12']	sam bho ga /	sam bho ga /	74b	saṃbhoge,
['BO_K12_D0637=D0877_H0616:74b-13']	aam aa na la ya la ya /	aam aa na la ya la ya /	74b	aṃ analaya,
['BO_K12_D0637=D0877_H0616:74b-14']	dharma aa gra /	dharma aa gra /	74b	dharmagṛha,
['BO_K12_D0637=D0877_H0616:74b-15']	dha ra dha ra /	dha ra dha ra /	74b	dhara dhara,
['BO_K12_D0637=D0877_H0616:74b-16']	dza ya dza ya /	dza ya dza ya /	74b	jaya jaya,🔽hūṃ hūṃ,
['BO_K12_D0637=D0877_H0616:74b-17']	h'um h'um/ dha ma dha ma sv'a h'a /	h'um h'um/ dha ma dha ma sv'a h'a /	74b	dhama dhama svāhā.
['BO_K12_D0637=D0877_H0616:74b-18']	de nas rgyal ba'i sras kyi thu bo //	de nas rgyal ba'i sras kyi thu bo //	74b	Then the foremost of the Buddha's sons,
['BO_K12_D0637=D0877_H0616:74b-19']	'jig rten thams cad kyi mgon po gcig pu //	'jig rten thams cad kyi mgon po gcig pu //	74b	The sole protector of all worlds,
['BO_K12_D0637=D0877_H0616:74b-20']	sems can thams cad la phan par 'dod pa /	sems can thams cad la phan par 'dod pa /	74b	Desiring the benefit of all beings,
['BO_K12_D0637=D0877_H0616:74b-21']	byang chub sems dpa' kun tu bzang pos bcom ldan 'das kyi zhal du bltas te sa'i dkyil 'khor g-yo bar byas nas de skad ces smras te /	byang chub sems dpa' kun tu bzang pos bcom ldan 'das kyi zhal du bltas te sa'i dkyil 'khor g-yo bar byas nas de skad ces smras te /	74b	The bodhisattva Samantabhadra, looking at the face of the Blessed One, made the earth-disk tremble and spoke thus:
