segmentnr	original	analyzed	translated
['BO_K12_D0640=D0880_H0619:89a-0']	@89a rgya gar skad du //	@89a rgya gar skad du //	In Sanskrit:
['BO_K12_D0640=D0880_H0619:89a-1']	a'arya sarba ni ba ra na bi skam bhi n'i n'a mshto tta ra sha ta ka dh'a ra n'i mantra sa hi ta /	a'arya sarba ni ba ra na bi skam bhi n'i n'a mshto tta ra sha ta ka dh'a ra n'i mantra sa hi ta /	Ārya-sarvanīvaraṇaviṣkambhināma-aṣṭottaraśataka-dhāraṇīmantrasaṃhita
['BO_K12_D0640=D0880_H0619:89a-2']	bod skad du //	bod skad du //	In Tibetan:
['BO_K12_D0640=D0880_H0619:89a-3']	'phags pa sgrib pa thams cad rnam par sel ba'i mtshan brgya rtsa brgyad pa gzungs sngags dang bcas pa //	'phags pa sgrib pa thams cad rnam par sel ba'i mtshan brgya rtsa brgyad pa gzungs sngags dang bcas pa //	Ārya-sarvanīvaraṇaviṣkambhināma-aṣṭottaraśataka-dhāraṇīmantrasaṃhita
['BO_K12_D0640=D0880_H0619:89a-4']	byang chub sems dpa' sems dpa' chen po sgrib pa thams cad rnam par sel ba la phyag 'tshal lo //	byang chub sems dpa' sems dpa' chen po sgrib pa thams cad rnam par sel ba la phyag 'tshal lo //	Homage to the bodhisattva mahāsattva Sarvanīvaraṇaviṣkambhin.
['BO_K12_D0640=D0880_H0619:89a-5']	aom aa mri ta /	aom aa mri ta /	Oṃ amṛta
['BO_K12_D0640=D0880_H0619:89a-6']	bindu dza ba /	bindu dza ba /	vindurja
['BO_K12_D0640=D0880_H0619:89a-7']	ma h'a su kha sv'a h'a //	ma h'a su kha sv'a h'a //	mahāsukhasvāhā.
['BO_K12_D0640=D0880_H0619:89a-8']	de nas bcom ldan 'das de bzhin gshegs pa rnam par snang mdzad kyis phyag g-yas pa brkyang ste byang chub sems dpa' sems dpa' chen po sgrib pa thams cad rnam par sel ba tshim par mdzad nas bka' stsal pa //	de nas bcom ldan 'das de bzhin gshegs pa rnam par snang mdzad kyis phyag g-yas pa brkyang ste byang chub sems dpa' sems dpa' chen po sgrib pa thams cad rnam par sel ba tshim par mdzad nas bka' stsal pa //	Then the Blessed One, the Tathāgata Vairocana, extended his right hand and, having satisfied the bodhisattva mahāsattva Sarvanīvaraṇaviṣkambhin, said this:
['BO_K12_D0640=D0880_H0619:89a-9']	yon tan rin po che'i tshogs can khyod kyi gzungs sngags 'di byung bas sems can rnams kyi bde ba chen po bskyed pa legs so legs so //	yon tan rin po che'i tshogs can khyod kyi gzungs sngags 'di byung bas sems can rnams kyi bde ba chen po bskyed pa legs so legs so //	You who are endowed with the accumulation of precious qualities, it is excellent, excellent, that you have produced this dhāraṇī-mantra, which generates great bliss in sentient beings.
['BO_K12_D0640=D0880_H0619:89a-10']	kye rgyal ba'i sras //	kye rgyal ba'i sras //	O Son of the Victorious Ones!
['BO_K12_D0640=D0880_H0619:89a-11']	gang la la gzungs sngags 'di thos pa ni de bzhin gshegs pa gang+g'a'i klung bcu'i bye ma snyed kyi spyan sngar dge ba'i rtsa ba bskyed pa dang ldan par 'gyur ro //	gang la la gzungs sngags 'di thos pa ni de bzhin gshegs pa gang+g'a'i klung bcu'i bye ma snyed kyi spyan sngar dge ba'i rtsa ba bskyed pa dang ldan par 'gyur ro //	 Whoever hears this dhāraṇī-mantra will be endowed with the roots of virtue generated in the presence of tathāgatas equal to the sands of ten Ganges Rivers.
['BO_K12_D0640=D0880_H0619:89a-12']	gang la la'i rna lam du grags par gyur pa de yang sgrib pa dang bral bar 'gyur ro //	gang la la'i rna lam du grags par gyur pa de yang sgrib pa dang bral bar 'gyur ro //	Whoever's ears it reaches will also become free from obscurations.
['BO_K12_D0640=D0880_H0619:89a-13']	sku gdung dang ldan pa'i mchod rten gyi drung du zla ba yar gyi ngo tshes brgyad dam //	sku gdung dang ldan pa'i mchod rten gyi drung du zla ba yar gyi ngo tshes brgyad dam //	In front of a stūpa endowed with relics, on the eighth or
['BO_K12_D0640=D0880_H0619:89b-0']	tshes bco lnga @89b la smyung bar 'dug cing //	tshes bco lnga @89b la smyung bar 'dug cing //	fifteenth day of the waxing moon,
['BO_K12_D0640=D0880_H0619:89b-1']	gso sbyong dang ldan par byas te /	gso sbyong dang ldan par byas te /	having observed the purificatory fast,
['BO_K12_D0640=D0880_H0619:89b-2']	spos dang / bdug pa dang / mar me dang / me tog phreng dang / byug pa la sogs pas mchod la bskor ba byas nas /	spos dang / bdug pa dang / mar me dang / me tog phreng dang / byug pa la sogs pas mchod la bskor ba byas nas /	having made offerings of incense, perfume, lamps, flower garlands, ointments, and so forth, circumambulated,🔽and
['BO_K12_D0640=D0880_H0619:89b-3']	bzlas brjod byas na dam pa ci 'dod pa thob par 'gyur te /	bzlas brjod byas na dam pa ci 'dod pa thob par 'gyur te /	If one recites the mantra, one will obtain whatever is sublime that one desires.
['BO_K12_D0640=D0880_H0619:89b-4']	sdig pa thams cad dang / sdug bsngal ba dang / 'jigs pa thams cad las thar par 'gyur ro //	sdig pa thams cad dang / sdug bsngal ba dang / 'jigs pa thams cad las thar par 'gyur ro //	One will be freed from all evil, all suffering, and all fear.
['BO_K12_D0640=D0880_H0619:89b-5']	byang chub sems dpa' sgrib pa thams cad rnam par sel ba la spos la sogs pas mchod de bzlas brjod byas na rmi lam du ston par 'gyur te /	byang chub sems dpa' sgrib pa thams cad rnam par sel ba la spos la sogs pas mchod de bzlas brjod byas na rmi lam du ston par 'gyur te /	If one worships with incense and so forth the bodhisattva Sarva­nīvaraṇa­viṣkambhin and recites the mantra, one will see the Teacher in a dream.
['BO_K12_D0640=D0880_H0619:89b-6']	bsam pa thams cad yongs su rdzogs par byed cing //	bsam pa thams cad yongs su rdzogs par byed cing //	He will fulfill all wishes
