segmentnr	original	analyzed	translated
['BO_T02_D1865:69a-0']	@69a # // rgya gar skad du /	@69a # // rgya gar skad du /	In Sanskrit:
['BO_T02_D1865:69a-1']	shr'i gu hya sa m'a dza mandala bi dhi n'a ma /	shr'i gu hya sa m'a dza mandala bi dhi n'a ma /	Śrī-guhyasamāja-maṇḍala-vidhi-nāma
['BO_T02_D1865:69a-2']	bod skad du /	bod skad du /	In Tibetan:
['BO_T02_D1865:69a-3']	dpal gsang ba 'dus pa'i dkyil 'khor gyi cho ga zhes bya ba /	dpal gsang ba 'dus pa'i dkyil 'khor gyi cho ga zhes bya ba /	The Glorious Guhyasamāja Maṇḍala Ritual
['BO_T02_D1865:69a-4']	bcom ldan 'das 'jam dpal ye shes sems dpa' la phyag 'tshal lo //	bcom ldan 'das 'jam dpal ye shes sems dpa' la phyag 'tshal lo //	Homage to the Bhagavān Mañjuśrījñānasattva.
['BO_T02_D1865:69a-5']	shes bya sogs sgrib las nges grol //	shes bya sogs sgrib las nges grol //	Definitely liberated from the obscurations of the knowable and so forth,
['BO_T02_D1865:69a-6']	me long ye shes la sogs ldan //	me long ye shes la sogs ldan //	Endowed with the mirror-like wisdom and so forth,
['BO_T02_D1865:69a-7']	'jam dpal gsang ba'i 'khor lo mchog / btud de bdag dran phyir de bshad //	'jam dpal gsang ba'i 'khor lo mchog / btud de bdag dran phyir de bshad //	I bow to the supreme secret wheel of Mañjuśrī, and for the sake of my own memory, I shall explain it.
['BO_T02_D1865:69a-8']	dpal ldan 'dus pa'i gzhung dam pa //	dpal ldan 'dus pa'i gzhung dam pa //	The excellent scriptures of the glorious Guhyasamāja
['BO_T02_D1865:69a-9']	'khor lo'i man ngag rim pa 'dis //	'khor lo'i man ngag rim pa 'dis //	Through this stage of the wheel's instructions,
['BO_T02_D1865:69a-10']	chu thog rjes gnang tha ma yis //	chu thog rjes gnang tha ma yis //	The final permission of the water on top,
['BO_T02_D1865:69a-11']	gang zhig dbang bskur de nas blang //	gang zhig dbang bskur de nas blang //	Having conferred empowerment, then take it.
['BO_T02_D1865:69a-12']	gsang ba'i khor 'dir de nyid thob //	gsang ba'i khor 'dir de nyid thob //	In this secret wheel, attain that very [empowerment].
['BO_T02_D1865:69a-13']	gsang dang shes rab dbang bskur bas //	gsang dang shes rab dbang bskur bas //	The secret and wisdom empowerments,
['BO_T02_D1865:69a-14']	gsang shes rnal 'byor de nyid shes //	gsang shes rnal 'byor de nyid shes //	The secret and wisdom yogi knows that suchness,
['BO_T02_D1865:69a-15']	theg gsum dgongs pa'i de nyid shes //	theg gsum dgongs pa'i de nyid shes //	Knows the suchness of the intention of the three vehicles.
