segmentnr	original	analyzed	folio	translated
['BO_T08_D4119-2:167a-16', 'BO_T08_D4119-2:167a-17', 'BO_T08_D4119-2:167a-18']	lhung bzed kyi kha g-yogs bcang bar bya'o zhes bya ba 'di dang 'khar pa'i snod bcang ba dag las de la phul ba'i btung phor las gzhan pa'i 'khar ba'i snod gang zag gis bcang bar mi bya'o zhes bya ba thun mong ma yin pa nyid du dogs par🔽mi bya ste /🔽gnyis po de dge slong ma la ma yin snyam du rtog par mi bya'o zhes bya'o zhes bya ba'i don to //	lhung bzed kyi kha g-yogs bcang bar bya'o zhes bya ba 'di dang 'khar pa'i snod bcang ba dag las de la phul ba'i btung phor las gzhan pa'i 'khar ba'i snod gang zag gis bcang bar mi bya'o zhes bya ba thun mong ma yin pa nyid du dogs par mi bya ste / gnyis po de dge slong ma la ma yin snyam du rtog par mi bya'o zhes bya'o zhes bya ba'i don to //	167a	The meaning of the statement “One should carry a bowl” is that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.
['BO_T08_D4119-2:167a-19', 'BO_T08_D4119-2:167a-20']	nad pas zhva bcang ba la ni mi rung ba nyid du yang ngo zhes bya ba yang dogs par mi bya'o zhes sbyar bar bya'o //🔽nye ba 'khor rang bzhin gyi kha na ma tho ba dang bcas pa ma gtogs pa zhes bya ba gsungs pas /	nad pas zhva bcang ba la ni mi rung ba nyid du yang ngo zhes bya ba yang dogs par mi bya'o zhes sbyar bar bya'o // nye ba 'khor rang bzhin gyi kha na ma tho ba dang bcas pa ma gtogs pa zhes bya ba gsungs pas /	167a	One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.
['BO_T08_D4119-2:167a-21']	nad pa la zhva bcang bar rjes su gnang ba gang yin pa de dge slong ma la mi rung ba nyid du dogs par mi bya'o //	nad pa la zhva bcang bar rjes su gnang ba gang yin pa de dge slong ma la mi rung ba nyid du dogs par mi bya'o //	167a	One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.🔽One should not suspect that the statement “One should carry a bowl” means that one should carry a bowl other than the drinking cup that is offered to the monk.
['BO_T08_D4119-2:167a-22']	'dir gzhung ni skye dgu'i bdag mo chen mo glad pa na nas /	'dir gzhung ni skye dgu'i bdag mo chen mo glad pa na nas /	167a	Here the text is the story of Mahāprajāpatī, who had a headache.
['BO_T08_D4119-2:167a-23']	bcom ldan 'das kyis bka' stsal pa /	bcom ldan 'das kyis bka' stsal pa /	167a	The Blessed One said:
['BO_T08_D4119-2:167a-24']	zhva bcang bar bya'o zhes gsungs pa yin no //	zhva bcang bar bya'o zhes gsungs pa yin no //	167a	“She should be massaged.”
['BO_T08_D4119-2:167a-25']	don 'di la bud med kyis kyang zhva bcang du rung ngo zhes bya ba 'dis bstan par 'gyur ro //	don 'di la bud med kyis kyang zhva bcang du rung ngo zhes bya ba 'dis bstan par 'gyur ro //	167a	This shows that women are also suitable to massage.
['BO_T08_D4119-2:167a-26']	de lta bas chu la chab rom chags pa'i yul du yang de rjes su gnang bar shes par bya ste /	de lta bas chu la chab rom chags pa'i yul du yang de rjes su gnang bar shes par bya ste /	167a	So it should be understood that in a place where water freezes, it is permitted to do that.
['BO_T08_D4119-2:167a-27']	de'i phyir mdo 'di ni dpe tsam du rig par bya'o //	de'i phyir mdo 'di ni dpe tsam du rig par bya'o //	167a	Therefore, this sūtra should be understood as merely an example.
['BO_T08_D4119-2:167b-0']	sil byed kyi sgra @167b ma phyung bar bsod snyoms la khyim du 'jug par mi bya'o //	sil byed kyi sgra @167b ma phyung bar bsod snyoms la khyim du 'jug par mi bya'o //	167b	One should not enter a house for alms without making a rattling sound with a mendicant’s staff.
['BO_T08_D4119-2:167b-1']	de bcang bar bya'o zhes bya ba ni sil byed de'o //	de bcang bar bya'o zhes bya ba ni sil byed de'o //	167b	“That should be carried” means the mendicant’s staff.
['BO_T08_D4119-2:167b-2']	'byung ba dang 'jug pa la mkhas par 'bad par bya'o zhes bya ba ni bsod snyoms pas so //	'byung ba dang 'jug pa la mkhas par 'bad par bya'o zhes bya ba ni bsod snyoms pas so //	167b	“One should strive to be skilled in arising and entering” means the alms-goer.
['BO_T08_D4119-2:167b-3']	ji ltar zhe na de'i phyir mtshan mar byas pas so //	ji ltar zhe na de'i phyir mtshan mar byas pas so //	167b	How? Therefore, “by making a sign.”
['BO_T08_D4119-2:167b-4']	mtshan ma gdab pa ci zhig gis she na /	mtshan ma gdab pa ci zhig gis she na /	167b	By what sign?
['BO_T08_D4119-2:167b-5']	de'i phyir bsod snyoms kyi bram ze la sogs pas so zhes bya ba smos so //	de'i phyir bsod snyoms kyi bram ze la sogs pas so zhes bya ba smos so //	167b	Therefore, it is said, “by the brahmins who are alms-seekers, etc.”
['BO_T08_D4119-2:167b-6']	chos btsongs pas 'tsho ba sbyar bar mi bya'o zhes bya ba la /	chos btsongs pas 'tsho ba sbyar bar mi bya'o zhes bya ba la /	167b	One should not make a living by selling the Dharma.
['BO_T08_D4119-2:167b-7']	'dir gzhung ni ma mo las de dag chos kyi sgo nas rnyed pa yongs su 'tshol zhing chos 'tshong bas 'tsho ba sbyor bar byed pa na /	'dir gzhung ni ma mo las de dag chos kyi sgo nas rnyed pa yongs su 'tshol zhing chos 'tshong bas 'tsho ba sbyor bar byed pa na /	167b	Here, the text is as follows: “Those who seek gain through the Dharma, who make a living by selling the Dharma,
['BO_T08_D4119-2:167b-8']	bcom ldan 'das kyis bka' stsal pa /	bcom ldan 'das kyis bka' stsal pa /	167b	the Blessed One said,
