segmentnr	original	analyzed	translated
['BO_T11_D4226-4:127a-3']	mi rtag gzhan nyid ces bya ba'o //	mi rtag gzhan nyid ces bya ba'o //	Impermanence and otherness.
['BO_T11_D4226-4:127a-4']	ci'i phyir zhe na /	ci'i phyir zhe na /	Why?
['BO_T11_D4226-4:127a-5']	gang gi phyir rtag pa nyid dam gnyi ga ma yin pa'i rang bzhin du yin na /	gang gi phyir rtag pa nyid dam gnyi ga ma yin pa'i rang bzhin du yin na /	Because if it were permanent or both,
['BO_T11_D4226-4:127a-6']	'di gnyi ga yang rung ba ma yin no //	'di gnyi ga yang rung ba ma yin no //	neither would be tenable.
['BO_T11_D4226-4:127a-7']	des na mi rtag pa nyid gzhan yin na /	des na mi rtag pa nyid gzhan yin na /	Therefore, if impermanence is other,
['BO_T11_D4226-4:127a-8']	chos can 'dzin pa ci ltar yin /	chos can 'dzin pa ci ltar yin /	how could it be the apprehender of the subject?
['BO_T11_D4226-4:127a-9']	re zhig chos can rtag pa nyid du 'dzin pa 'thad pa ma yin no zhes brjod pa ni /	re zhig chos can rtag pa nyid du 'dzin pa 'thad pa ma yin no zhes brjod pa ni /	First, it is said that it is not tenable to apprehend the subject as permanent:
['BO_T11_D4226-4:127a-10']	gal te zhes bya ba'o //	gal te zhes bya ba'o //	If it were so, it is said.
['BO_T11_D4226-4:127a-11']	de lta yin dang rjes su dpag pa las rtag pa nyid mi 'grub po zhes brjod pa ni /	de lta yin dang rjes su dpag pa las rtag pa nyid mi 'grub po zhes brjod pa ni /	If that were the case, permanence would not be established by inference:
['BO_T11_D4226-4:127a-12']	tshad gzhan zhes bya ba'o //	tshad gzhan zhes bya ba'o //	By another valid cognition, it is said.
['BO_T11_D4226-4:127a-13']	ci ltar mi rtag pa nyid du 'dzin pa ma yin zhe na /	ci ltar mi rtag pa nyid du 'dzin pa ma yin zhe na /	How is it not apprehended as impermanent?
['BO_T11_D4226-4:127a-14']	mngon sum gyis ni zhes bya ba'o //	mngon sum gyis ni zhes bya ba'o //	By direct perception, it is said.
['BO_T11_D4226-4:127a-15']	mngon sum gyis rtag pa nyid du rtogs na /	mngon sum gyis rtag pa nyid du rtogs na /	If permanence is realized by direct perception,
['BO_T11_D4226-4:127a-16']	mi rtag pa nyid kyi rjes su dpag pas sel bar mi 'gyur ro //	mi rtag pa nyid kyi rjes su dpag pas sel bar mi 'gyur ro //	impermanence would not be eliminated by inference.
['BO_T11_D4226-4:127a-17']	mngon sum gzhan gyis bsal bar bya ba ma yin pa nyid brjod pa ni /	mngon sum gzhan gyis bsal bar bya ba ma yin pa nyid brjod pa ni /	The fact that it is not eliminated by another direct perception is stated:
['BO_T11_D4226-4:127a-18']	mngon sum tshad ma gzhan thams cad kyi ni rtsa ba yin zhes bya ba'o //	mngon sum tshad ma gzhan thams cad kyi ni rtsa ba yin zhes bya ba'o //	and it is the root of all other valid cognitions.
['BO_T11_D4226-4:127a-19']	rgyal po'i bu dag ni sdom dang chos mtshungs pa yin no //	rgyal po'i bu dag ni sdom dang chos mtshungs pa yin no //	The sons of the king are like the vows.
['BO_T11_D4226-4:127a-20']	sdom ni rang gi bu rnams nyid kyis gsod par byed pa de bzhin du /	sdom ni rang gi bu rnams nyid kyis gsod par byed pa de bzhin du /	The vows are like the sons of the king, for they kill themselves.
['BO_T11_D4226-4:127a-21']	rgyal bo'i bu pha slu bar byed pa yin no ci ltar rgyal po'i bu pha gsod par 'jug pa de bzhin du mngon sum gyis skyed pa'i tshad ma gzhan dag ni mngon sum sel bar byed ba ma yin no //	rgyal bo'i bu pha slu bar byed pa yin no ci ltar rgyal po'i bu pha gsod par 'jug pa de bzhin du mngon sum gyis skyed pa'i tshad ma gzhan dag ni mngon sum sel bar byed ba ma yin no //	Just as the sons of the king kill their father, so too the other valid cognitions produced by direct perception do not eliminate direct perception.
['BO_T11_D4226-4:127a-22']	des na gal te rtag pa nyid mngon sum gyis mthong ba yin na /	des na gal te rtag pa nyid mngon sum gyis mthong ba yin na /	Therefore, if permanence is seen by direct perception,
['BO_T11_D4226-4:127a-23']	de'i tshe mngon sum gyis bskyed pa mi rtag pa nyid kyi rjes su dpag pas bsal bar ci ltar 'gyur /	de'i tshe mngon sum gyis bskyed pa mi rtag pa nyid kyi rjes su dpag pas bsal bar ci ltar 'gyur /	then how could impermanence, which is produced by direct perception, be eliminated by inference?
['BO_T11_D4226-4:127a-24']	mi rtag pa nyid kyi rjes su dpag pa ni 'dod pa yin /	mi rtag pa nyid kyi rjes su dpag pa ni 'dod pa yin /	It is accepted that impermanence is inferred,
['BO_T11_D4226-4:127a-25']	de yang med par 'gyur ro zhes bya ba'i don to //	de yang med par 'gyur ro zhes bya ba'i don to //	and that would not exist.
['BO_T11_D4226-4:127a-26']	mngon sum skyed par byed pa nyid yin par brjod pa ni /	mngon sum skyed par byed pa nyid yin par brjod pa ni /	The statement that it produces direct perception🔽means that it is the cause of the arising of direct perception.
['BO_T11_D4226-4:127a-27']	tshad ma thams cad kyi zhes bya ba'o //	tshad ma thams cad kyi zhes bya ba'o //	“All valid cognitions” means all valid cognitions of direct perception and inference.
['BO_T11_D4226-4:127a-28']	mngon sum ma khrang pho ma bstan pa'i rtag pa ni rjes su dpag pa mi rtag par dpog par gnod pa ma yin no zhes bya ba'i don to //	mngon sum ma khrang pho ma bstan pa'i rtag pa ni rjes su dpag pa mi rtag par dpog par gnod pa ma yin no zhes bya ba'i don to //	It is not the case that the inference of impermanence contradicts the direct perception of permanence.
['BO_T11_D4226-4:127a-29']	gnyi ga'i rang bzhin du yang chos can 'dzin par mi 'thad do zhes bstan pa'i don du dogs pa bsu ba ni /	gnyi ga'i rang bzhin du yang chos can 'dzin par mi 'thad do zhes bstan pa'i don du dogs pa bsu ba ni /	It is not tenable that the subject is apprehended as having the nature of both.
['BO_T11_D4226-4:127a-30']	'on te zhes bya ba'o //	'on te zhes bya ba'o //	The response to this objection is “Or else . . .”
['BO_T11_D4226-4:127a-31', 'BO_T11_D4226-4:127a-32']	des ni mngon sum gyis so //🔽'on ci ltar rtag pa nyid dam mi rtag pa nyid du rtogs zhe na /	des ni mngon sum gyis so // 'on ci ltar rtag pa nyid dam mi rtag pa nyid du rtogs zhe na /	“By that” means by direct perception.🔽“How is it understood as permanent or impermanent?”
['BO_T11_D4226-4:127a-33']	rtag pa nyid dam zhes bya ba'o //	rtag pa nyid dam zhes bya ba'o //	“Permanent or . . .”
['BO_T11_D4226-4:127a-34', 'BO_T11_D4226-4:127a-35']	lan ni mi rtag pa nyid ces bya ba'o //🔽rtag pa dang mi rtag pa nyid kyi rang bzhin brjod pa ni /	lan ni mi rtag pa nyid ces bya ba'o // rtag pa dang mi rtag pa nyid kyi rang bzhin brjod pa ni /	The response is “Impermanent.”
['BO_T11_D4226-4:127a-36']	gang gi phyir zhes bya ba'o //	gang gi phyir zhes bya ba'o //	The statement of the nature of permanence and impermanence is “Because . . .”
['BO_T11_D4226-4:127a-37']	des cir 'gyur snyam na /	des cir 'gyur snyam na /	What follows from that?
['BO_T11_D4226-4:127a-38']	dngos po zhes bya ba'o//	dngos po zhes bya ba'o//	“Things . . .”
['BO_T11_D4226-4:127b-0']	@127b de la zhes bya ba ni rtag pa dang mi rtag pa dag gi nang nas rtag par 'dzin pa ni dngos po dus khyab par bzung nas 'gyur ba yin no //	@127b de la zhes bya ba ni rtag pa dang mi rtag pa dag gi nang nas rtag par 'dzin pa ni dngos po dus khyab par bzung nas 'gyur ba yin no //	“In that case” means that from among the permanent and impermanent, the apprehension of permanence is a transformation that occurs when one apprehends that a thing pervades time.
['BO_T11_D4226-4:127b-1']	gal te khyab pa de ma bzung na de'i tshe mi rtag par rig pa nyid du 'gyur ro //	gal te khyab pa de ma bzung na de'i tshe mi rtag par rig pa nyid du 'gyur ro //	If one does not apprehend that it pervades, then it would be recognized as impermanent.
['BO_T11_D4226-4:127b-2']	'chad pa ni gang gi tshe zhes bya ba'o //	'chad pa ni gang gi tshe zhes bya ba'o //	“ If” indicates the explanation.
['BO_T11_D4226-4:127b-3']	dogs pa ni de nyid ces bya ba ste dus gzhan khyab pa nyid do //	dogs pa ni de nyid ces bya ba ste dus gzhan khyab pa nyid do //	“ Fearing” that is, fearing that it would not pervade other times.
['BO_T11_D4226-4:127b-4']	mi rtag pa nyid ni ma rtogs pa ma yin no zhes bya ba'o //	mi rtag pa nyid ni ma rtogs pa ma yin no zhes bya ba'o //	“ Impermanence would not be understood” means that impermanence would not be understood.
['BO_T11_D4226-4:127b-5']	grub pa'i mtha' smra ba 'dri ba na mi rtag pa zhes bya ba'o //	grub pa'i mtha' smra ba 'dri ba na mi rtag pa zhes bya ba'o //	The proponent of tenets asks, “Impermanence?”
['BO_T11_D4226-4:127b-6']	pha rol gyi lan ni de nyid kyi zhes bya ba ste chos can nyid kyi'o //	pha rol gyi lan ni de nyid kyi zhes bya ba ste chos can nyid kyi'o //	The opponent’s response is “That itself,” that is, the subject.
['BO_T11_D4226-4:127b-7', 'BO_T11_D4226-4:127b-8']	grub ba'i mtha' smra ba rnam par rtag par byed pa ni de zhes bya ba ste mi rtag pa de nyid chos can gyi rang bzhin rtogs pa nyid kyi che yin nam /🔽'on te phyis yin /	grub ba'i mtha' smra ba rnam par rtag par byed pa ni de zhes bya ba ste mi rtag pa de nyid chos can gyi rang bzhin rtogs pa nyid kyi che yin nam /🔽'on te phyis yin /	The proponent of tenets analyzes, “That” means that impermanence is either the nature of the subject that is realized or it is something that occurs later.
