segmentnr	original	analyzed	folio	translated
['BO_T11_D4247:200a-0']	@200a # // rgya gar skad du /	@200a # // rgya gar skad du /	200a	In Sanskrit:
['BO_T11_D4247:200a-1']	a'i shva ra b'am ga k'a ri k'a /	a'i shva ra b'am ga k'a ri k'a /	200a	Īśvaravāda kārikā
['BO_T11_D4247:200a-2']	bod skad du /	bod skad du /	200a	In Tibetan:
['BO_T11_D4247:200a-3']	dbang phyug 'jig pa'i tshig le'ur byas pa //	dbang phyug 'jig pa'i tshig le'ur byas pa //	200a	The Verses on Refuting Īśvara
['BO_T11_D4247:200a-4']	thams cad mkhyen pa la phyag 'tshal lo //	thams cad mkhyen pa la phyag 'tshal lo //	200a	Homage to the Omniscient One!
['BO_T11_D4247:200a-5']	gang gis yang dag mkhyen gyur cing //	gang gis yang dag mkhyen gyur cing //	200a	He who has true knowledge
['BO_T11_D4247:200a-6', 'BO_T11_D4247:200a-7']	sems can rnams la ston byed pa //🔽'gro mgon de la phyag 'tshal te //	sems can rnams la ston byed pa // 'gro mgon de la phyag 'tshal te //	200a	And teaches it to sentient beings,🔽The protector of beings,
['BO_T11_D4247:200a-8']	yang dag gtan la dbab par bya //	yang dag gtan la dbab par bya //	200a	I pay homage to him and will establish the truth.
['BO_T11_D4247:200a-9']	las dang nyon mongs las skyes shing //	las dang nyon mongs las skyes shing //	200a	Arisen from karma and afflictions,
['BO_T11_D4247:200a-10']	skad cig ma dang de bdag med //	skad cig ma dang de bdag med //	200a	Momentary and devoid of self,
['BO_T11_D4247:200a-11']	thams cad mkhyen dang 'dod chags bral //	thams cad mkhyen dang 'dod chags bral //	200a	Omniscience and freedom from attachment
['BO_T11_D4247:200a-12']	bsdus te 'dir ni brjod par bya //	bsdus te 'dir ni brjod par bya //	200a	Are summarized and will be explained here.
['BO_T11_D4247:200a-13']	glen blo gang zhig 'di dag kun //	glen blo gang zhig 'di dag kun //	200a	The foolish mind that says
['BO_T11_D4247:200a-14', 'BO_T11_D4247:200a-15']	dbang phyug gis ni byas so zhes //🔽smra ba de yang mi shes pa //	dbang phyug gis ni byas so zhes // smra ba de yang mi shes pa //	200a	All this is created by Īśvara🔽Is also expressed clearly in the assembly
['BO_T11_D4247:200a-16']	gzhom phyir 'khor du gsal bar brjod //	gzhom phyir 'khor du gsal bar brjod //	200a	For the sake of destroying ignorance.
['BO_T11_D4247:200a-17']	lus dang dbang po sa la sogs //	lus dang dbang po sa la sogs //	200a	The body, sense faculties, earth, and so forth
['BO_T11_D4247:200a-18']	thams cad dbang phyug gis ma byas //	thams cad dbang phyug gis ma byas //	200a	Are not all created by Īśvara.
['BO_T11_D4247:200a-19']	lus 'bras rtogs pa tha dad phyir// dper na rgyu las skyes mthong bzhin //	lus 'bras rtogs pa tha dad phyir// dper na rgyu las skyes mthong bzhin //	200a	like seeing what is produced from a cause.
['BO_T11_D4247:200a-20']	de yang dbang phyug bskyed bya na /	de yang dbang phyug bskyed bya na /	200a	Moreover, if the powerful one is produced,
['BO_T11_D4247:200a-21']	blo ldan skye las grub 'gyur te //	blo ldan skye las grub 'gyur te //	200a	it is established from the wise one’s birth.
['BO_T11_D4247:200a-22']	ji ltar bum pa de bzhin du //	ji ltar bum pa de bzhin du //	200a	Just like a pot,
