segmentnr	original	analyzed	folio	translated
['BO_T17_MW1PD95844_2621:0']	@#/_/dam tshhig phra rgyas bstan pa/	@#/_/dam tshhig phra rgyas bstan pa/	0	The teaching on the subtle evolutes of the commitments🔽Homage to the Bhagavat Vajra Mind!
['BO_T17_MW1PD95844_2621:1']	@##/_/bcom ldan 'das thugs rdo rje la phyag 'tshhal lo/_/rang gi lha	@##/_/bcom ldan 'das thugs rdo rje la phyag 'tshhal lo/_/rang gi lha	1	Having paid homage to one’s deity,🔽in order to have the four paths,
['BO_T17_MW1PD95844_2621:2']	la phyag btshal nas/_/lam bzhi dag yod bya ba'i phyir/_/las snod skal bas	la phyag btshal nas/_/lam bzhi dag yod bya ba'i phyir/_/las snod skal bas	2	the vessel of action, the abode of good fortune,🔽the subtle evolutes of the commitments,
['BO_T17_MW1PD95844_2621:3']	gnas gyur pa/_/dam tshhig phra rgyas gsungs pa de/_/thun mong mchog gi srung	gnas gyur pa/_/dam tshhig phra rgyas gsungs pa de/_/thun mong mchog gi srung	3	the protections of the common and supreme,🔽the one abiding in the part of yoga🔽should not protect the self,
['BO_T17_MW1PD95844_2621:4']	bya rnams/_/rnal 'byor cha la gnas pa yi/_/bdag dang gzhan dang chos kyi	bya rnams/_/rnal 'byor cha la gnas pa yi/_/bdag dang gzhan dang chos kyi	4	others, and the doctrine🔽with the protection of the texts.
['BO_T17_MW1PD95844_2621:5']	phyir/_/gzhung tshhul srung ba 'di mi bya/_/snga ma srung bar bya ba ni/_/mtha'	phyir/_/gzhung tshhul srung ba 'di mi bya/_/snga ma srung bar bya ba ni/_/mtha'	5	The protection of the former is🔽the infinite teachings in the sutras:🔽the bases are protected by the four renunciations,🔽and austerities are protected by the mind free of grasping.
['BO_T17_MW1PD95844_2621:6']	yas gsungs pa mdo tsham du/_/nges 'byung bzhi yis gzhi rnams dang /_/ dka' thub 'dzin med sems kyis bsrung /_/gzhi phyir gzhan yang lus ngag gi//	yas gsungs pa mdo tsham du/_/nges 'byung bzhi yis gzhi rnams dang /_/ dka' thub 'dzin med sems kyis bsrung /_/gzhi phyir gzhan yang lus ngag gi//	6	For the sake of the bases, one should also🔽give up gambling with body and speech,
['BO_T17_MW1PD95844_2621:7']	brgyan po 'gyed rnams dor ba dang /_/mtshhon thogs 'phong rtshed mchong rgyug	brgyan po 'gyed rnams dor ba dang /_/mtshhon thogs 'phong rtshed mchong rgyug	7	and the taking up of weapons, archery, jumping, running,🔽and so forth.
['BO_T17_MW1PD95844_2621:8']	dang /_/ma rabs thor bu'i spyod kun dor/_/ngag gi bzhi dang grol ngag rnams//	dang /_/ma rabs thor bu'i spyod kun dor/_/ngag gi bzhi dang grol ngag rnams//	8	The four of speech and the speech of liberation🔽Are never to be spoken.
['BO_T17_MW1PD95844_2621:9']	nam yang smra bar bya ba min/_/nyon mongs drug dang bying rgod bsogs/_/skyon	nam yang smra bar bya ba min/_/nyon mongs drug dang bying rgod bsogs/_/skyon	9	The six afflictions, dullness and agitation,🔽The faults of the mind are inconceivable.
['BO_T17_MW1PD95844_2621:10', 'BO_T17_MW1PD95844_2621:11']	sems bye brag bsam mi khyab/_/gang dag don med de len pa/_/kha na ma tho🔽dam tshhig phra rgyas bstan pa/	sems bye brag bsam mi khyab/_/gang dag don med de len pa/_/kha na ma tho dam tshhig phra rgyas bstan pa/	10	Those who take up that which is meaningless🔽Are not suitable to be in the presence of the guru.
['BO_T17_MW1PD95844_2621:12']	'phel ba dang /_/skye bo'i gnas su mi 'gyur bas/_/'khor ba'i mtha' mar	'phel ba dang /_/skye bo'i gnas su mi 'gyur bas/_/'khor ba'i mtha' mar	12	The increase of the root downfalls🔽And the increase of the subtle infractions🔽Are the end of samsara.🔽Therefore, for the sake of enlightenment,
['BO_T17_MW1PD95844_2621:13']	spyad thag yan/_/byang chub ched phyir gang yang spyad/_/de dag las ldog spyod	spyad thag yan/_/byang chub ched phyir gang yang spyad/_/de dag las ldog spyod	13	Whatever is to be practiced,🔽If it is practiced with the mind🔽Engaged in the three trainings,
['BO_T17_MW1PD95844_2621:14']	pa gsum/_/sems kyis zin par gar spyod pa/_/sangs rgyas sku gsung thob	pa gsum/_/sems kyis zin par gar spyod pa/_/sangs rgyas sku gsung thob	14	It will become the attainment of the Buddha’s body and speech.🔽The latter is the branch of the guard.🔽The one hundred and fifty, the one hundred and sixty,🔽And the two hundred guards are all
['BO_T17_MW1PD95844_2621:15']	par 'gyur/_/phyi ma rtsha ba yan lag pas/_/lnga bcu'i brgya dang drug cu dang /_/ nyis brgya'i srung bya ma lus pa/_/bka' lung gnyis kyi rjes su snyegs/_/pan	par 'gyur/_/phyi ma rtsha ba yan lag pas/_/lnga bcu'i brgya dang drug cu dang /_/ nyis brgya'i srung bya ma lus pa/_/bka' lung gnyis kyi rjes su snyegs/_/pan	15	Followed by the two transmissions.
['BO_T17_MW1PD95844_2621:16']	tshi nying lag zhes bya ba'ang /_/dang po nyid nas thabs spyod dang /_/shes rab	tshi nying lag zhes bya ba'ang /_/dang po nyid nas thabs spyod dang /_/shes rab	16	The so-called “seed of the lineage”🔽is doubled by method and wisdom.🔽The thirteen things to be protected by that
['BO_T17_MW1PD95844_2621:17']	nyid kyis nyis 'gyur yin/_/de des srung bya bcu gsum ste/_/byang chub sems	nyid kyis nyis 'gyur yin/_/de des srung bya bcu gsum ste/_/byang chub sems	17	are the unsurpassed bodhicitta,🔽the nine peaceful and wrathful deities,
['BO_T17_MW1PD95844_2621:18', 'BO_T17_MW1PD95844_2621:19']	ni bla med lha/_/zhi khro'i lha dgu nyid dang bcu/_/bcu gnyis bsam las mi🔽'da' zhing /_/thun mong mchog gis tshhad med pa/_/bden gnyis byang chub	ni bla med lha/_/zhi khro'i lha dgu nyid dang bcu/_/bcu gnyis bsam las mi 'da' zhing /_/thun mong mchog gis tshhad med pa/_/bden gnyis byang chub	18	and not transgressing the twelve.🔽The ten aspects of the unsurpassed bodhicitta🔽should not be violated by the two truths.
['BO_T17_MW1PD95844_2621:20']	rnam pa bcu/_/bla med gsal bas nyams mi bya/_/lha spangs dge spyad don	rnam pa bcu/_/bla med gsal bas nyams mi bya/_/lha spangs dge spyad don	20	If one engages in virtue without the deity, it will be meaningless.🔽If one unites with the deity, even with little quality,
['BO_T17_MW1PD95844_2621:21']	med 'gyur/_/bdag nyid lha dang mnyam sbyor na/_/yon tan chung yang 'grub	med 'gyur/_/bdag nyid lha dang mnyam sbyor na/_/yon tan chung yang 'grub	21	one will be successful.🔽Therefore, do not transgress the three times.
['BO_T17_MW1PD95844_2621:22']	par 'gyur/_/de phyir dus gsum 'da' mi bya/_/bla ma bskur ba'ang sgo gsum	par 'gyur/_/de phyir dus gsum 'da' mi bya/_/bla ma bskur ba'ang sgo gsum	22	Even if one disrespects the guru,🔽one should not be careless with the protection of the body,
['BO_T17_MW1PD95844_2621:23']	gyis/_/lus kyi srung ba'ang bdeg sogs las/_/thing klad rtsha 'du'ang bya ba	gyis/_/lus kyi srung ba'ang bdeg sogs las/_/thing klad rtsha 'du'ang bya ba	23	and one should not be careless with the head.🔽One should not offer the five sense offerings
['BO_T17_MW1PD95844_2621:24']	min/_/'dod yon lnga yi mchod pa dang /_/gsang ba'i snod du dug mi spyod/_/	min/_/'dod yon lnga yi mchod pa dang /_/gsang ba'i snod du dug mi spyod/_/	24	or engage in poison in the secret vessel.
['BO_T17_MW1PD95844_2621:25']	'gro ba grang po'i phyogs spang dang /_/gdan sa gdan sogs mi brlam dang /_/ 'greng 'dug ngan spyod la sogs spang /_/rgyan 'dogs ze ldir de bzhin ste/_/	'gro ba grang po'i phyogs spang dang /_/gdan sa gdan sogs mi brlam dang /_/ 'greng 'dug ngan spyod la sogs spang /_/rgyan 'dogs ze ldir de bzhin ste/_/	25	and do not wear jewelry or a sword.🔽Abandon all vulgar behavior,🔽and be careful in your conduct.🔽Do not lie, slander, speak harshly,🔽or gossip.
['BO_T17_MW1PD95844_2621:26']	ma rabs spyod pa kun spangs la/_/spyod lam zon chag sti gnas bya/_/rdzun	ma rabs spyod pa kun spangs la/_/spyod lam zon chag sti gnas bya/_/rdzun	26	Do not speak in a way that is🔽unclear or difficult to understand.🔽Do not speak in a way that is🔽harsh or offensive.🔽Do not speak in a way that is🔽unpleasant or disagreeable.
['BO_T17_MW1PD95844_2621:27']	dang phra ma ngag rtshub dang /_/'khyal pa nam yang mi bya ste/_/be phogs ma yin	dang phra ma ngag rtshub dang /_/'khyal pa nam yang mi bya ste/_/be phogs ma yin	27	Do not speak in a way that is🔽unnecessary or irrelevant.🔽Do not speak in a way that is🔽untrue or misleading.🔽Do not speak in a way that is🔽divisive or hurtful.🔽Do not speak in a way that is🔽frivolous or meaningless.🔽Do not speak in a way that is🔽harmful or destructive.
['BO_T17_MW1PD95844_2621:28']	brda skad dor/_/lkog du tshhul brjod nyams par 'gyur/_/yon tan brjod	brda skad dor/_/lkog du tshhul brjod nyams par 'gyur/_/yon tan brjod	28	Do not speak in a way that is🔽unhelpful or unbeneficial.🔽Do not speak in a way that is🔽unpleasant or disagreeable.🔽Do not speak in a way that is🔽untrue or misleading.
['BO_T17_MW1PD95844_2621:29']	cing snyan par smra/_/ca co la sogs ma yin pa/_/sangs rgyas rdo rje gsung thob	cing snyan par smra/_/ca co la sogs ma yin pa/_/sangs rgyas rdo rje gsung thob	29	Do not speak in a way that is🔽divisive or hurtful.🔽Do not speak in a way that is🔽frivolous or meaningless.🔽Do not speak in a way that is
