segmentnr	original	analyzed	translated
['BO_T17_MW1PD95844_2819:0']	@#/_/'phags pa tshhogs kyi bdag	@#/_/'phags pa tshhogs kyi bdag	Ārya-gaṇapati
['BO_T17_MW1PD95844_2819:1', 'BO_T17_MW1PD95844_2819:2', 'BO_T17_MW1PD95844_2819:3']	po'i gtor ma'i cho ga🔽ga🔽gtor ma'i cho ga_@go/rgya gar skad du/_ar+ya gan pa ti	po'i gtor ma'i cho ga ga gtor ma'i cho ga_@go/rgya gar skad du/_ar+ya gan pa ti	The Ritual of the Torma of the Noble Lord of the Assembly🔽The Ritual of the Torma in the Language of India
['BO_T17_MW1PD95844_2819:4']	ba li bi d+hi/_bod skad du/_'phags pa tshhogs kyi bdag po'i gtor ma'i cho ga_/	ba li bi d+hi/_bod skad du/_'phags pa tshhogs kyi bdag po'i gtor ma'i cho ga_/	The Ritual of the Torma of the Noble Lord of the Assembly
['BO_T17_MW1PD95844_2819:5']	dpal rdo rje mkha' 'gro ma la phyag 'tshhal lo/_/de la 'phags pa tshhogs kyi bdag	dpal rdo rje mkha' 'gro ma la phyag 'tshhal lo/_/de la 'phags pa tshhogs kyi bdag	Homage to glorious Vajraḍāka.🔽In order to please the Noble Lord of the Assembly,
['BO_T17_MW1PD95844_2819:6']	po yang dag par mnyes par bya ba'i phyir/_gtor ma 'bul bar 'dod pas/	po yang dag par mnyes par bya ba'i phyir/_gtor ma 'bul bar 'dod pas/	one who wishes to offer a torma
['BO_T17_MW1PD95844_2819:7', 'BO_T17_MW1PD95844_2819:8']	dang po rin po che'i snod phun sum tshhogs par 'bras chan dang /_khur ba dang / dkar gsum dang /_dngar gsum dang /_la du dang /_la phug dang /_glang sha🔽dang /_rgun 'brum la sogs pa bza' ba dang /_btung ba dang /_kha dog dri ro	dang po rin po che'i snod phun sum tshhogs par 'bras chan dang /_khur ba dang / dkar gsum dang /_dngar gsum dang /_la du dang /_la phug dang /_glang sha dang /_rgun 'brum la sogs pa bza' ba dang /_btung ba dang /_kha dog dri ro	should first fill a perfect precious vessel with rice, bread, the three white foods, the three sweet foods, radishes, eggplants,🔽beef, grapes, and so forth, with perfect color, smell, and taste, and place it in front of oneself.
['BO_T17_MW1PD95844_2819:9']	phun sum tshhogs pas legs par bkang ste mdun du bzhag ste/_stan bde ba la	phun sum tshhogs pas legs par bkang ste mdun du bzhag ste/_stan bde ba la	Sitting on a comfortable seat,
['BO_T17_MW1PD95844_2819:10']	'dug nas/_tshhangs pa'i gnas bzhi rjes su dran pa dang /_gsum la skyabs su	'dug nas/_tshhangs pa'i gnas bzhi rjes su dran pa dang /_gsum la skyabs su	one should recall the four abodes of Brahmā, go for refuge to the Three Jewels,
['BO_T17_MW1PD95844_2819:11']	'gro ba dang /_byang chub mchog tu sems bskyed par bya'o/_/de nas chos thams	'gro ba dang /_byang chub mchog tu sems bskyed par bya'o/_/de nas chos thams	and generate the mind of supreme enlightenment. Then, having meditated on all phenomena as selfless, in a vast and
['BO_T17_MW1PD95844_2819:12']	cad bdag med par bsgoms te/_rgyu las rin po che'i snod yangs shing rgya che ba'i	cad bdag med par bsgoms te/_rgyu las rin po che'i snod yangs shing rgya che ba'i	extensive jeweled vessel created from the element of earth, imagine that it is🔽filled to the brim with food created from the element of water and endowed
['BO_T17_MW1PD95844_2819:13', 'BO_T17_MW1PD95844_2819:14']	nang du/_kham las zhal zas ro brgya ldan pas byur bur gang bar bsam/_de nyid🔽gsum dang /_om a ka ro mu kham sarba d+harma nam/_/_nut+pan na twad om ah_phat/	nang du/_kham las zhal zas ro brgya ldan pas byur bur gang bar bsam/_de nyid gsum dang /_om a ka ro mu kham sarba d+harma nam/_/_nut+pan na twad om ah_phat/	with a hundred flavors.🔽Consecrate it with the three seed syllables and the mantra “Oṃ a kā ro
